outcome,estimand,target,cal_countries,order_index,attainable,traj_len,target_score,critical,covered,mean_width
trstprl,S_allround,RS,34,32,0.914,2,6.016,5.021,0,0.585
trstprl,S_allround,RU,34,32,0.914,4,2.524,5.028,1,0.587
trstprl,S_allround,SE,34,32,0.914,10,2.525,5.166,1,0.607
trstprl,S_allround,SI,34,32,0.914,10,2.893,4.936,1,0.577
trstprl,S_allround,SK,34,32,0.914,7,2.39,5.021,1,0.584
trstprl,S_allround,TR,34,32,0.914,1,5.241,5.037,0,0.587
trstprl,S_allround,UA,34,32,0.914,5,4.457,5.063,1,0.576
trstprl,S_allround_fixed_s,AT,34,32,0.914,7,1.456,5.015,1,0.585
trstprl,S_allround_fixed_s,BE,34,32,0.914,10,1.582,5.015,1,0.585
trstprl,S_allround_fixed_s,BG,34,32,0.914,6,2.435,5.015,1,0.585
trstprl,S_allround_fixed_s,CH,34,32,0.914,10,1.52,5.015,1,0.585
trstprl,S_allround_fixed_s,CY,34,32,0.914,6,2.673,5.015,1,0.585
trstprl,S_allround_fixed_s,CZ,34,32,0.914,8,1.955,5.015,1,0.585
trstprl,S_allround_fixed_s,DE,34,32,0.914,10,1.364,5.015,1,0.585
trstprl,S_allround_fixed_s,DK,34,32,0.914,7,2.974,5.015,1,0.585
trstprl,S_allround_fixed_s,EE,34,32,0.914,9,1.271,5.015,1,0.585
trstprl,S_allround_fixed_s,ES,34,32,0.914,10,2.629,5.015,1,0.585
trstprl,S_allround_fixed_s,FI,34,32,0.914,10,3.486,5.015,1,0.585
trstprl,S_allround_fixed_s,FR,34,32,0.914,10,1.215,5.015,1,0.585
trstprl,S_allround_fixed_s,GB,34,32,0.914,10,1.491,5.015,1,0.585
trstprl,S_allround_fixed_s,GR,34,32,0.914,5,5.9,4.988,0,0.582
trstprl,S_allround_fixed_s,HR,34,32,0.914,4,2.597,5.015,1,0.585
trstprl,S_allround_fixed_s,HU,34,32,0.914,10,3.398,5.015,1,0.585
trstprl,S_allround_fixed_s,IE,34,32,0.914,10,2.094,5.015,1,0.585
trstprl,S_allround_fixed_s,IL,34,32,0.914,7,2.527,5.015,1,0.585
trstprl,S_allround_fixed_s,IS,34,32,0.914,5,5.015,4.988,0,0.582
trstprl,S_allround_fixed_s,IT,34,32,0.914,5,3.674,5.015,1,0.585
trstprl,S_allround_fixed_s,LT,34,32,0.914,6,2.525,5.015,1,0.585
trstprl,S_allround_fixed_s,LU,34,32,0.914,1,1.198,5.015,1,0.585
trstprl,S_allround_fixed_s,LV,34,32,0.914,3,3.547,5.015,1,0.585
trstprl,S_allround_fixed_s,ME,34,32,0.914,2,2.163,5.015,1,0.585
trstprl,S_allround_fixed_s,NL,34,32,0.914,10,2.031,5.015,1,0.585
trstprl,S_allround_fixed_s,NO,34,32,0.914,10,2.873,5.015,1,0.585
trstprl,S_allround_fixed_s,PL,34,32,0.914,10,3.125,5.015,1,0.585
trstprl,S_allround_fixed_s,PT,34,32,0.914,10,1.669,5.015,1,0.585
trstprl,S_allround_fixed_s,RS,34,32,0.914,2,5.385,4.988,0,0.582
trstprl,S_allround_fixed_s,RU,34,32,0.914,4,2.504,5.015,1,0.585
trstprl,S_allround_fixed_s,SE,34,32,0.914,10,2.451,5.015,1,0.585
trstprl,S_allround_fixed_s,SI,34,32,0.914,10,2.877,5.015,1,0.585
trstprl,S_allround_fixed_s,SK,34,32,0.914,7,2.38,5.015,1,0.585
trstprl,S_allround_fixed_s,TR,34,32,0.914,1,4.988,5.015,1,0.585
trstprl,S_allround_fixed_s,UA,34,32,0.914,5,4.276,5.015,1,0.585
stfdem,A_curve,AT,34,32,0.914,1,1.285,2.911,1,0.355
stfdem,A_curve,BE,34,32,0.914,1,0.756,2.923,1,0.361
stfdem,A_curve,BG,34,32,0.914,1,0.617,2.927,1,0.362
stfdem,A_curve,CH,34,32,0.914,1,0.621,2.976,1,0.368
stfdem,A_curve,CY,34,32,0.914,1,1.175,2.916,1,0.358
stfdem,A_curve,CZ,34,32,0.914,1,0.665,2.958,1,0.364
stfdem,A_curve,DE,34,32,0.914,1,1.78,2.956,1,0.366
stfdem,A_curve,DK,34,32,0.914,1,1.569,3.001,1,0.368
stfdem,A_curve,EE,34,32,0.914,1,1.395,2.906,1,0.355
stfdem,A_curve,ES,34,32,0.914,1,1.839,2.962,1,0.365
stfdem,A_curve,FI,34,32,0.914,1,3.077,2.906,0,0.355
stfdem,A_curve,FR,34,32,0.914,1,2.062,2.91,1,0.349
stfdem,A_curve,GB,34,32,0.914,1,1.656,2.907,1,0.353
stfdem,A_curve,GR,34,32,0.914,1,2.074,2.917,1,0.352
stfdem,A_curve,HR,34,32,0.914,1,0.835,2.955,1,0.363
stfdem,A_curve,HU,34,32,0.914,1,1.516,2.927,1,0.358
stfdem,A_curve,IE,34,32,0.914,1,1.258,2.911,1,0.359
stfdem,A_curve,IL,34,32,0.914,1,1.047,2.906,1,0.36
stfdem,A_curve,IS,34,32,0.914,1,2.194,2.91,1,0.355
stfdem,A_curve,IT,34,32,0.914,1,0.631,2.911,1,0.36
stfdem,A_curve,LT,34,32,0.914,1,2.5,3.041,1,0.373
stfdem,A_curve,LU,34,32,0.914,1,3.148,2.909,0,0.359
stfdem,A_curve,LV,34,32,0.914,1,1.674,2.953,1,0.358
stfdem,A_curve,ME,34,32,0.914,1,1.248,2.909,1,0.357
stfdem,A_curve,NL,34,32,0.914,1,0.619,2.92,1,0.361
stfdem,A_curve,NO,34,32,0.914,1,2.273,2.944,1,0.362
stfdem,A_curve,PL,34,32,0.914,1,4.168,2.91,0,0.316
stfdem,A_curve,PT,34,32,0.914,1,2.003,2.906,1,0.349
stfdem,A_curve,RS,34,32,0.914,1,1.927,2.97,1,0.365
stfdem,A_curve,RU,34,32,0.914,1,1.387,2.967,1,0.362
stfdem,A_curve,SE,34,32,0.914,1,0.861,2.912,1,0.357
stfdem,A_curve,SI,34,32,0.914,1,1.262,2.931,1,0.355
stfdem,A_curve,SK,34,32,0.914,1,1.241,2.998,1,0.364
stfdem,A_curve,TR,34,32,0.914,1,4.125,3.065,0,0.368
stfdem,A_curve,UA,34,32,0.914,1,3.141,2.996,0,0.364
stfdem,B_traj_L4,AT,29,27,0.9,4,2.35,3.54,1,0.444
stfdem,B_traj_L4,BE,29,27,0.9,4,0.724,3.507,1,0.449
stfdem,B_traj_L4,BG,29,27,0.9,4,0.964,3.511,1,0.449
stfdem,B_traj_L4,CH,29,27,0.9,4,1.486,3.505,1,0.449
stfdem,B_traj_L4,CY,29,27,0.9,4,2.288,3.576,1,0.449
stfdem,B_traj_L4,CZ,29,27,0.9,4,1.625,3.507,1,0.448
stfdem,B_traj_L4,DE,29,27,0.9,4,2.157,3.509,1,0.449
stfdem,B_traj_L4,DK,29,27,0.9,4,2.41,3.506,1,0.446
stfdem,B_traj_L4,EE,29,27,0.9,4,1.336,3.53,1,0.449
stfdem,B_traj_L4,ES,29,27,0.9,4,2.371,3.524,1,0.45
stfdem,B_traj_L4,FI,29,27,0.9,4,4.898,3.025,0,0.379
stfdem,B_traj_L4,FR,29,27,0.9,4,1.944,3.553,1,0.447
stfdem,B_traj_L4,GB,29,27,0.9,4,1.57,3.55,1,0.451
stfdem,B_traj_L4,GR,29,27,0.9,4,5.297,3.415,0,0.384
stfdem,B_traj_L4,HR,29,27,0.9,4,1.57,3.562,1,0.452
stfdem,B_traj_L4,HU,29,27,0.9,4,1.695,3.542,1,0.447
stfdem,B_traj_L4,IE,29,27,0.9,4,2.034,3.517,1,0.446
stfdem,B_traj_L4,IL,29,27,0.9,4,1.922,3.566,1,0.448
stfdem,B_traj_L4,IS,29,27,0.9,4,1.847,3.521,1,0.446
stfdem,B_traj_L4,IT,29,27,0.9,4,2.283,3.571,1,0.45
stfdem,B_traj_L4,LT,29,27,0.9,4,3.043,3.508,1,0.446
stfdem,B_traj_L4,NL,29,27,0.9,4,0.774,3.511,1,0.449
stfdem,B_traj_L4,NO,29,27,0.9,4,2.677,3.507,1,0.446
stfdem,B_traj_L4,PL,29,27,0.9,4,3.949,3.37,0,0.399
stfdem,B_traj_L4,PT,29,27,0.9,4,2.522,3.622,1,0.45
stfdem,B_traj_L4,RU,29,27,0.9,4,1.373,3.527,1,0.45
stfdem,B_traj_L4,SE,29,27,0.9,4,1.936,3.515,1,0.448
stfdem,B_traj_L4,SI,29,27,0.9,4,2.247,3.601,1,0.454
stfdem,B_traj_L4,SK,29,27,0.9,4,1.93,3.532,1,0.446
stfdem,B_traj_L4,UA,29,27,0.9,4,3.406,3.808,1,0.478
stfdem,B_traj_L4_per_slot,AT,29,27,0.9,4,2.931,3.386,1,0.41
stfdem,B_traj_L4_per_slot,BE,29,27,0.9,4,0.749,3.375,1,0.42
stfdem,B_traj_L4_per_slot,BG,29,27,0.9,4,1.065,3.38,1,0.42
stfdem,B_traj_L4_per_slot,CH,29,27,0.9,4,1.568,3.373,1,0.42
stfdem,B_traj_L4_per_slot,CY,29,27,0.9,4,3.129,3.444,1,0.419
stfdem,B_traj_L4_per_slot,CZ,29,27,0.9,4,2.106,3.373,1,0.418
stfdem,B_traj_L4_per_slot,DE,29,27,0.9,4,2.378,3.376,1,0.42
stfdem,B_traj_L4_per_slot,DK,29,27,0.9,4,3.005,3.373,1,0.415
stfdem,B_traj_L4_per_slot,EE,29,27,0.9,4,1.371,3.442,1,0.427
stfdem,B_traj_L4_per_slot,ES,29,27,0.9,4,2.463,3.401,1,0.422
stfdem,B_traj_L4_per_slot,FI,29,27,0.9,4,5.136,3.135,0,0.384
stfdem,B_traj_L4_per_slot,FR,29,27,0.9,4,2.004,3.464,1,0.425
stfdem,B_traj_L4_per_slot,GB,29,27,0.9,4,1.668,3.533,1,0.436
stfdem,B_traj_L4_per_slot,GR,29,27,0.9,4,5.492,3.928,0,0.425
stfdem,B_traj_L4_per_slot,HR,29,27,0.9,4,1.44,3.409,1,0.42
stfdem,B_traj_L4_per_slot,HU,29,27,0.9,4,1.843,3.435,1,0.423
stfdem,B_traj_L4_per_slot,IE,29,27,0.9,4,1.994,3.373,1,0.417
stfdem,B_traj_L4_per_slot,IL,29,27,0.9,4,1.961,3.374,1,0.411
stfdem,B_traj_L4_per_slot,IS,29,27,0.9,4,2.183,3.391,1,0.419
stfdem,B_traj_L4_per_slot,IT,29,27,0.9,4,3.254,3.436,1,0.419
stfdem,B_traj_L4_per_slot,LT,29,27,0.9,4,3.482,3.376,0,0.418
stfdem,B_traj_L4_per_slot,NL,29,27,0.9,4,0.851,3.373,1,0.419
stfdem,B_traj_L4_per_slot,NO,29,27,0.9,4,2.466,3.374,1,0.418
stfdem,B_traj_L4_per_slot,PL,29,27,0.9,4,4.39,3.607,0,0.41
stfdem,B_traj_L4_per_slot,PT,29,27,0.9,4,2.752,3.521,1,0.426
stfdem,B_traj_L4_per_slot,RU,29,27,0.9,4,1.385,3.418,1,0.423
