cntry,essround,sample,n_trstprl,trstprl_t0,trstprl_t1,trstprl_t2,trstprl_t3,trstprl_t4,trstprl_t5,trstprl_t6,trstprl_t7,trstprl_t8,trstprl_t9,n_stfdem,stfdem_t0,stfdem_t1,stfdem_t2,stfdem_t3,stfdem_t4,stfdem_t5,stfdem_t6,stfdem_t7,stfdem_t8,stfdem_t9,trstprl_v0,trstprl_v1,trstprl_v2,trstprl_v3,trstprl_v4,trstprl_v5,trstprl_v6,trstprl_v7,trstprl_v8,trstprl_v9,stfdem_v0,stfdem_v1,stfdem_v2,stfdem_v3,stfdem_v4,stfdem_v5,stfdem_v6,stfdem_v7,stfdem_v8,stfdem_v9
AL,6,extended,1168,0.41452450748813646,0.45931022352126055,0.5317481607874472,0.6093430082271464,0.6712491014638267,0.8022567495781656,0.8421004827910589,0.8844525641084892,0.9371570263470619,0.9518904075193706,1172,0.2411120832661574,0.29081284071046815,0.3911755580976319,0.4928407162507551,0.5740111567555684,0.719331495719631,0.7883460985040945,0.8735547534305708,0.9335795084470833,0.9573487589431444,,,,,,,,,,,,,,,,,,,,
AT,1,extended,2182,0.0645034818803484,0.09064522003853831,0.14411871636646068,0.24156057585706953,0.3466563819897574,0.5911447887359706,0.6973773607305751,0.8159799060022532,0.9280342398758551,0.9714932606970951,2147,0.03751357545557433,0.060387594949962146,0.11009010114436821,0.20677826003658026,0.29016762360599735,0.4852264027924989,0.5980467479136778,0.7293876240707023,0.881451024114977,0.9475399912385964,,,,,,,,,,,,,,,,,,,,
AT,2,extended,2179,0.056544528448183175,0.09127182287115657,0.16725647119566256,0.28975562855153597,0.40880706068644757,0.633033227925437,0.7360563331789449,0.8618939327188299,0.9534480345187967,0.9785075221380103,2146,0.016899234076095365,0.02826873640677398,0.06603799556882538,0.13435912896759405,0.22455441232953915,0.4111097414319724,0.5280032896361645,0.7103857938433478,0.8722388727756174,0.9487837712735048,,,,,,,,,,,,,,,,,,,,
AT,3,extended,2286,0.06381192019562332,0.09973173040470272,0.17396584427227532,0.2825982537345282,0.3862897001485467,0.593201994109077,0.7102344637103488,0.8398953972223056,0.942069356815069,0.9770583459061337,2275,0.030418099439207293,0.042722298505322366,0.07764249880376421,0.13553215458354453,0.21405219602195158,0.38817216246948427,0.5155458457169177,0.706045198458037,0.8802570687985558,0.9508974553630504,,,,,,,,,,,,,,,,,,,,
AT,7,extended,1760,0.0822998772988139,0.118737576816501,0.20359551256678368,0.30659053808910774,0.4212608204855691,0.6146314656346611,0.7215497306357502,0.8444192570645417,0.932996979813784,0.9737849567344924,1767,0.0506911072590435,0.07803039217216017,0.13373118797644012,0.23488215809347002,0.33440142385511146,0.4996419492550325,0.6558233134272745,0.8126660660753487,0.9309487553436582,0.9682924196427353,,,,,,,,,,,,,,,,,,,,
AT,8,extended,1983,0.04745221866679367,0.08001715662842232,0.15882984728761845,0.24848812187134595,0.35880353555356365,0.574069471953942,0.7190504586173815,0.8494467137011388,0.9324823748470815,0.9706359892002315,1981,0.03911140257604416,0.05880002203657166,0.10314844632553662,0.17855791526071282,0.27067369828802246,0.4172073411129679,0.5690959243611449,0.7357538899363542,0.9049767690673121,0.9610689222986308,,,,,,,,,,,,,,,,,,,,
AT,9,core,2448,0.03151428346628473,0.0613207582972195,0.11435291920165717,0.1958502764490343,0.284649194897603,0.5124272945170116,0.6491086980595429,0.7998253435989032,0.9100468893721091,0.971043736499241,2455,0.01463590181660698,0.030942010165486453,0.06653318241394467,0.12796303225287387,0.20644477472476772,0.3250252972171196,0.433724912257035,0.6197346362212199,0.8360524394327055,0.9451952440728231,0.004601164860027605,0.006395147029074999,0.008017618505136477,0.009982603877132238,0.011650524071330427,0.013342476413439365,0.013958419170060339,0.012880088423775542,0.00944494050757776,0.005192794068110627,0.003512437824680566,0.005469074043808239,0.00731295484935273,0.009099498949885949,0.011073067015817326,0.012518342236761711,0.013268305433309674,0.011973996156322473,0.009337102176522226,0.006193723631895839
AT,10,core,1987,0.07446145480686481,0.11469067404360192,0.2223870799456332,0.32711059572447143,0.4114304389725163,0.5721350778134265,0.6828817870755576,0.8033536077098217,0.9271514517027281,0.9704798601900082,1992,0.05071430726563588,0.08381337414496393,0.16337790589242004,0.2587364932071821,0.3358159300940334,0.48041168357040165,0.606658091220717,0.7443012909359428,0.8916546927441348,0.9582313982564049,0.007455817290771209,0.008881875957811888,0.012387375742195755,0.013961378022363174,0.01425129667132858,0.014870193298858284,0.014394475658652702,0.012420214500720431,0.008014375564765303,0.005366090799073727,0.006767497486270894,0.007914456228184822,0.011061832101812092,0.012019481214124661,0.012960994150074767,0.0143771081733213,0.013803244727482759,0.01247267948794615,0.009560398351518342,0.005909336698286461
AT,11,core,2328,0.05052329024063458,0.07937979880223403,0.14721967707614386,0.24995812909568327,0.344407410641763,0.5098272656280373,0.6584963838789518,0.8192951382156806,0.9220692292002789,0.9641028196309738,2317,0.028767124171284356,0.05840526214216013,0.1175063480193295,0.194182702467801,0.28209459710443485,0.4095216170106982,0.5212292803656761,0.6833303336855248,0.8784143699486792,0.9735276792158293,0.0056807238395809425,0.006775621338929543,0.009956591551149706,0.013410828734722631,0.01439994247873017,0.01604613664302629,0.015744101827000895,0.01299703860101248,0.009230784637135706,0.006093315774224898,0.004249691085418061,0.006707187664563393,0.009997653741623569,0.012761215081529305,0.014381834472687914,0.016088284449054746,0.016605865497257274,0.015360637332476869,0.010437889801968341,0.004858223322200467
BE,1,extended,1775,0.06611561607558095,0.10680327994420133,0.15974578965182998,0.2535836284420266,0.34684341237365685,0.5880621995680974,0.7407290909692291,0.885214201375067,0.9702316419162005,0.9850613359652158,1807,0.03328509383380565,0.05417643784243701,0.09989494007458732,0.18134231371554668,0.27825015449370405,0.47222203379406197,0.6445943977365073,0.8350932607125696,0.9600492014417219,0.9857502427463539,,,,,,,,,,,,,,,,,,,,
BE,2,extended,1741,0.07107653236162045,0.0981007707115036,0.17236430328402869,0.28861701430487835,0.39941104613084527,0.6381952330482957,0.7900986975086882,0.9199341754794675,0.9799767477278866,0.9889566779251597,1736,0.031141466400658818,0.047569849229334986,0.10481881910533562,0.17210700294228065,0.27551245339472324,0.46440018774728004,0.623808122674317,0.8133609145223107,0.943757303193044,0.9768279083971938,,,,,,,,,,,,,,,,,,,,
BE,3,extended,1770,0.05793538489141575,0.08029549845829041,0.12446934353640879,0.24063705794578208,0.347687074074375,0.5856162750773252,0.7340995287592668,0.9034046349216589,0.9805244477796741,0.992379617277892,1776,0.03324385884052392,0.05216636906330868,0.09939930927812478,0.1758615263694788,0.26945820264643744,0.4601141398505025,0.6464375094981611,0.8478382081536037,0.9612711587054611,0.9895189800167298,,,,,,,,,,,,,,,,,,,,
BE,4,extended,1740,0.0640920419730611,0.0991843065035952,0.17744974363503282,0.29279190729572163,0.4161320670003739,0.6711907196981675,0.8251914437979538,0.9368166887653541,0.9863223319819635,0.9938637641061032,1736,0.03569687547351049,0.06529889496308267,0.127248407828218,0.21353353941730577,0.32051488685980256,0.5312344662440182,0.7059164764549429,0.8723317861768107,0.9718167407479917,0.9908154241484227,,,,,,,,,,,,,,,,,,,,
BE,5,extended,1681,0.08329348624471769,0.12656165895106755,0.21547812652118448,0.32627248250139207,0.44011846466101845,0.6669849809804291,0.8126232087234307,0.9277866491997923,0.9862623809400152,0.994335309011154,1687,0.04150764200832399,0.06707473691894449,0.12746708995023637,0.22079070164241613,0.3267718756439769,0.5258239394814657,0.6844138077377443,0.8494565430760357,0.9571586702051111,0.9834114580055962,,,,,,,,,,,,,,,,,,,,
BE,6,extended,1855,0.06243441347888933,0.08417884574214834,0.15122501615467818,0.2395367507820414,0.3477004831148736,0.5672284193019743,0.7212173505037391,0.8884877896363602,0.9774706773863334,0.9915701417718095,1854,0.021910110009394017,0.03297367434125565,0.06220422828889884,0.12208088663873651,0.20347792961913028,0.3872278905692566,0.5847226292919366,0.8158218971617902,0.9504667765254065,0.9896031209107492,,,,,,,,,,,,,,,,,,,,
BE,7,extended,1753,0.06946010372791878,0.10676047894712833,0.17415273528859906,0.27197272110078,0.38038943551963017,0.5815311243235993,0.7465175276584215,0.9031068006544054,0.9681644950533894,0.9897627058706203,1763,0.04138751451749086,0.0691101727235367,0.11902080242463366,0.20576277699518344,0.3044785192891916,0.507862445929539,0.6591769049319383,0.8436063993433122,0.964931090159902,0.9890091053460799,,,,,,,,,,,,,,,,,,,,
BE,8,extended,1748,0.08002505422468785,0.10587455150894987,0.17454119128229148,0.27264508049278163,0.3804567443146719,0.5872404162679318,0.7680197258384434,0.9304275384901347,0.9829660373906454,0.9932320917468626,1757,0.04423014509229871,0.06202685167880977,0.10686735235253765,0.17608563961479354,0.2759956364374836,0.4540101786208081,0.640104344272432,0.8611853953814796,0.9711304125381934,0.9931152479085451,,,,,,,,,,,,,,,,,,,,
