s_transport,rho,oracle_cov,plugin_cov,da_cov,oracle_w,plugin_w,da_w,clean_sup_mean,cont_sup_mean,dominance_ok
0.5,0.20249624321192672,1.0,1.0,1.0,0.34405147976698486,0.3391311373563813,0.32732105064869227,0.10101024909572341,0.10802729152025574,1.0
0.5,0.23353008225912433,1.0,1.0,1.0,0.2951026400005827,0.27581976570332223,0.2597528314465335,0.07903643706824079,0.08643458035825556,1.0
0.5,0.21692639714378867,1.0,1.0,1.0,0.3131326115096262,0.3381861382672028,0.311700255018469,0.08664064203319385,0.09923778949346256,1.0
0.5,0.1863836654217128,1.0,1.0,1.0,0.34498867804555555,0.3654756486689047,0.3342821941617992,0.10277041668352335,0.10705153839087041,1.0
0.5,0.20114479527374685,1.0,1.0,1.0,0.34430519479952004,0.34366884940677933,0.3298314181757278,0.0957693574188961,0.10163893140967499,1.0
0.5,0.21981379829452774,1.0,1.0,1.0,0.27865757076451325,0.3063739909803237,0.31647049019607953,0.0874192627561172,0.09810787418410805,1.0
0.5,0.2360205417397377,1.0,1.0,1.0,0.30823397180054074,0.30888990380369136,0.2694218931416718,0.0874237782892113,0.08962385212143575,1.0
0.5,0.23384569416257328,1.0,1.0,1.0,0.29700465224308403,0.31830479840192016,0.2697259305977219,0.07883367303057344,0.08254342050772998,1.0
0.5,0.19666398761856457,1.0,1.0,1.0,0.3824249198798247,0.4207797226284802,0.3574793859071884,0.09456964835783527,0.09856500902665973,1.0
0.5,0.20196613661552373,1.0,1.0,1.0,0.3305605651969634,0.3726213734639632,0.30123333860162094,0.09134928084863116,0.09982957653844834,1.0
0.5,0.24053734242759345,1.0,1.0,1.0,0.3102215480309704,0.32141481277298956,0.2891073351550334,0.08340793291547907,0.08874767786765908,1.0
0.5,0.2053141082500179,1.0,1.0,1.0,0.32357842454657976,0.35169914552297865,0.30729446872996563,0.09449429075530742,0.10015741360899348,1.0
0.5,0.20004651110529528,1.0,1.0,1.0,0.3282761332551022,0.34981871600561393,0.3509820922969353,0.09891067132759784,0.10512811152892992,1.0
