deff,item,iso,persist
1.5,confid_parl,12,False
1.5,confid_parl,31,True
1.5,confid_parl,32,False
1.5,confid_parl,36,False
1.5,confid_parl,50,False
1.5,confid_parl,51,False
1.5,confid_parl,70,True
1.5,confid_parl,76,False
1.5,confid_parl,100,True
1.5,confid_parl,112,False
1.5,confid_parl,124,False
1.5,confid_parl,152,False
1.5,confid_parl,156,False
1.5,confid_parl,158,False
1.5,confid_parl,170,False
1.5,confid_parl,196,True
1.5,confid_parl,203,False
1.5,confid_parl,218,True
1.5,confid_parl,231,False
1.5,confid_parl,233,False
1.5,confid_parl,246,False
1.5,confid_parl,268,False
1.5,confid_parl,276,False
1.5,confid_parl,288,True
1.5,confid_parl,320,False
1.5,confid_parl,344,True
1.5,confid_parl,348,True
1.5,confid_parl,356,False
1.5,confid_parl,360,False
1.5,confid_parl,364,False
1.5,confid_parl,368,True
1.5,confid_parl,392,False
1.5,confid_parl,398,False
1.5,confid_parl,400,False
1.5,confid_parl,410,False
1.5,confid_parl,417,False
1.5,confid_parl,422,False
1.5,confid_parl,434,True
1.5,confid_parl,458,False
1.5,confid_parl,484,False
1.5,confid_parl,498,False
1.5,confid_parl,504,False
1.5,confid_parl,528,False
1.5,confid_parl,554,False
1.5,confid_parl,566,False
1.5,confid_parl,578,True
1.5,confid_parl,586,False
1.5,confid_parl,604,False
1.5,confid_parl,608,False
1.5,confid_parl,616,False
1.5,confid_parl,630,False
1.5,confid_parl,642,False
1.5,confid_parl,643,False
1.5,confid_parl,646,True
1.5,confid_parl,688,False
1.5,confid_parl,702,False
1.5,confid_parl,703,False
1.5,confid_parl,704,False
1.5,confid_parl,705,False
1.5,confid_parl,710,False
1.5,confid_parl,716,False
1.5,confid_parl,724,False
1.5,confid_parl,752,False
1.5,confid_parl,756,False
1.5,confid_parl,764,False
1.5,confid_parl,780,False
1.5,confid_parl,788,False
1.5,confid_parl,792,False
1.5,confid_parl,804,False
1.5,confid_parl,807,True
1.5,confid_parl,818,True
1.5,confid_parl,826,True
1.5,confid_parl,840,False
1.5,confid_parl,858,False
1.5,confid_parl,860,True
1.5,confid_parl,862,False
2.0,imp_dem,20,False
2.0,imp_dem,32,False
2.0,imp_dem,36,False
2.0,imp_dem,51,False
2.0,imp_dem,76,False
2.0,imp_dem,124,True
2.0,imp_dem,152,False
2.0,imp_dem,156,False
2.0,imp_dem,158,False
2.0,imp_dem,170,False
2.0,imp_dem,196,False
2.0,imp_dem,218,False
2.0,imp_dem,231,False
2.0,imp_dem,268,True
2.0,imp_dem,276,False
2.0,imp_dem,288,True
2.0,imp_dem,344,False
2.0,imp_dem,356,False
2.0,imp_dem,360,False
2.0,imp_dem,364,False
2.0,imp_dem,368,True
2.0,imp_dem,392,False
2.0,imp_dem,398,True
2.0,imp_dem,400,False
2.0,imp_dem,410,False
2.0,imp_dem,417,False
2.0,imp_dem,422,True
2.0,imp_dem,434,False
2.0,imp_dem,458,False
2.0,imp_dem,484,False
2.0,imp_dem,504,False
2.0,imp_dem,528,False
2.0,imp_dem,554,False
2.0,imp_dem,566,False
2.0,imp_dem,586,False
2.0,imp_dem,604,False
2.0,imp_dem,608,True
2.0,imp_dem,616,False
2.0,imp_dem,642,False
2.0,imp_dem,643,False
2.0,imp_dem,646,True
2.0,imp_dem,688,False
2.0,imp_dem,702,False
2.0,imp_dem,704,False
2.0,imp_dem,705,False
2.0,imp_dem,710,True
2.0,imp_dem,716,False
2.0,imp_dem,724,False
2.0,imp_dem,752,True
2.0,imp_dem,764,False
2.0,imp_dem,780,False
2.0,imp_dem,788,True
2.0,imp_dem,792,True
2.0,imp_dem,804,False
2.0,imp_dem,818,False
2.0,imp_dem,826,False
2.0,imp_dem,840,False
2.0,imp_dem,858,False
2.0,imp_dem,860,False
2.0,rej_leader,8,True
2.0,rej_leader,12,True
2.0,rej_leader,20,False
2.0,rej_leader,31,False
2.0,rej_leader,32,False
2.0,rej_leader,36,False
2.0,rej_leader,50,False
2.0,rej_leader,51,False
2.0,rej_leader,70,True
2.0,rej_leader,76,False
2.0,rej_leader,100,False
2.0,rej_leader,112,False
2.0,rej_leader,124,False
2.0,rej_leader,152,False
2.0,rej_leader,156,False
2.0,rej_leader,158,False
2.0,rej_leader,170,False
2.0,rej_leader,196,False
2.0,rej_leader,203,False
2.0,rej_leader,218,False
2.0,rej_leader,231,False
2.0,rej_leader,233,True
2.0,rej_leader,246,True
2.0,rej_leader,268,False
2.0,rej_leader,276,False
2.0,rej_leader,288,False
2.0,rej_leader,320,False
2.0,rej_leader,344,False
2.0,rej_leader,348,False
2.0,rej_leader,356,False
2.0,rej_leader,360,False
2.0,rej_leader,364,False
2.0,rej_leader,368,False
2.0,rej_leader,392,False
2.0,rej_leader,398,False
2.0,rej_leader,400,False
2.0,rej_leader,410,False
2.0,rej_leader,417,False
2.0,rej_leader,422,True
