outcome,rho_mean,rho_max,n_ge_rho0,n,n_active,T3_T1,T3_T2
b13,0.11982822277026038,0.127956427609834,0,26,0,0.9942289614943645,0.9065903509304748
sat,0.10636162352153627,0.11903939713229325,0,26,0,0.9898143889151657,0.8940309560021832
ing4,0.2036324019523438,0.22152049866770887,0,26,0,0.9651198286086129,0.8048464428655773
