L,method,K,traj_cov_pct,cov_se,reps,width_ratio_median,feasible
2,marginal,30,38.224999999999994,0.7683341354840354,4000,0.830931744483083,True
2,per_round,30,81.72500000000001,0.6110491745759911,4000,0.9682105076325168,True
2,trajectory,30,89.95,0.4753939156110436,4000,1.0,True
2,per_round_bonf,30,93.5,0.3897916109923352,4000,1.1601524403779622,True
2,marginal_bonf,30,100.0,0.0,4000,inf,False
4,marginal,30,16.1,0.5811174580065548,4000,0.802167317159374,True
4,per_round,30,68.15,0.7366439947491596,4000,0.9246848702581135,True
4,trajectory,30,90.17500000000001,0.47062973105191735,4000,1.0,True
4,per_round_bonf,30,100.0,0.0,4000,inf,False
4,marginal_bonf,30,100.0,0.0,4000,inf,False
6,marginal,30,7.124999999999999,0.4067352870725627,4000,0.7896439383423227,True
6,per_round,30,58.199999999999996,0.7798653729971603,4000,0.9042254101907637,True
6,trajectory,30,90.3,0.4679503178757335,4000,1.0,True
6,per_round_bonf,30,100.0,0.0,4000,inf,False
6,marginal_bonf,30,100.0,0.0,4000,inf,False
8,marginal,30,3.5249999999999995,0.2915794810167546,4000,0.775809938760433,True
8,per_round,30,49.8,0.790563090461476,4000,0.8920544109855619,True
8,trajectory,30,90.925,0.4541872892871398,4000,1.0,True
8,per_round_bonf,30,100.0,0.0,4000,inf,False
8,marginal_bonf,30,100.0,0.0,4000,inf,False
2,marginal,100,37.925,0.7671692080304058,4000,0.7372070507794536,True
2,per_round,100,81.125,0.6187152768034745,4000,0.9327544646733894,True
2,trajectory,100,90.075,0.4727563788570176,4000,1.0,True
2,per_round_bonf,100,90.0,0.4743416490252569,4000,1.0401876461867292,True
2,marginal_bonf,100,100.0,0.0,4000,inf,False
4,marginal,100,16.075,0.5807526097659829,4000,0.6949899121520622,True
4,per_round,100,69.175,0.7301231702596488,4000,0.8751358677717134,True
4,trajectory,100,90.95,0.45362360498545484,4000,1.0,True
4,per_round_bonf,100,93.425,0.3918766945736886,4000,1.1420735051340887,True
4,marginal_bonf,100,100.0,0.0,4000,inf,False
6,marginal,100,7.2749999999999995,0.41066238414298434,4000,0.673644471069931,True
6,per_round,100,55.925000000000004,0.784999104298852,4000,0.8462939943452383,True
6,trajectory,100,90.025,0.4738141447339875,4000,1.0,True
6,per_round_bonf,100,93.75,0.38273277230987157,4000,1.2594222921748957,True
6,marginal_bonf,100,100.0,0.0,4000,inf,False
8,marginal,100,3.2,0.27828043409481734,4000,0.6614701395036516,True
8,per_round,100,46.875,0.7890238233095374,4000,0.8289613540773864,True
8,trajectory,100,89.0,0.4947221442385615,4000,1.0,True
8,per_round_bonf,100,92.4,0.41899880668087824,4000,1.2501705839198547,True
8,marginal_bonf,100,100.0,0.0,4000,inf,False
