outcome,tercile,n,rho,T3_T1,T3_T2
b13,low,10,0.07131436056924144,0.9967048034668217,0.9283999333332817
b13,mid,9,0.07250819992369718,0.996667984840843,0.9283656379132285
b13,high,9,0.07430469606929552,0.9969734851551004,0.9225300397074001
sat,low,10,0.06762199892878158,0.9913273238292512,0.9017202138546591
sat,mid,9,0.06924032107064262,0.9912077199332813,0.9016114210794987
sat,high,9,0.0709501633196899,0.9915707590344205,0.9035593378292085
ing4,low,10,0.13044912977739237,0.9825836837735455,0.8096889742612658
ing4,mid,9,0.13218743394161045,0.9825201283705614,0.8060341762731221
ing4,high,9,0.13522419749061945,0.9820481237920438,0.8056535728291334
