outcome,cntry,n_pairs,pair_plugin,pair_da,any_plugin,any_da,net_plugin,net_da,persist_plugin,persist_da,persist_da_bonf
trstprl,AT,2,1,1,True,True,True,True,False,False,False
trstprl,BE,2,2,0,True,False,True,True,True,False,False
trstprl,BG,2,0,0,False,False,False,False,False,False,False
trstprl,CH,2,1,0,True,False,False,False,False,False,False
trstprl,CY,2,0,0,False,False,False,False,False,False,False
trstprl,CZ,1,0,0,False,False,False,False,False,False,False
trstprl,DE,2,1,1,True,True,True,False,False,False,False
trstprl,EE,2,1,1,True,True,True,True,False,False,False
trstprl,ES,2,1,1,True,True,False,False,False,False,False
trstprl,FI,2,0,0,False,False,False,False,False,False,False
trstprl,FR,2,1,1,True,True,False,False,False,False,False
trstprl,GB,2,2,1,True,True,True,True,True,False,False
trstprl,GR,1,1,1,True,True,True,True,True,True,True
trstprl,HR,2,1,0,True,False,False,False,False,False,False
trstprl,HU,2,1,0,True,False,True,False,False,False,False
trstprl,IE,2,0,0,False,False,False,False,False,False,False
trstprl,IL,1,0,0,False,False,False,False,False,False,False
trstprl,IS,2,1,1,True,True,False,False,False,False,False
trstprl,IT,2,0,0,False,False,False,False,False,False,False
trstprl,LT,2,0,0,False,False,False,False,False,False,False
trstprl,LV,2,1,0,True,False,True,False,False,False,False
trstprl,ME,2,1,0,True,False,False,False,False,False,False
trstprl,NL,2,2,2,True,True,True,True,True,False,False
trstprl,NO,2,1,1,True,True,True,False,False,False,False
trstprl,PL,2,1,1,True,True,False,False,False,False,False
trstprl,PT,2,1,0,True,False,False,False,False,False,False
trstprl,RS,2,0,0,False,False,False,False,False,False,False
trstprl,SE,2,1,1,True,True,False,False,False,False,False
trstprl,SI,2,0,0,False,False,False,False,False,False,False
trstprl,SK,2,1,0,True,False,False,False,False,False,False
stfdem,AT,2,1,1,True,True,True,True,False,False,False
stfdem,BE,2,1,0,True,False,True,True,False,False,False
stfdem,BG,2,0,0,False,False,False,False,False,False,False
stfdem,CH,2,1,0,True,False,False,False,False,False,False
stfdem,CY,2,1,1,True,True,False,False,False,False,False
stfdem,CZ,1,0,0,False,False,False,False,False,False,False
stfdem,DE,2,2,0,True,False,True,True,True,False,False
stfdem,EE,2,1,1,True,True,True,True,False,False,False
stfdem,ES,2,1,1,True,True,False,False,False,False,False
stfdem,FI,2,1,1,True,True,False,False,False,False,False
stfdem,FR,2,1,1,True,True,True,False,False,False,False
stfdem,GB,2,1,1,True,True,True,True,False,False,False
stfdem,GR,1,1,1,True,True,True,True,True,True,False
stfdem,HR,2,0,0,False,False,False,False,False,False,False
stfdem,HU,2,1,1,True,True,True,False,False,False,False
stfdem,IE,2,1,0,True,False,False,False,False,False,False
stfdem,IL,1,0,0,False,False,False,False,False,False,False
stfdem,IS,2,1,1,True,True,False,False,False,False,False
stfdem,IT,2,1,0,True,False,True,False,False,False,False
stfdem,LT,2,0,0,False,False,False,False,False,False,False
stfdem,LV,2,1,1,True,True,False,False,False,False,False
stfdem,ME,2,0,0,False,False,False,False,False,False,False
stfdem,NL,2,2,1,True,True,True,True,True,False,False
stfdem,NO,2,1,0,True,False,True,False,False,False,False
stfdem,PL,2,1,1,True,True,True,False,False,False,False
stfdem,PT,2,1,1,True,True,True,True,False,False,False
stfdem,RS,2,1,0,True,False,False,False,False,False,False
stfdem,SE,2,1,0,True,False,False,False,False,False,False
stfdem,SI,2,0,0,False,False,False,False,False,False,False
stfdem,SK,2,1,0,True,False,False,False,False,False,False
