outcome,cntry,threshold,core,cdf_first,cdf_last,cdf_diff,cdf_lower
stfdem,CY,0,False,0.007029122925147486,0.094711470422612,0.08768234749746452,0.046885103232705345
stfdem,CY,1,True,0.01887105461295292,0.12745436928385076,0.10858331467089784,0.05902912658154982
stfdem,CY,2,True,0.037984951960303194,0.20682045072939023,0.16883549876908704,0.1094766219921165
stfdem,CY,3,True,0.07747804451869172,0.3232623357596419,0.2457842912409502,0.1764225840658547
stfdem,CY,4,True,0.13410545167127003,0.4588532062331574,0.32474775456188737,0.24550165181526315
stfdem,CY,5,False,0.31139055512968733,0.7025387501112006,0.39114819498151326,0.3081867059956049
stfdem,CY,6,False,0.45612619113049613,0.8126323360675184,0.35650614493702226,0.2762108376804935
stfdem,CY,7,False,0.6369771785314929,0.9148438354492631,0.2778666569177701,0.20712456976397753
stfdem,CY,8,False,0.7974727777810874,0.9686419158308448,0.17116913804975742,0.11632621257643293
stfdem,CY,9,False,0.9079805185543431,0.9834618525232509,0.07548133396890777,0.03591741044796464
stfdem,ES,0,False,0.022816089104950445,0.08466226893377907,0.06184617982882862,0.03626126682453184
stfdem,ES,1,True,0.043864135827147294,0.1272215941691227,0.08335745834197542,0.05038354137992099
stfdem,ES,2,True,0.08184830957011291,0.2118727377831183,0.1300244282130054,0.08713580783829127
stfdem,ES,3,True,0.15074256345967008,0.30578983047805985,0.15504726701838978,0.10404951469163232
stfdem,ES,4,True,0.24182665454982322,0.40189189773289874,0.16006524318307552,0.10391806051683675
stfdem,ES,5,False,0.4734070073627655,0.6039043178510639,0.13049731048829843,0.07135272606911638
stfdem,ES,6,False,0.6376245960534255,0.7312443287476614,0.09361973269423596,0.037291205529451525
stfdem,ES,7,False,0.812578556831069,0.8626071091993945,0.050028552368325485,0.004712473790754783
stfdem,ES,8,False,0.9312525832089914,0.9501407865779595,0.018888203368968126,-0.009391328813503415
stfdem,ES,9,False,0.9670028572068958,0.975618975762421,0.008616118555525132,-0.011682010573181585
stfdem,FR,0,False,0.06306662421572151,0.1099712246157216,0.04690460040000009,0.01051091486451361
stfdem,FR,1,True,0.10411138293665813,0.15562303591929447,0.05151165298263634,0.007132876119125983
stfdem,FR,2,True,0.18145037603553568,0.25329923627825846,0.07184886024272277,0.017131175519370274
stfdem,FR,3,True,0.28183008921677954,0.3983009913904619,0.11647090217368233,0.05280033303123882
stfdem,FR,4,True,0.41320904908097644,0.5189179020589323,0.10570885297795585,0.03818807090069387
stfdem,FR,5,False,0.606634733285605,0.688427026769606,0.08179229348400097,0.01579154371611588
stfdem,FR,6,False,0.7086499328762335,0.7923538453877105,0.08370391251147702,0.024001654739765378
stfdem,FR,7,False,0.8424206127574233,0.9077758447368072,0.06535523197938387,0.0199183385993046
stfdem,FR,8,False,0.9464917218279428,0.9690361524039214,0.022544430575978547,-0.00854389172976297
stfdem,FR,9,False,0.9793422201124671,0.9869633982796963,0.007621178167229181,-0.013933366277716817
stfdem,GB,0,False,0.04230913282392927,0.08839633912590096,0.04608720630197169,0.012502952864550186
stfdem,GB,1,True,0.058933377910457295,0.1631867132277531,0.1042533353172958,0.06365129766723794
stfdem,GB,2,True,0.12474507392334958,0.25311923783963897,0.1283741639162894,0.07648493421655306
stfdem,GB,3,True,0.2398351020940777,0.3524958399860812,0.11266073789200348,0.050816488583663194
stfdem,GB,4,True,0.3742369949390511,0.4672710208970341,0.09303402595798299,0.02803974731827444
stfdem,GB,5,False,0.580118793643211,0.6317486503886295,0.051629856745418534,-0.014564774477560508
stfdem,GB,6,False,0.7055209483078422,0.7494989381380873,0.043977989830245146,-0.016661883516696244
stfdem,GB,7,False,0.8536684085768472,0.8639419998479158,0.010273591271068527,-0.039949144142120585
stfdem,GB,8,False,0.9561280403157306,0.9539524881286318,-0.0021755521870988614,-0.030033821052089144
stfdem,GB,9,False,0.9828790464098838,0.9864882354801304,0.0036091890702466545,-0.010779315729562158
