min_n,essround,estimand,K,median_region_n,rho_hat,rho_lcb,D,floor,delta_ucb,gate_A_need,gate_B_reliability,gate_C_efficiency,gate_D_stability,raw_width_gain,gain_lcb,branch,coverage
40,10,raw region curve,290,127,0.27,0.2333,0.0902,0.0832,0.0146,False,True,False,True,0.0319,,PCB,0.8854
40,11,raw region curve,288,112,0.2466,0.2209,0.0891,0.0835,0.0145,False,True,False,True,0.0283,,PCB,0.8855
30,9,within-country deviation,293,115,0.5393,0.4762,0.117,0.0828,0.0171,True,True,False,True,0.1387,0.0753,conservative,0.8829
30,10,within-country deviation,310,123,0.5284,0.4617,0.1133,0.0805,0.0168,False,True,False,True,0.1301,,PCB,0.8832
30,11,within-country deviation,304,108,0.4896,0.4402,0.1065,0.0812,0.0161,False,True,False,True,0.1166,,PCB,0.8839
30,9,raw region curve,293,115,0.2702,0.2372,0.0907,0.0828,0.0147,False,True,False,True,0.0332,,PCB,0.8853
30,10,raw region curve,310,123,0.2731,0.2381,0.0873,0.0805,0.0143,False,True,False,True,0.0331,,PCB,0.8857
30,11,raw region curve,304,108,0.2512,0.2253,0.0871,0.0812,0.0143,False,True,False,True,0.0294,,PCB,0.8857
25,9,within-country deviation,300,112,0.5321,0.4706,0.1158,0.0818,0.017,True,True,False,True,0.1351,0.0499,conservative,0.883
25,10,within-country deviation,315,122,0.536,0.4692,0.1139,0.0798,0.0168,False,True,False,True,0.1347,,PCB,0.8832
25,11,within-country deviation,313,105,0.4974,0.4463,0.1059,0.0801,0.0161,False,True,False,True,0.1198,,PCB,0.8839
25,9,raw region curve,300,112,0.2694,0.2369,0.0896,0.0818,0.0145,False,True,False,True,0.033,,PCB,0.8855
25,10,raw region curve,315,122,0.2788,0.2436,0.0871,0.0798,0.0143,False,True,False,True,0.0346,,PCB,0.8857
25,11,raw region curve,313,105,0.2559,0.2291,0.0859,0.0801,0.0142,False,True,False,True,0.0303,,PCB,0.8858
