rho_true,rho_hat,branch,stable,cov_adaptive,cov_T1,cov_T3,w_T1,w_T3,w_T2
0.1,0.09967910219572183,T1,True,1,1,1,0.20492145423312003,0.20332018792333265,0.22727182464169624
0.1,0.10124758887871603,T1,True,1,1,1,0.23372918802807963,0.23265520567456355,0.25041677568317744
0.1,0.10959600421830844,T1,True,1,1,1,0.20033580715565888,0.19884371070598977,0.21867732429309597
0.1,0.10534308686989141,T1,True,1,1,1,0.23690304193743886,0.23508447393181095,0.254255741370375
0.1,0.09259550045359714,T1,True,1,1,1,0.23927124441201306,0.238404427349786,0.2534828027553102
0.1,0.11057167553798186,T1,True,1,1,1,0.2220273227556426,0.22092932891629025,0.23768737264900924
0.1,0.10080014157789584,T1,True,1,1,1,0.22672934665075636,0.22555166911117308,0.2427510983746207
0.1,0.10844976413676546,T1,True,1,1,1,0.21768499217533366,0.21659062130929171,0.23464410809293224
0.1,0.10252479687158562,T1,True,1,1,1,0.20209143004283311,0.20102017349217524,0.22016424249510058
0.1,0.09207906809855236,T1,True,1,1,1,0.2304484431238376,0.22948026677965616,0.24820378551943806
0.1,0.0909561051636101,T1,True,1,1,1,0.2730756230241059,0.27212365963849716,0.2857656198431188
0.1,0.10631944627501848,T1,True,1,1,1,0.24867011839468467,0.24786887895900872,0.2643199282446901
0.1,0.11722650155766133,T1,True,0,0,0,0.20030412715478732,0.1987748244377029,0.21949026427411977
0.1,0.10548800906025646,T1,True,1,1,1,0.2455199007676638,0.24404599934160956,0.2621477714722179
0.1,0.10366029184619777,T1,True,1,1,1,0.22370160957063584,0.222485199595412,0.23971071812120537
0.1,0.10643149984427058,T1,True,1,1,1,0.20901827134278758,0.20827038188520577,0.22358835734352012
0.1,0.10611635348078757,T1,True,1,1,1,0.24966028297218296,0.24848021594915817,0.26841234667102515
0.1,0.1043996951736014,T1,True,0,0,0,0.20445593006590912,0.20310161420428224,0.2221525975566376
0.1,0.10157167599970503,T1,True,1,1,1,0.252017905439099,0.250490809873024,0.26759547150950463
0.1,0.09928097923549596,T1,True,1,1,1,0.2184142615988846,0.21727618093559817,0.23936752859611948
0.1,0.10730629364285832,T1,True,1,1,1,0.23633477890341578,0.23523077364592337,0.25089291292700927
0.1,0.11006402881736267,T1,True,0,0,0,0.20353458312953193,0.20229962229652038,0.2190660550778271
0.1,0.09735075887079866,T1,True,1,1,1,0.24127543764449105,0.23994738772089802,0.2558581256573714
0.1,0.10782288684626812,T1,True,1,1,1,0.23994975791646925,0.23831031999581057,0.25860686527559135
0.1,0.10262240471841567,T1,True,1,1,1,0.2156703301281443,0.2139097837075138,0.2365614531540247
0.1,0.1031047765163832,T1,True,1,1,1,0.23719169222621017,0.23519308041381165,0.2619445964907547
0.1,0.0940075709309477,T1,True,1,1,1,0.2648591041600413,0.26348920364725376,0.2812196709397914
0.1,0.09602918367937006,T1,True,1,1,1,0.26292042230376006,0.261771435918231,0.2781102092647188
0.1,0.09578929457721305,T1,True,1,1,1,0.2464730981993069,0.2457013557795564,0.26073326779748174
0.1,0.10725398928760392,T1,True,1,1,1,0.218040438881089,0.21634938811917406,0.23728060038114815
0.1,0.10337081113937199,T1,True,1,1,1,0.21374437624448117,0.21225153947524805,0.23174322454596757
0.1,0.11315109802599736,T1,True,1,1,1,0.2082844358457634,0.20735276654466056,0.22752023589670237
0.1,0.09563354267928528,T1,True,1,1,1,0.26014737053872405,0.2586553074861107,0.27790379416311495
0.1,0.10514963438602003,T1,True,1,1,1,0.20697165804205228,0.205731425245798,0.22280904605784768
0.1,0.10757922635175846,T1,True,1,1,1,0.22490174097248414,0.22369073206522871,0.24119015318448506
0.1,0.10290725105606556,T1,True,1,1,1,0.27037283805831736,0.2684242567852045,0.291000262617029
0.1,0.09736535497695355,T1,True,1,1,1,0.23583193036728817,0.2342697187885551,0.2541641496608914
0.1,0.10050102270474183,T1,True,1,1,1,0.2240751406967192,0.2226534262330021,0.24050579932915006
0.1,0.1105425304182752,T1,True,1,1,1,0.22395398500898692,0.22265713657740413,0.23881988635521031
0.1,0.10207774755614689,T1,True,1,1,1,0.23608397567012454,0.23426452338469456,0.258716123444527
0.1,0.09914281350483754,T1,True,1,1,1,0.232746060691513,0.2321327736192695,0.24928608974637767
0.1,0.10186082810785041,T1,True,0,0,0,0.2011221828759376,0.20021340708861624,0.21855148156053536
0.1,0.10799934526822538,T1,True,1,1,0,0.2397587702789138,0.23850488137056053,0.25462615810549716
0.1,0.09651011688459032,T1,True,1,1,1,0.22899753061681108,0.22785081414341246,0.24498486103264808
0.1,0.1045895148445203,T1,True,1,1,1,0.2201728266663454,0.21868616986260972,0.2376358553888592
0.1,0.09994005456310573,T1,True,1,1,1,0.2398191063492044,0.23813083927226059,0.2565331228639232
0.1,0.09861796299772849,T1,True,1,1,1,0.24330196765317277,0.2413157456448827,0.2658958976499673
0.1,0.11437732546186125,T1,True,1,1,1,0.22315279193595547,0.22166699427018552,0.23943295289070046
0.1,0.10685127822282671,T1,True,1,1,1,0.22669209261419052,0.22568715543207507,0.24228961430115975
0.1,0.10056044720771254,T1,True,1,1,1,0.20981840452839007,0.2086549025334938,0.2299242080242692
0.1,0.09871202817692357,T1,True,1,1,1,0.23476450623225584,0.23386632376304528,0.24707457985426526
0.1,0.0952561321232939,T1,True,1,1,1,0.243871368697198,0.24312536175268976,0.25544154429054133
0.1,0.10139422057861408,T1,True,1,1,1,0.26014786086725483,0.25849995462618885,0.27718550958922156
0.1,0.10467079942361115,T1,True,1,1,1,0.24160106538565562,0.24038997857816558,0.25671513006091434
0.1,0.10267659945658518,T1,True,1,1,1,0.2532238549080161,0.2514192003742337,0.2709597148261968
0.1,0.10109592861328277,T1,True,1,1,1,0.24077569850414407,0.23955204941969996,0.255480479245833
0.1,0.10054750928715872,T1,True,1,1,1,0.22258305586278113,0.22117913675806106,0.2428712196114203
0.1,0.10462792714623163,T1,True,1,1,1,0.23487454793094745,0.23350077658919496,0.2549215132553919
0.1,0.1017996890135093,T1,True,1,1,1,0.19858190671024625,0.19738967689362907,0.21420587600637528
0.1,0.09700991330946007,T1,True,1,1,1,0.2177657461244176,0.21677099471691924,0.23206243449939348
0.1,0.1034666540722226,T1,True,1,1,1,0.22043443361522366,0.219161929724129,0.23691542814296587
0.1,0.11074662236059864,T1,True,1,1,1,0.228890942125106,0.2275693921409665,0.2435645913205594
0.1,0.10133596741479751,T1,True,1,1,1,0.17523865207402958,0.17433281835828957,0.1957047885970699
0.1,0.0986361648284528,T1,True,1,1,1,0.2618321768993718,0.26026983083467853,0.2805593668167721
0.1,0.10114141710433798,T1,True,1,1,1,0.22785250253002143,0.22719392725565762,0.24339219951401803
0.1,0.09383519841106502,T1,True,1,1,1,0.2739645302382155,0.272853957520647,0.28765331649468334
0.1,0.09964136071294562,T1,True,1,1,1,0.23266360919408227,0.2315573137502071,0.2514804170962086
0.1,0.10317630248744845,T1,True,1,1,1,0.20793739613893183,0.20672705129716945,0.2261409167888835
0.1,0.09324792448130405,T1,True,1,1,1,0.22970271915428117,0.2292930656766593,0.24673112492234464
0.1,0.10997145018357045,T1,True,1,1,1,0.216528256694746,0.21528239978796895,0.23247233554766927
0.1,0.10155789702470308,T1,True,1,1,1,0.23022196984694251,0.22937147551287762,0.2429637967660338
0.1,0.0948001159688354,T1,True,1,1,1,0.2294126495255203,0.22843622281201365,0.24942185659427787
0.1,0.10440242654608316,T1,True,1,1,1,0.2584481295147212,0.25709000242999025,0.2770961241864056
0.1,0.10801420898820825,T1,True,1,1,1,0.20420654659235282,0.20296520279145566,0.22524284146850898
0.1,0.10177119566712532,T1,True,0,0,0,0.22007451526832206,0.21876775001513385,0.23716896745123983
