outcome,cntry,n_rounds,r_first,r_last,n_pairs,n_pairs_weightsonly,pair_plugin,pair_da,any_plugin,any_da,net_plugin,net_da,persist_plugin,persist_da,persist_da_bonf,net_da_bonf
trstprl,AT,8,1,11,6,4,2,1,True,True,False,False,False,False,False,False
trstprl,BE,11,1,11,10,8,5,2,True,True,True,False,False,False,False,False
trstprl,BG,7,3,11,5,3,2,2,True,True,False,False,False,False,False,False
trstprl,CH,11,1,11,10,8,3,1,True,True,False,False,False,False,False,False
trstprl,CY,7,3,11,5,3,2,2,True,True,True,True,False,False,False,True
trstprl,CZ,9,1,10,7,6,3,1,True,True,False,False,False,False,False,False
trstprl,DE,11,1,11,10,8,4,4,True,True,False,False,False,False,False,False
trstprl,DK,8,1,9,6,6,2,2,True,True,True,False,False,False,False,False
trstprl,EE,10,2,11,9,7,3,3,True,True,False,False,False,False,False,False
trstprl,ES,11,1,11,10,8,4,3,True,True,True,True,False,False,False,True
trstprl,FI,11,1,11,10,8,2,2,True,True,False,False,False,False,False,False
trstprl,FR,11,1,11,10,8,6,2,True,True,True,True,False,False,False,False
trstprl,GB,11,1,11,10,8,6,4,True,True,True,True,False,False,False,True
trstprl,GR,6,1,11,3,2,2,2,True,True,True,True,False,False,False,True
trstprl,HR,5,4,11,3,1,2,1,True,True,False,False,False,False,False,False
trstprl,HU,11,1,11,10,8,5,3,True,True,True,True,False,False,False,True
trstprl,IE,11,1,11,10,8,3,1,True,True,False,False,False,False,False,False
trstprl,IL,8,1,11,5,4,1,0,True,False,True,True,False,False,False,True
trstprl,IS,6,2,11,3,1,1,1,True,True,True,False,False,False,False,False
trstprl,IT,6,1,11,3,1,0,0,False,False,True,True,False,False,False,True
trstprl,LT,7,5,11,6,4,1,1,True,True,False,False,False,False,False,False
trstprl,LU,2,1,2,1,1,0,0,False,False,False,False,False,False,False,False
trstprl,LV,4,4,11,2,0,1,0,True,False,False,False,False,False,False,False
trstprl,ME,3,9,11,2,0,1,0,True,False,False,False,False,False,False,False
trstprl,NL,11,1,11,10,8,5,3,True,True,True,False,False,False,False,False
trstprl,NO,11,1,11,10,8,2,2,True,True,False,False,False,False,False,False
trstprl,PL,11,1,11,10,8,4,3,True,True,False,False,False,False,False,False
trstprl,PT,11,1,11,10,8,5,4,True,True,True,False,False,False,False,False
trstprl,RS,3,9,11,2,0,0,0,False,False,False,False,False,False,False,False
trstprl,RU,5,3,8,3,3,1,1,True,True,False,False,False,False,False,False
trstprl,SE,11,1,11,10,8,4,3,True,True,False,False,False,False,False,False
trstprl,SI,11,1,11,10,8,2,1,True,True,False,False,False,False,False,False
trstprl,SK,8,2,11,6,4,4,2,True,True,False,False,False,False,False,False
trstprl,UA,6,2,11,4,4,3,2,True,True,True,True,False,False,False,True
stfdem,AT,8,1,11,6,4,1,1,True,True,False,False,False,False,False,False
stfdem,BE,11,1,11,10,8,4,1,True,True,True,True,False,False,False,False
stfdem,BG,7,3,11,5,3,1,1,True,True,False,False,False,False,False,False
stfdem,CH,11,1,11,10,8,3,1,True,True,False,False,False,False,False,False
stfdem,CY,7,3,11,5,3,3,3,True,True,True,True,False,False,False,True
stfdem,CZ,9,1,10,7,6,2,0,True,False,False,False,False,False,False,False
stfdem,DE,11,1,11,10,8,6,1,True,True,False,False,False,False,False,False
stfdem,DK,8,1,9,6,6,2,0,True,False,True,False,False,False,False,False
stfdem,EE,10,2,11,9,7,4,2,True,True,False,False,False,False,False,False
stfdem,ES,11,1,11,10,8,4,3,True,True,True,True,False,False,False,True
stfdem,FI,11,1,11,10,8,3,2,True,True,False,False,False,False,False,False
stfdem,FR,11,1,11,10,8,5,3,True,True,True,True,False,False,False,True
stfdem,GB,11,1,11,10,8,5,3,True,True,True,True,False,False,False,True
stfdem,GR,6,1,11,3,2,2,2,True,True,True,False,False,False,False,False
stfdem,HR,5,4,11,3,1,0,0,False,False,False,False,False,False,False,False
stfdem,HU,11,1,11,10,8,7,5,True,True,True,True,False,False,False,True
stfdem,IE,11,1,11,10,8,3,1,True,True,False,False,False,False,False,False
stfdem,IL,8,1,11,5,4,1,1,True,True,True,True,False,False,False,True
stfdem,IS,6,2,11,3,1,1,1,True,True,False,False,False,False,False,False
stfdem,IT,6,1,11,3,1,1,0,True,False,True,False,False,False,False,False
stfdem,LT,7,5,11,6,4,1,1,True,True,False,False,False,False,False,False
stfdem,LU,2,1,2,1,1,0,0,False,False,False,False,False,False,False,False
stfdem,LV,4,4,11,2,0,1,1,True,True,False,False,False,False,False,False
stfdem,ME,3,9,11,2,0,0,0,False,False,False,False,False,False,False,False
stfdem,NL,11,1,11,10,8,4,2,True,True,True,False,False,False,False,False
stfdem,NO,11,1,11,10,8,4,0,True,False,False,False,False,False,False,False
stfdem,PL,11,1,11,10,8,4,3,True,True,False,False,False,False,False,False
stfdem,PT,11,1,11,10,8,5,4,True,True,False,False,False,False,False,False
stfdem,RS,3,9,11,2,0,1,0,True,False,False,False,False,False,False,False
stfdem,RU,5,3,8,3,3,1,0,True,False,False,False,False,False,False,False
stfdem,SE,11,1,11,10,8,4,0,True,False,False,False,False,False,False,False
stfdem,SI,11,1,11,10,8,2,2,True,True,False,False,False,False,False,False
stfdem,SK,8,2,11,6,4,2,1,True,True,False,False,False,False,False,False
stfdem,UA,6,2,11,4,4,2,2,True,True,True,True,False,False,False,True
