shift,misspec,m1_cov,pcb_cov,bias_sigma
low,none,89.07894736842104,85.83333333333333,0.2633347530395808
low,mild,88.15789473684211,90.83333333333333,0.6436399332639998
low,severe,71.49122807017544,92.5,1.4616326407089442
medium,none,86.05263157894737,89.16666666666667,0.1257052042384815
medium,mild,88.28947368421053,90.83333333333333,0.283357262906497
medium,severe,85.92105263157896,91.66666666666666,0.6384586964424485
high,none,84.51754385964914,86.66666666666667,0.09206734887630016
high,mild,86.00877192982456,87.5,0.16959666090591158
high,severe,85.21929824561404,89.16666666666667,0.3583429874477061
