iso,item,certified,magnitude_lb
752,rej_leader,False,-0.14329
756,rej_leader,True,0.11543
764,rej_leader,False,-0.63355
780,rej_leader,True,0.05861
788,rej_leader,True,0.07499
792,rej_leader,False,-0.3632
804,rej_leader,False,-0.14875
807,rej_leader,False,-0.14749
818,rej_leader,False,-0.80141
826,rej_leader,False,-0.06208
840,rej_leader,False,-0.22063
858,rej_leader,False,-0.1678
860,rej_leader,False,-0.24729
862,rej_leader,False,-0.22214
8,rej_army,True,0.52127
12,rej_army,False,-0.0743
20,rej_army,False,-0.05064
31,rej_army,False,-0.31461
32,rej_army,False,-0.10285
36,rej_army,False,-0.12758
50,rej_army,False,-0.25338
51,rej_army,False,-0.19876
70,rej_army,True,0.0817
76,rej_army,False,-0.13428
100,rej_army,False,-0.08296
112,rej_army,True,0.02863
124,rej_army,False,-0.14865
152,rej_army,False,-0.14089
156,rej_army,False,-0.26536
158,rej_army,False,-0.0306
170,rej_army,False,-0.04799
196,rej_army,False,-0.02135
203,rej_army,False,-0.33643
218,rej_army,False,-0.01982
231,rej_army,False,-0.11253
233,rej_army,False,-0.09783
246,rej_army,True,0.01679
268,rej_army,False,-0.19312
276,rej_army,False,-0.09241
288,rej_army,False,-0.08488
320,rej_army,False,-0.13857
344,rej_army,False,-0.14084
348,rej_army,False,-0.08689
356,rej_army,False,-0.19616
360,rej_army,False,-0.00987
364,rej_army,False,-0.11431
368,rej_army,False,-0.27765
392,rej_army,False,-0.06887
398,rej_army,False,-0.28619
400,rej_army,False,-0.22939
410,rej_army,False,-0.20554
417,rej_army,False,-0.21668
422,rej_army,False,-0.14614
434,rej_army,False,-0.06811
458,rej_army,False,-0.08819
484,rej_army,False,-0.15015
498,rej_army,False,-0.18444
504,rej_army,False,-0.40117
528,rej_army,False,-0.01692
554,rej_army,False,-0.07493
566,rej_army,False,-0.20628
578,rej_army,False,-0.0953
586,rej_army,False,-0.6029
604,rej_army,False,-0.20478
608,rej_army,False,-0.20072
616,rej_army,False,-0.04155
630,rej_army,False,-0.26994
642,rej_army,False,-0.1827
643,rej_army,False,-0.07493
688,rej_army,False,-0.23015
702,rej_army,False,-0.15333
703,rej_army,False,-0.23718
704,rej_army,False,-0.53471
705,rej_army,False,-0.07235
710,rej_army,False,-0.21524
716,rej_army,False,-0.16148
724,rej_army,False,-0.09651
752,rej_army,False,-0.1565
756,rej_army,True,0.01046
764,rej_army,False,-0.30449
780,rej_army,True,0.0084
788,rej_army,False,-0.09231
792,rej_army,False,-0.0987
804,rej_army,False,-0.15006
807,rej_army,False,-0.24992
826,rej_army,False,-0.18777
840,rej_army,False,-0.21764
858,rej_army,False,-0.14723
860,rej_army,False,-0.14566
862,rej_army,False,-0.01414
8,sup_demsys,True,0.00213
12,sup_demsys,False,-0.00303
20,sup_demsys,False,-0.01466
31,sup_demsys,True,0.0205
32,sup_demsys,False,-0.0697
36,sup_demsys,False,-0.04098
50,sup_demsys,False,-0.0133
51,sup_demsys,False,-0.0977
70,sup_demsys,False,-0.01284
76,sup_demsys,False,-0.083
100,sup_demsys,False,-0.03723
112,sup_demsys,False,-0.08106
124,sup_demsys,False,-0.05713
152,sup_demsys,False,-0.11131
156,sup_demsys,False,-0.03115
158,sup_demsys,False,-0.0259
170,sup_demsys,False,-0.03089
196,sup_demsys,False,-0.0279
203,sup_demsys,True,0.00881
218,sup_demsys,True,0.02354
231,sup_demsys,True,0.00555
233,sup_demsys,False,-0.01648
246,sup_demsys,False,-0.16372
268,sup_demsys,False,-0.09004
276,sup_demsys,False,-0.04958
288,sup_demsys,False,-0.00926
320,sup_demsys,True,0.00877
344,sup_demsys,False,-0.0034
348,sup_demsys,False,-0.03196
356,sup_demsys,False,-0.03237
360,sup_demsys,False,-0.02251
364,sup_demsys,False,-0.08792
368,sup_demsys,False,-0.02773
392,sup_demsys,False,-0.07724
398,sup_demsys,False,-0.02021
400,sup_demsys,False,-0.03838
410,sup_demsys,False,-0.03875
417,sup_demsys,False,-0.08726
422,sup_demsys,False,-0.02212
434,sup_demsys,False,-0.05326
458,sup_demsys,False,-0.02998
484,sup_demsys,False,-0.09974
498,sup_demsys,False,-0.17002
504,sup_demsys,False,-0.03042
528,sup_demsys,False,-0.04063
554,sup_demsys,False,-0.05856
566,sup_demsys,False,-0.047
578,sup_demsys,False,-0.02302
586,sup_demsys,False,-0.24506
604,sup_demsys,False,-0.07693
608,sup_demsys,False,-0.03776
616,sup_demsys,False,-0.01872
630,sup_demsys,False,-0.02869
642,sup_demsys,False,-0.06926
643,sup_demsys,False,-0.24772
688,sup_demsys,False,-0.05972
702,sup_demsys,False,-0.02577
703,sup_demsys,True,0.00255
704,sup_demsys,False,-0.02337
705,sup_demsys,False,-0.03879
710,sup_demsys,False,-0.04053
716,sup_demsys,False,-0.11343
724,sup_demsys,False,-0.02775
752,sup_demsys,False,-0.03783
756,sup_demsys,False,-0.04295
764,sup_demsys,False,-0.01806
780,sup_demsys,False,-0.02418
788,sup_demsys,True,0.10434
792,sup_demsys,False,-0.05444
804,sup_demsys,False,-0.08451
807,sup_demsys,False,-0.10021
818,sup_demsys,False,-0.01789
826,sup_demsys,False,-0.03221
840,sup_demsys,False,-0.05631
858,sup_demsys,False,-0.06167
860,sup_demsys,True,0.06398
862,sup_demsys,False,-0.08936
8,confid_parl,True,0.11803
12,confid_parl,False,-0.01251
31,confid_parl,True,0.07126
32,confid_parl,False,-0.16982
36,confid_parl,False,-0.07221
50,confid_parl,False,-0.06832
51,confid_parl,False,-0.07343
70,confid_parl,True,0.11635
76,confid_parl,False,-0.13337
100,confid_parl,True,0.14968
112,confid_parl,False,-0.22887
124,confid_parl,False,-0.0937
152,confid_parl,False,-0.07575
156,confid_parl,False,-0.16853
158,confid_parl,False,-0.22009
170,confid_parl,False,-0.10303
196,confid_parl,True,0.01564
203,confid_parl,False,-0.18909
218,confid_parl,True,0.05044
231,confid_parl,False,-0.33272
233,confid_parl,False,-0.0151
246,confid_parl,False,-0.29
268,confid_parl,False,-0.09255
276,confid_parl,False,-0.27088
288,confid_parl,True,0.00911
320,confid_parl,False,-0.06402
344,confid_parl,True,0.01298
348,confid_parl,True,0.1356
356,confid_parl,False,-0.18849
360,confid_parl,False,-0.17843
364,confid_parl,False,-0.26435
368,confid_parl,True,0.07568
392,confid_parl,False,-0.15825
398,confid_parl,False,-0.05951
400,confid_parl,False,-0.04464
410,confid_parl,False,-0.21776
417,confid_parl,False,-0.23325
422,confid_parl,False,-0.04488
434,confid_parl,True,0.03549
458,confid_parl,False,-0.05077
484,confid_parl,False,-0.12573
498,confid_parl,False,-0.00576
504,confid_parl,False,-0.38955
528,confid_parl,False,-0.09184
554,confid_parl,False,-0.2371
566,confid_parl,False,-0.21949
578,confid_parl,True,0.00345
586,confid_parl,False,-0.3081
604,confid_parl,False,-0.09238
608,confid_parl,False,-0.14494
616,confid_parl,False,-0.08316
630,confid_parl,False,-0.08525
642,confid_parl,False,-0.01243
643,confid_parl,False,-0.11335
646,confid_parl,True,0.01791
688,confid_parl,False,-0.03433
702,confid_parl,False,-0.00403
703,confid_parl,False,-0.00193
704,confid_parl,False,-0.03417
705,confid_parl,False,-0.01293
710,confid_parl,False,-0.26368
716,confid_parl,False,-0.04829
724,confid_parl,False,-0.17153
752,confid_parl,False,-0.16105
756,confid_parl,False,-0.13751
764,confid_parl,False,-0.18293
780,confid_parl,False,-0.1487
788,confid_parl,False,-0.07647
792,confid_parl,False,-0.20114
804,confid_parl,False,-0.04601
807,confid_parl,True,0.06374
818,confid_parl,True,0.10217
826,confid_parl,True,0.05563
840,confid_parl,False,-0.12154
858,confid_parl,False,-0.10461
860,confid_parl,True,0.03815
862,confid_parl,False,-0.1816
