outcome,layer,cntry,essround,n,gap,m2_marg,m2_sim,m2_width,pcb_sim,pcb_width,da_sim,da_width,da_width_deploy
trstprl,all,DK,7,1491,1,1.0,1.0,0.1867915762216426,1.0,0.2454117372441889,,,
trstprl,all,DK,9,1560,2,1.0,1.0,0.1867915762216426,1.0,0.2590908900666284,,,
trstprl,all,EE,3,1424,1,1.0,1.0,0.1879808071015181,1.0,0.27824701710346195,,,
trstprl,all,EE,4,1621,1,1.0,1.0,0.1879808071015181,1.0,0.2747619710174067,,,
trstprl,all,EE,5,1732,1,1.0,1.0,0.1879808071015181,1.0,0.2843843639070492,,,
trstprl,all,EE,6,2337,1,1.0,1.0,0.1879808071015181,1.0,0.2835524082143369,,,
trstprl,all,EE,7,2027,1,1.0,1.0,0.1879808071015181,1.0,0.2845741219497474,,,
trstprl,all,EE,8,1995,1,1.0,1.0,0.1879808071015181,1.0,0.28381044327456084,,,
trstprl,all,EE,9,1890,1,1.0,1.0,0.1879808071015181,1.0,0.2782278941935926,,,
trstprl,all,EE,10,1523,1,1.0,1.0,0.1879808071015181,1.0,0.2754896141845645,,,
trstprl,all,EE,11,1271,1,1.0,1.0,0.1879808071015181,1.0,0.2709841678594471,,,
trstprl,all,ES,2,1560,1,1.0,1.0,0.18563064740470814,1.0,0.27665254623669194,,,
trstprl,all,ES,3,1781,1,1.0,1.0,0.18563064740470814,1.0,0.26719324132617683,,,
trstprl,all,ES,4,2357,1,1.0,1.0,0.18563064740470814,1.0,0.268278663030431,,,
trstprl,all,ES,5,1821,1,0.8,0.0,0.18563064740470814,1.0,0.26429544801024263,,,
trstprl,all,ES,6,1802,1,0.5,0.0,0.18563064740470814,1.0,0.28075046028618467,,,
trstprl,all,ES,7,1802,1,1.0,1.0,0.18563064740470814,1.0,0.27988013542228585,,,
trstprl,all,ES,8,1854,1,1.0,1.0,0.18563064740470814,1.0,0.28643596705660357,,,
trstprl,all,ES,9,1583,1,1.0,1.0,0.18563064740470814,1.0,0.28655181432874743,,,
trstprl,all,ES,10,2244,1,0.9,0.0,0.18563064740470814,0.0,0.2864265257354912,,,
trstprl,all,ES,11,1795,1,0.9,0.0,0.18563064740470814,1.0,0.29194672622667606,,,
trstprl,all,FI,2,2003,1,1.0,1.0,0.18616707750882705,1.0,0.2445957221701625,,,
trstprl,all,FI,3,1883,1,1.0,1.0,0.18616707750882705,1.0,0.23804810052922215,,,
trstprl,all,FI,4,2183,1,1.0,1.0,0.18616707750882705,1.0,0.24206151857220962,,,
trstprl,all,FI,5,1866,1,0.7,0.0,0.18616707750882705,1.0,0.23992076458087563,,,
trstprl,all,FI,6,2188,1,0.8,0.0,0.18616707750882705,1.0,0.25591457074736057,,,
trstprl,all,FI,7,2073,1,1.0,1.0,0.18616707750882705,1.0,0.2413349441336509,,,
trstprl,all,FI,8,1922,1,1.0,1.0,0.18616707750882705,1.0,0.25743541344671883,,,
trstprl,all,FI,9,1743,1,1.0,1.0,0.18616707750882705,1.0,0.2522619610016573,,,
trstprl,all,FI,10,1574,1,0.7,0.0,0.18616707750882705,0.0,0.24631776344978804,,,
trstprl,all,FI,11,1559,1,1.0,1.0,0.18616707750882705,1.0,0.2322331950209807,,,
trstprl,all,FR,2,1778,1,1.0,1.0,0.1879808071015181,1.0,0.2772849725442507,,,
trstprl,all,FR,3,1943,1,1.0,1.0,0.1879808071015181,1.0,0.276911598478948,,,
trstprl,all,FR,4,2038,1,1.0,1.0,0.1879808071015181,1.0,0.27607051440644303,,,
trstprl,all,FR,5,1706,1,1.0,1.0,0.1879808071015181,1.0,0.27298067725831376,,,
trstprl,all,FR,6,1942,1,1.0,1.0,0.1879808071015181,1.0,0.27971441832388905,,,
trstprl,all,FR,7,1884,1,1.0,1.0,0.1879808071015181,1.0,0.2813207745257519,,,
trstprl,all,FR,8,2043,1,1.0,1.0,0.1879808071015181,1.0,0.2845867545558375,,,
trstprl,all,FR,9,1950,1,1.0,1.0,0.1879808071015181,1.0,0.28068010337460214,,,
trstprl,all,FR,10,1915,1,1.0,1.0,0.1879808071015181,1.0,0.2815999628050387,,,
trstprl,all,FR,11,1727,1,1.0,1.0,0.1879808071015181,1.0,0.2787110733915741,,,
trstprl,all,GB,2,1874,1,1.0,1.0,0.18798072326222012,1.0,0.27091197107165044,,,
trstprl,all,GB,3,2349,1,1.0,1.0,0.18798072326222012,1.0,0.2778433624301091,,,
trstprl,all,GB,4,2318,1,1.0,1.0,0.18798072326222012,1.0,0.2785458862549062,,,
trstprl,all,GB,5,2344,1,1.0,1.0,0.18798072326222012,1.0,0.2834802444513234,,,
trstprl,all,GB,6,2219,1,1.0,1.0,0.18798072326222012,1.0,0.28392610371037313,,,
trstprl,all,GB,7,2227,1,0.9,0.0,0.18798072326222012,1.0,0.278483242635187,,,
trstprl,all,GB,8,1939,1,1.0,1.0,0.18798072326222012,1.0,0.2884052323540101,,,
trstprl,all,GB,9,2182,1,1.0,1.0,0.18798072326222012,1.0,0.2729368575489648,,,
trstprl,all,GB,10,1141,1,1.0,1.0,0.18798072326222012,1.0,0.28537026582303693,,,
trstprl,all,GB,11,1642,1,1.0,1.0,0.18798072326222012,1.0,0.2803277103288003,,,
trstprl,all,GR,2,2362,1,0.9,0.0,0.17599359009027435,1.0,0.2781375404968438,,,
trstprl,all,GR,4,2050,2,0.2,0.0,0.17599359009027435,1.0,0.2760903447174149,,,
trstprl,all,GR,5,2687,1,0.3,0.0,0.17599359009027435,0.0,0.2724873150697632,,,
trstprl,all,GR,10,2783,5,0.3,0.0,0.17599359009027435,0.0,0.24670683114468153,,,
trstprl,all,GR,11,2739,1,0.5,0.0,0.17599359009027435,0.0,0.26342385866525386,,,
trstprl,all,HR,5,1610,1,0.7,0.0,0.18628868435629653,1.0,0.27292462679876694,,,
trstprl,all,HR,9,1794,4,1.0,1.0,0.18628868435629653,1.0,0.2561487293448013,,,
trstprl,all,HR,10,1557,1,0.7,0.0,0.18628868435629653,0.0,0.2567491427762666,,,
trstprl,all,HR,11,1525,1,1.0,1.0,0.18628868435629653,1.0,0.2805536154288046,,,
trstprl,all,HU,2,1448,1,0.1,0.0,0.18180328141442315,0.0,0.2727494892038617,,,
trstprl,all,HU,3,1454,1,1.0,1.0,0.18180328141442315,1.0,0.27541336430669183,,,
trstprl,all,HU,4,1502,1,0.7,0.0,0.18180328141442315,1.0,0.27852159536218773,,,
trstprl,all,HU,5,1520,1,0.0,0.0,0.18180328141442315,0.0,0.25719329105234057,,,
trstprl,all,HU,6,1927,1,1.0,1.0,0.18180328141442315,1.0,0.28414193578865327,,,
trstprl,all,HU,7,1657,1,1.0,1.0,0.18180328141442315,1.0,0.2834191621367924,,,
trstprl,all,HU,8,1566,1,1.0,1.0,0.18180328141442315,1.0,0.28224709877528664,,,
trstprl,all,HU,9,1621,1,1.0,1.0,0.18180328141442315,1.0,0.2829541526535131,,,
trstprl,all,HU,10,1809,1,1.0,1.0,0.18180328141442315,1.0,0.28090260188832444,,,
trstprl,all,HU,11,2083,1,0.9,0.0,0.18180328141442315,1.0,0.2780752666841887,,,
trstprl,all,IE,2,2232,1,1.0,1.0,0.18591023079050162,1.0,0.28374116004540123,,,
trstprl,all,IE,3,1719,1,1.0,1.0,0.18591023079050162,1.0,0.2761344388363863,,,
trstprl,all,IE,4,1745,1,0.4,0.0,0.18591023079050162,1.0,0.2719931558124344,,,
trstprl,all,IE,5,2459,1,1.0,1.0,0.18591023079050162,1.0,0.2826838817201591,,,
trstprl,all,IE,6,2517,1,1.0,1.0,0.18591023079050162,1.0,0.278670694258351,,,
trstprl,all,IE,7,2292,1,1.0,1.0,0.18591023079050162,1.0,0.28038726125767555,,,
