deff,outcome,cntry,n_pairs,n_pairs_weightsonly,any_da,net_da,persist_da
1.0,stfdem,FI,10,8,True,False,False
1.0,stfdem,FR,10,8,True,True,False
1.0,stfdem,GB,10,8,True,True,False
1.0,stfdem,GR,3,2,True,False,False
1.0,stfdem,HR,3,1,False,False,False
1.0,stfdem,HU,10,8,True,True,False
1.0,stfdem,IE,10,8,True,False,False
1.0,stfdem,IL,5,4,True,True,False
1.0,stfdem,IS,3,1,True,False,False
1.0,stfdem,IT,3,1,False,False,False
1.0,stfdem,LT,6,4,True,False,False
1.0,stfdem,LU,1,1,False,False,False
1.0,stfdem,LV,2,0,True,False,False
1.0,stfdem,ME,2,0,False,False,False
1.0,stfdem,NL,10,8,True,False,False
1.0,stfdem,NO,10,8,False,False,False
1.0,stfdem,PL,10,8,True,False,False
1.0,stfdem,PT,10,8,True,False,False
1.0,stfdem,RS,2,0,False,False,False
1.0,stfdem,RU,3,3,False,False,False
1.0,stfdem,SE,10,8,False,False,False
1.0,stfdem,SI,10,8,True,False,False
1.0,stfdem,SK,6,4,True,False,False
1.0,stfdem,UA,4,4,True,True,False
1.5,trstprl,AT,6,4,True,False,False
1.5,trstprl,BE,10,8,False,False,False
1.5,trstprl,BG,5,3,True,False,False
1.5,trstprl,CH,10,8,False,False,False
1.5,trstprl,CY,5,3,True,True,False
1.5,trstprl,CZ,7,6,True,False,False
1.5,trstprl,DE,10,8,True,False,False
1.5,trstprl,DK,6,6,True,False,False
1.5,trstprl,EE,9,7,True,False,False
1.5,trstprl,ES,10,8,True,True,False
1.5,trstprl,FI,10,8,True,False,False
1.5,trstprl,FR,10,8,True,True,False
1.5,trstprl,GB,10,8,True,True,False
1.5,trstprl,GR,3,2,True,True,False
1.5,trstprl,HR,3,1,True,False,False
1.5,trstprl,HU,10,8,True,True,False
1.5,trstprl,IE,10,8,True,False,False
1.5,trstprl,IL,5,4,False,True,False
1.5,trstprl,IS,3,1,True,False,False
1.5,trstprl,IT,3,1,False,True,False
1.5,trstprl,LT,6,4,True,False,False
1.5,trstprl,LU,1,1,False,False,False
1.5,trstprl,LV,2,0,False,False,False
1.5,trstprl,ME,2,0,False,False,False
1.5,trstprl,NL,10,8,True,False,False
1.5,trstprl,NO,10,8,True,False,False
1.5,trstprl,PL,10,8,True,False,False
1.5,trstprl,PT,10,8,True,False,False
1.5,trstprl,RS,2,0,False,False,False
1.5,trstprl,RU,3,3,True,False,False
1.5,trstprl,SE,10,8,True,False,False
1.5,trstprl,SI,10,8,True,False,False
1.5,trstprl,SK,6,4,True,False,False
1.5,trstprl,UA,4,4,True,True,False
1.5,stfdem,AT,6,4,True,False,False
1.5,stfdem,BE,10,8,True,True,False
1.5,stfdem,BG,5,3,False,False,False
1.5,stfdem,CH,10,8,False,False,False
1.5,stfdem,CY,5,3,True,True,False
1.5,stfdem,CZ,7,6,False,False,False
1.5,stfdem,DE,10,8,True,False,False
1.5,stfdem,DK,6,6,False,False,False
1.5,stfdem,EE,9,7,True,False,False
1.5,stfdem,ES,10,8,True,True,False
1.5,stfdem,FI,10,8,True,False,False
1.5,stfdem,FR,10,8,True,True,False
1.5,stfdem,GB,10,8,True,True,False
1.5,stfdem,GR,3,2,True,False,False
1.5,stfdem,HR,3,1,False,False,False
1.5,stfdem,HU,10,8,True,True,False
1.5,stfdem,IE,10,8,True,False,False
1.5,stfdem,IL,5,4,True,True,False
1.5,stfdem,IS,3,1,True,False,False
1.5,stfdem,IT,3,1,False,False,False
1.5,stfdem,LT,6,4,True,False,False
1.5,stfdem,LU,1,1,False,False,False
1.5,stfdem,LV,2,0,True,False,False
1.5,stfdem,ME,2,0,False,False,False
1.5,stfdem,NL,10,8,True,False,False
1.5,stfdem,NO,10,8,False,False,False
1.5,stfdem,PL,10,8,True,False,False
1.5,stfdem,PT,10,8,True,False,False
1.5,stfdem,RS,2,0,False,False,False
1.5,stfdem,RU,3,3,False,False,False
