method,K,L,T,hetero,eff_K,attainable,coverage,round_cov,mean_width,max_width,cal_mean,cal_q90,tgt_mean,cal_target_ratio
U0,20,1,10,0,20,0.905,0.907,0.907,0.178514805520782,0.17851480552078197,0.052556483306590004,0.0845908053201311,0.051515036986890236,1.0202163558567336
S1,20,1,10,0,12,0.923,0.933,0.933,0.22018300555617284,0.27190795098068843,1.7003292899131386,2.9819926269072083,1.6538612261334025,1.0280967127383323
S2,20,1,10,0,20,0.905,0.879,0.879,0.17415530500874615,0.19689230561882096,1.3795787005158286,2.190561425922264,1.4210345791208234,0.9708269740834575
S3,20,1,10,0,20,0.905,0.879,0.879,0.17415530500874615,0.19689230561882096,1.3795787005158286,2.190561425922264,1.4210345791208234,0.9708269740834575
U0,20,1,10,1,20,0.905,0.903,0.903,0.1859600819705629,0.1859600819705629,0.05549719601013272,0.08882004685199316,0.055345607800209834,1.0027389383900183
S1,20,1,10,1,12,0.923,0.923,0.923,0.2240959434292589,0.2929943231026797,1.7714437425739324,3.0125910333859043,1.7626854001724663,1.0049687496138615
S2,20,1,10,1,20,0.905,0.873,0.873,0.17506806610053927,0.20843376503449482,1.4038847386084254,2.2034001705609976,1.4777601323996101,0.9500085350988426
S3,20,1,10,1,20,0.905,0.873,0.873,0.17506806610053927,0.20843376503449482,1.4038847386084254,2.2034001705609976,1.4777601323996101,0.9500085350988426
U0,20,2,10,0,20,0.905,0.908,0.9455,0.19577819399723242,0.19577819399723245,0.062240676210246614,0.09366972597051096,0.06326863807134762,0.9837524262820107
S1,20,2,10,0,12,0.923,0.92,0.955,0.25935746815835803,0.35080573903257006,2.1392410989419663,3.5267069666431663,2.1986600083295986,0.9729749442103262
S2,20,2,10,0,20,0.905,0.892,0.9365,0.19210499104309192,0.2100358767435029,1.6347921840730288,2.421902982388308,1.7128780022832812,0.9544125045063552
S3,20,2,10,0,20,0.905,0.848,0.91,0.18782394084538442,0.22514136188006165,1.6381318718639701,2.408638026758791,1.793078821937405,0.91358609104199
U0,20,2,10,1,20,0.905,0.907,0.9425,0.20544013998600075,0.20544013998600077,0.06635162108018673,0.09842619070987368,0.0655708085372074,1.0119079291593038
S1,20,2,10,1,12,0.923,0.927,0.958,0.26352821218254346,0.37295699108936897,2.154740264442383,3.5329013319474996,2.134958950920278,1.0092654303791546
S2,20,2,10,1,20,0.905,0.889,0.933,0.19530327054017826,0.22511944148355736,1.654387638182404,2.430924294701326,1.6951406156869926,0.9759589398499118
