outcome,cntry,n_rounds,r_first,r_last,cdf_net,cdf_net_lower,divergence,mean_first,mean_last,mean_decline,mean_sd,mean_lower,mean_certified
stfdem,HU,11,1,11,True,0.028433792046529627,False,4.826279269393872,4.350054619091817,0.4762246503020551,0.0999045940318516,0.34415272412362796,True
stfdem,GB,11,1,11,True,0.02803974731827444,False,5.081625081055621,4.489900536940197,0.591724544115424,0.10049227406379323,0.46787742385246306,True
stfdem,FR,11,1,11,True,0.007132876119125983,False,4.872793257654657,4.21933134215959,0.6534619154950674,0.10352856333836286,0.5213430858031117,True
stfdem,IL,8,1,11,True,0.05143787375178923,False,5.047931279706807,4.254067870029969,0.7938634096768382,0.10688020035600898,0.6577369182883682,True
stfdem,ES,11,1,11,True,0.05038354137992099,False,5.637036646825148,4.7450461527645205,0.8919904940606278,0.0832091566485638,0.7887779150617801,True
stfdem,UA,6,2,11,True,0.07597572323945234,False,4.075386564005717,2.9733906851114345,1.1019958788942823,0.11335094758958084,0.9506155784093658,True
stfdem,CY,7,3,11,True,0.05902912658154982,False,6.614584153184527,4.40677947758927,2.2078046755952574,0.13481627118092587,2.0428505581914576,True
trstprl,HU,11,1,11,True,0.011250893073844609,False,4.956287331449303,4.573703145791512,0.38258418565779095,0.10559329320493133,0.2442347125968098,True
trstprl,ES,11,1,11,True,0.005644676933938171,False,4.76258199917199,4.288804937743711,0.47377706142827947,0.09840616850785783,0.34915356497656624,True
trstprl,IT,6,1,11,True,0.016046707512072454,False,4.829643530017367,4.3049164994488445,0.5247270305685223,0.11196875633772722,0.37494000403968486,True
trstprl,IL,8,1,11,True,0.025700110809610655,False,4.631478756218185,3.8584656334976364,0.773013122720549,0.11445569210296525,0.6264331465677537,True
trstprl,GB,11,1,11,True,0.061197577890808624,False,4.685218662471581,3.8050661246333064,0.8801525378382742,0.09820571703117853,0.7514231569012886,True
trstprl,GR,6,1,11,True,0.03103932594588671,False,4.7861554963970985,3.22349395777519,1.5626615386219083,0.07772206230965013,1.4667043276798122,True
trstprl,CY,7,3,11,True,0.06231799596250605,False,5.715178676858914,3.8560576592775604,1.8591210175813533,0.14840684589701075,1.6720945174867479,True
trstprl,UA,6,2,11,True,0.25891894793949305,False,4.536222683913244,2.1381979869139025,2.3980246969993413,0.10517930151551286,2.2627580890208567,True
