rho_true,rho_hat,branch,cov_T3,cov_T3_safe,cov_adaptive_safe,w_T3,w_T3_safe,w_T1
0.1,0.09188192745817687,T1,1,1,1,0.25612422819397584,0.2561094427987936,0.2570877595819102
0.1,0.1075264534190451,T1,1,1,1,0.21068406970250336,0.21066735874221304,0.2125796178890888
0.1,0.10194496793861588,T1,0,0,0,0.21539891498483396,0.21545349148442186,0.2163557420998907
0.1,0.08696300067587169,T1,1,1,1,0.3221429725483814,0.322155341429725,0.3235139373098558
0.1,0.11188966886605237,T1,1,1,1,0.21788297075822874,0.21781469879145127,0.21973307997669358
0.1,0.09532728131638345,T1,1,1,1,0.275564096247588,0.27558912693756127,0.276643540613023
0.1,0.09333070709440426,T1,1,1,1,0.2506677046146304,0.2506542519790181,0.2516136254317251
0.1,0.10018827740376046,T1,1,1,1,0.2709465865206438,0.270901700797446,0.27182788679899256
0.1,0.11717137454232077,T1,1,1,1,0.1854385860715335,0.18543784339801891,0.18671596020028877
0.1,0.10858993377422364,T1,1,1,1,0.20061282532480088,0.20065096972116775,0.20155851663729646
0.1,0.10179522868990518,T1,1,1,1,0.2720295976267216,0.27207680224607,0.27359136999421
0.1,0.10115331401386796,T1,1,1,1,0.22723348969143367,0.2272529534734453,0.22827509449903155
0.1,0.09511392338006071,T1,1,1,1,0.2535955200756723,0.2536209805625962,0.25432907328007054
0.1,0.0997360026538434,T1,0,0,0,0.22045443534922848,0.22048881954224722,0.22152986340531639
0.1,0.10016390530936248,T1,1,1,1,0.26216055928972093,0.26217132583569813,0.2632291766634023
0.1,0.10659848750892185,T1,0,0,0,0.2024488044648742,0.20246610475229132,0.20380949552513203
0.1,0.11383986249293375,T1,1,1,1,0.20421863718388444,0.20420808767515217,0.20612733448817377
0.1,0.10071859237030681,T1,1,1,1,0.19872887877550743,0.19869847015676273,0.19941975390831262
0.1,0.09004544096394047,T1,1,1,1,0.28035919159925693,0.2803776692200268,0.28207779571024366
0.1,0.10027291126175696,T1,1,1,1,0.24175718013937075,0.24171804669179267,0.24260560785460744
0.1,0.10448708936293177,T1,1,1,1,0.23033644535174183,0.2303273876932403,0.23172188592851564
0.1,0.10730796819733052,T1,1,1,1,0.18996509006959736,0.18998872660235444,0.19088827112594312
0.1,0.10980099398521347,T1,0,0,0,0.22888026563206035,0.22890366260576492,0.23049935258109566
0.1,0.09809289219030297,T1,0,0,0,0.21763212807841587,0.21763211594249618,0.21884544039762585
0.1,0.10253751318241962,T1,1,1,1,0.21165218020756268,0.21164476465215828,0.21235033255027513
0.1,0.08964646499313962,T1,1,1,1,0.24312866602829483,0.2430491714338952,0.24392483319154432
0.1,0.11083308600248776,T1,1,1,1,0.2329413373479784,0.23294021622338168,0.23471922868760534
0.1,0.0989743529058332,T1,1,1,1,0.21093240467602342,0.21091020807612693,0.21205731520900534
0.1,0.09421828678272934,T1,1,1,1,0.24463907934642676,0.24464031942673914,0.24562975313269547
0.1,0.095578597619856,T1,1,1,1,0.2577248898534796,0.25768341187474575,0.2584054965665639
0.1,0.10032454505588684,T1,1,1,1,0.2090987399028295,0.20913185178740124,0.2103761748824998
0.1,0.10058460353326734,T1,1,1,1,0.2320509929800412,0.23204437043831344,0.23340772287324227
0.1,0.08904659467334662,T1,1,1,1,0.2729438298025672,0.2729453107743076,0.273658381564791
0.1,0.10727427443849048,T1,1,1,1,0.20547301038328283,0.20546124762810625,0.20635722034418735
0.1,0.09553043188208359,T1,1,1,1,0.24205856554989894,0.2420579398683749,0.2432961792160691
0.1,0.10042823999697245,T1,1,1,1,0.23672293202338382,0.23667553924544266,0.23770366917460037
0.1,0.09355082253937641,T1,0,0,0,0.22866703434191873,0.22858863878877386,0.22881474108753627
0.1,0.10320826068469287,T1,1,1,1,0.20985277954636172,0.2098569267365444,0.2110405052504307
0.1,0.10654578604006539,T1,1,1,1,0.23674412816673224,0.23679795942600698,0.23798360937006355
0.1,0.10857063538727975,T1,1,1,1,0.18849575543022065,0.18846274359245763,0.19013520368751713
0.1,0.09866516944819287,T1,1,1,1,0.24163775985073213,0.24163444662641845,0.24285652004075797
0.1,0.11425956338816878,T1,1,1,1,0.20335281062677635,0.2033562807629653,0.2050882307853104
0.1,0.11055152771422631,T1,1,1,1,0.20865889804254958,0.20866992759573702,0.21044831805309483
0.1,0.09742642465959851,T1,1,1,1,0.20564660587470893,0.20562631908294435,0.20703961051525435
0.1,0.0948351184200997,T1,1,1,1,0.20678404356606384,0.2067925919824356,0.20820085438959465
0.1,0.11037590723124786,T1,1,1,1,0.20369722770214244,0.2036615777525507,0.2054016704111448
0.1,0.10841493883713996,T1,0,0,0,0.23129488903429268,0.23131796756232015,0.23318619624611608
0.1,0.12457488455857135,T1,1,1,1,0.18394807495909823,0.18393614870249528,0.18509541118363512
0.1,0.10710801937492487,T1,1,1,1,0.21282500979998642,0.2128548943615344,0.2138776244273006
0.1,0.10286249762449769,T1,1,1,1,0.22335598283746647,0.22338338231508917,0.2248900257070007
0.1,0.1074325120613332,T1,1,1,1,0.18755152507939307,0.18752127688980563,0.1885058193939618
0.1,0.09707322236549037,T1,1,1,1,0.20629847772170207,0.20628142138825192,0.20712378045728885
0.1,0.09713666201384798,T1,1,1,1,0.2596848046271276,0.2596716227379509,0.26090510745596385
0.1,0.10078407576047203,T1,1,1,1,0.26997243523503894,0.2699707300605088,0.2706041716868899
0.1,0.1043400981562148,T1,1,1,1,0.2057522311460989,0.20577922602990012,0.20705582478236273
0.1,0.09719770334084848,T1,1,1,1,0.23863264243693783,0.23865312417303697,0.239766913749694
0.1,0.10743558644902597,T1,1,1,1,0.20099858426084896,0.20100696100449786,0.2018529701572341
0.1,0.11157406359208172,T1,1,1,1,0.1918035323296254,0.19179111954218703,0.19266801212201243
0.1,0.09779486227210586,T1,0,0,0,0.2123942018044231,0.21238737316851813,0.2128105698875625
0.1,0.1156935469826446,T1,1,1,1,0.2507402745914677,0.2508062330376021,0.252408443270439
0.1,0.10614524219907331,T1,1,1,1,0.20076425050174687,0.20074121419834962,0.2012160139933191
0.1,0.09897546616956314,T1,1,1,1,0.20889505825653823,0.20883117998219344,0.2095757722892266
0.1,0.08630896305481325,T1,1,1,1,0.26293331163865347,0.2628622079029928,0.2635878995730203
0.1,0.10012542008725281,T1,1,1,1,0.2092666658175434,0.2092508705480004,0.21019977815022753
0.1,0.09574038761905342,T1,1,1,1,0.21550525199682463,0.21551290561969363,0.21681534351210235
0.1,0.09782892887571293,T1,1,1,1,0.2510620456379,0.2510587084810914,0.2525603874986063
0.1,0.1158917885845605,T1,1,1,1,0.2055396194251268,0.20554904402764226,0.20662767698832504
0.1,0.1082558196442231,T1,1,1,1,0.2095915380910064,0.20959298170078042,0.2100584443285612
0.1,0.1105388702941989,T1,1,1,1,0.2074981906275999,0.2074784183601618,0.20847244873019627
0.1,0.10271745217457505,T1,1,1,1,0.22406746437883063,0.22398778060324492,0.22552951316071038
0.1,0.11395553300792402,T1,1,1,1,0.19893609396668863,0.19895481711031454,0.1993897332433807
0.1,0.10486375629634874,T1,1,1,1,0.2478005655968766,0.24783291938729013,0.24908134239577498
0.1,0.10897004315384001,T1,1,1,1,0.23348772782362304,0.23350502230816383,0.2351924388445388
0.1,0.10248914863497034,T1,1,1,1,0.277552398627673,0.2775800033633052,0.27912164119359545
0.1,0.10790656172292011,T1,1,1,1,0.23360843156033592,0.23361583362424282,0.23528248537919613
0.1,0.09816487197434495,T1,1,1,1,0.2426415865118265,0.24258875660619342,0.2426107715208684
0.1,0.10599400756457718,T1,1,1,1,0.21945139352027687,0.21943456746658796,0.22048947265801339
0.1,0.09188980594637615,T1,1,1,1,0.2689602649685082,0.2689388606949044,0.27022385890374423
0.1,0.09799937943402047,T1,1,1,1,0.23754707411594989,0.23755046248265263,0.23850328502541807
0.1,0.09627809716675241,T1,1,1,1,0.24965436580448125,0.24966745537561102,0.2512704043899211
0.1,0.10939262052591989,T1,1,1,1,0.1937570945694739,0.1937611515811661,0.19561896635380005
0.1,0.110618280547007,T1,1,1,1,0.20439555944343937,0.20439140989447668,0.20570902272614264
0.1,0.10183804714349978,T1,1,1,1,0.2336397613060142,0.23363578026123977,0.23544071440996212
0.1,0.09514253619122964,T1,1,1,1,0.26171927621625934,0.26173575485352424,0.2624981929839066
0.1,0.0998689431868156,T1,1,1,1,0.20283042830164072,0.2028661276549686,0.20401538852758547
0.1,0.09204795795641574,T1,1,1,1,0.2898407104649921,0.2897714556019899,0.292685134776265
0.1,0.1045580992347494,T1,1,1,1,0.22601523388006248,0.2259916654456927,0.22742021300673712
0.1,0.10612150157006209,T1,1,1,1,0.2479416341974913,0.24790844152854524,0.2486565012562913
0.1,0.09990451983059233,T1,1,1,1,0.23742877907676357,0.23749082718008888,0.23838346173412403
0.1,0.10856271096828553,T1,1,1,1,0.2050478458779531,0.2050373321881569,0.20626536910436316
0.1,0.0982193608346911,T1,1,1,1,0.21630769564785626,0.21634123554645618,0.21775096459293117
0.1,0.09752936991212292,T1,1,1,1,0.2197982679210668,0.21978291646023795,0.22155051978835813
0.1,0.11765795203992607,T1,1,1,1,0.2065135995972223,0.20652344746604126,0.20773253407454007
0.1,0.10427851228096785,T1,0,0,0,0.2075771130443908,0.20756434457188902,0.20861887797242604
0.1,0.10160511559913031,T1,1,1,1,0.2378320538603617,0.2376707226365331,0.23790358457649738
0.1,0.10240374998636396,T1,1,1,1,0.20090021688161794,0.20093799973557458,0.20183508669338404
0.1,0.10470615066235724,T1,1,1,1,0.22418510250611182,0.22417168039353327,0.22544839924111493
0.1,0.11181842384383761,T1,1,1,1,0.22867328986716118,0.22872807083830501,0.22957673113666147
0.1,0.09076444988412025,T1,1,1,1,0.32714534647261534,0.3271969146242714,0.3285618077290263
0.1,0.11339943236440099,T1,1,1,1,0.1900207921142569,0.19004123085977145,0.19100250583898176
0.1,0.09541931237807197,T1,1,1,1,0.2312153591320072,0.23123861338220236,0.2323395910043473
0.1,0.09130044894708736,T1,1,1,1,0.2667223740916294,0.266714868031243,0.26853636571050515
0.1,0.11163020696187657,T1,1,1,1,0.1869194510022457,0.1868986711485712,0.1875495636063502
0.1,0.10024274647440391,T1,1,1,1,0.24805057232389086,0.24805263132473712,0.24893189366328433
0.1,0.1019575601532981,T1,1,1,1,0.20236941471785724,0.20237625369917298,0.20371266070633368
0.1,0.10414737967255017,T1,1,1,1,0.2228999907282578,0.22290386688400343,0.22367919293243846
0.1,0.10614670996146194,T1,1,1,1,0.2040318690047836,0.20403595142697556,0.20524292325889676
0.1,0.09550915864358868,T1,1,1,1,0.25252720398823975,0.252480658943995,0.2533197186390262
0.1,0.11149778078005346,T1,1,1,1,0.199057138946978,0.19895223609731355,0.20034179265522736
0.1,0.09905580265164059,T1,1,1,1,0.23556478273133857,0.2355660219203938,0.23625694564594685
0.1,0.09893268494759323,T1,1,1,1,0.24355181388200656,0.24356427982840484,0.24461553217703147
0.1,0.10577431376949076,T1,1,1,1,0.2063983649699375,0.20640449346507564,0.20717114895030983
0.1,0.09713339323709817,T1,1,1,1,0.21187216908361242,0.21187151622251296,0.2130275054627899
0.1,0.10532493000587423,T1,1,1,1,0.22294267369365273,0.22291830104531757,0.22414359931735148
0.1,0.10863874427266089,T1,1,1,1,0.2022256041144403,0.20222484244651898,0.20340814450737796
0.1,0.09874518282049227,T1,1,1,1,0.2599737234176618,0.2599804429359007,0.26114316225467654
0.1,0.10838284620566135,T1,1,1,1,0.21005412692153982,0.209989871072781,0.21203574244340362
0.1,0.10532222359965623,T1,1,1,1,0.22929519504293475,0.2293352470245904,0.23060203457868692
0.1,0.1117105235798018,T1,1,1,1,0.17732311867508674,0.17731568606721398,0.1784636560333705
0.1,0.09995142998599438,T1,1,1,1,0.26248449439085797,0.2624677517711283,0.2636538127846566
0.1,0.11208503819916979,T1,1,1,1,0.21570888261400442,0.21573295178974852,0.21698791468374545
0.1,0.10528143885436403,T1,1,1,1,0.25879362936757694,0.2588240491809641,0.2599286941997104
0.1,0.09270485464857826,T1,1,1,1,0.22456246809468194,0.22458309153581202,0.22557129720007466
0.1,0.10361776366591807,T1,1,1,1,0.2320381805795045,0.23203396592776993,0.23378151583627846
0.1,0.10465817098672503,T1,1,1,1,0.23107015430072653,0.23110698586757258,0.23294116780032764
0.1,0.10666622928515215,T1,1,1,1,0.2054458470282526,0.20542281371530877,0.20559898033274998
0.1,0.10263323708334868,T1,1,1,1,0.2179452331606657,0.21796067785827553,0.218982795785212
0.1,0.10642838607194775,T1,1,1,1,0.21512841536364355,0.21511325002904652,0.21601104718548664
0.1,0.10330588630726742,T1,1,1,1,0.24122215302560332,0.24126151285563266,0.24230425639109282
0.1,0.10049664760538678,T1,1,1,1,0.21937268273838625,0.21937958054840095,0.22027898629439338
0.1,0.10867958294259077,T1,1,1,1,0.20420853518133975,0.20423028962746925,0.20547345095536912
0.1,0.09802169684302467,T1,1,1,1,0.2081406180745996,0.20811774048495355,0.20958849929895662
0.1,0.10629379391650537,T1,1,1,1,0.2331384895685528,0.2331326356112527,0.23441257828095227
0.1,0.0963244742710792,T1,1,1,1,0.2255798931485723,0.2255815239396093,0.22685586545155562
0.1,0.09983773633240306,T1,0,0,0,0.24127253458486506,0.24125982670848897,0.2428683667119577
0.1,0.10474739033224907,T1,1,1,1,0.25373214022769414,0.253764092103444,0.25518623114812156
0.1,0.09886576062165219,T1,1,1,1,0.23340645226196213,0.23343303118360617,0.23467843516269912
