L,method,traj_cov_pct,cov_se,reps,width_ratio_median,feasible
2,marginal,38.224999999999994,0.7683341354840354,4000,0.830931744483083,True
2,per_round,81.72500000000001,0.6110491745759911,4000,0.9682105076325168,True
2,trajectory,89.95,0.4753939156110436,4000,1.0,True
2,per_round_bonf,93.5,0.3897916109923352,4000,1.1601524403779622,True
2,marginal_bonf,100.0,0.0,4000,inf,False
4,marginal,16.1,0.5811174580065548,4000,0.802167317159374,True
4,per_round,68.15,0.7366439947491596,4000,0.9246848702581135,True
4,trajectory,90.17500000000001,0.47062973105191735,4000,1.0,True
4,per_round_bonf,100.0,0.0,4000,inf,False
4,marginal_bonf,100.0,0.0,4000,inf,False
6,marginal,7.124999999999999,0.4067352870725627,4000,0.7896439383423227,True
6,per_round,58.199999999999996,0.7798653729971603,4000,0.9042254101907637,True
6,trajectory,90.3,0.4679503178757335,4000,1.0,True
6,per_round_bonf,100.0,0.0,4000,inf,False
6,marginal_bonf,100.0,0.0,4000,inf,False
8,marginal,3.5249999999999995,0.2915794810167546,4000,0.775809938760433,True
8,per_round,49.8,0.790563090461476,4000,0.8920544109855619,True
8,trajectory,90.925,0.4541872892871398,4000,1.0,True
8,per_round_bonf,100.0,0.0,4000,inf,False
8,marginal_bonf,100.0,0.0,4000,inf,False
