dataset,cell,K,rho_lcb,rho_hat,activated,regime
"ESS small-area, common NUTS level",min_n150/r11,52,0.3196,0.4149,False,unnecessary
ESS small-area (e54),min_n100/r9,171,0.4655,0.5407,False,unnecessary
"ESS small-area, common NUTS level",min_n100/r9,74,0.492,0.6035,False,unlearnable
ESS small-area (e54),min_n100/r10,186,0.4844,0.5606,False,feasible
"ESS small-area, common NUTS level",min_n100/r10,78,0.4364,0.5732,False,unnecessary
ESS small-area (e54),min_n100/r11,162,0.4239,0.4881,False,unnecessary
"ESS small-area, common NUTS level",min_n100/r11,83,0.4179,0.5116,False,unnecessary
ESS small-area (e54),min_n80/r9,196,0.4877,0.5652,False,feasible
"ESS small-area, common NUTS level",min_n80/r9,82,0.5077,0.6184,False,unlearnable
ESS small-area (e54),min_n80/r10,211,0.5021,0.5782,False,feasible
"ESS small-area, common NUTS level",min_n80/r10,90,0.4774,0.6193,False,unlearnable
ESS small-area (e54),min_n80/r11,196,0.4401,0.5007,False,unnecessary
"ESS small-area, common NUTS level",min_n80/r11,102,0.4653,0.5586,False,unnecessary
ESS small-area (e54),min_n60/r9,228,0.4965,0.5669,True,feasible
"ESS small-area, common NUTS level",min_n60/r9,94,0.4976,0.6106,False,feasible
ESS small-area (e54),min_n60/r10,248,0.5213,0.593,True,feasible
"ESS small-area, common NUTS level",min_n60/r10,105,0.521,0.6524,False,feasible
ESS small-area (e54),min_n60/r11,233,0.45,0.5071,False,unnecessary
"ESS small-area, common NUTS level",min_n60/r11,116,0.4483,0.5309,False,unnecessary
ESS small-area (e54),min_n40/r9,273,0.4922,0.5595,True,feasible
"ESS small-area, common NUTS level",min_n40/r9,109,0.4797,0.5825,False,feasible
ESS small-area (e54),min_n40/r10,287,0.5131,0.5915,True,feasible
"ESS small-area, common NUTS level",min_n40/r10,119,0.5125,0.6728,False,feasible
ESS small-area (e54),min_n40/r11,285,0.4629,0.5159,False,unnecessary
"ESS small-area, common NUTS level",min_n40/r11,140,0.4883,0.5679,False,feasible
