outcome,rho_mean,rho_max,n_ge_rho0,n,n_active,T3_T1,T3_T2
b13,0.11633488056901173,0.12428309254155029,0,26,0,0.9949122282564874,0.9121091801472679
sat,0.10260440681374187,0.11484895157059109,0,26,0,0.9890848394798071,0.8899400852699203
ing4,0.19675417303798354,0.2147620949005537,0,26,0,0.9646158927173277,0.802455627699535
