outcome,cntry,r_from,r_to,n0,n1,n_psu,weight_cv,signal,design_sd,M0_plugin,M1_naive,M2_level,M4_design,M4_recovery
trstprl,AT,9,10,2448,1987,2003,0.8691651415951782,0.10486140996017722,0.015199048463183644,1,1,1,1,0
trstprl,AT,10,11,1987,2328,845,0.8587199467667866,-0.06366344326759968,0.015903378802741334,0,0,0,0,1
trstprl,BE,9,10,1751,1319,273,0.23130494232114338,0.030807296048230095,0.016081594657388988,1,0,0,0,0
trstprl,BE,10,11,1319,1565,628,0.4640635789950755,0.013863504878977775,0.017342619575668253,1,0,0,0,0
trstprl,BG,9,10,2122,2691,478,0.5250826804578692,0.034748494923111314,0.019510899309681872,0,0,0,0,0
trstprl,BG,10,11,2691,2216,478,0.9296229630703338,-0.04597112783512851,0.018184443552638124,0,0,0,0,0
trstprl,CH,9,10,1453,1440,1523,0.08676023756939222,-0.016934259471995318,0.008377903104309971,0,0,0,0,0
trstprl,CH,10,11,1440,1326,1384,0.1272880702025489,0.02201949244802534,0.008860324453862119,1,0,0,0,0
trstprl,CY,9,10,769,872,655,0.7224853824219538,0.018776283012320337,0.030330417355499743,0,0,0,0,0
trstprl,CY,10,11,872,676,655,0.9593230243102913,-0.07509212817244773,0.029990862833547308,0,0,0,0,0
trstprl,CZ,9,10,2326,2417,567,0.4919405597302776,-0.06995507448581192,0.015522780088253321,0,0,0,0,0
trstprl,DE,9,10,2327,8559,178,0.43485395483303263,-2.450417214697881e-05,0.009581705204015165,0,0,0,0,0
trstprl,DE,10,11,8559,2402,179,0.5190972297681683,0.039348931907126246,0.01568579810633809,1,1,0,1,0
trstprl,EE,9,10,1890,1523,1542,0.2385037762788599,-0.02294716017069859,0.014153391242926137,0,0,0,0,0
trstprl,EE,10,11,1523,1271,1293,0.2465735027046532,0.08238804777309688,0.016294275367029612,1,1,1,1,0
trstprl,ES,9,10,1583,2244,453,0.24662231039203597,0.06288084485251175,0.01557095098895914,1,1,0,1,0
trstprl,ES,10,11,2244,1795,465,0.30153197843243396,-0.08923271705195626,0.014853177019942116,0,0,0,0,1
trstprl,FI,9,10,1743,1574,1577,0.2593523165259841,-0.042178668698477494,0.00792428767511559,0,0,0,0,1
trstprl,FI,10,11,1574,1559,1563,0.35262339721145597,0.003403411329236432,0.00898304395800174,0,0,0,0,0
trstprl,FR,9,10,1950,1915,373,0.610109155462502,-0.06735462235531892,0.01508575707508128,0,0,0,0,1
trstprl,FR,10,11,1915,1727,351,0.2990649078828579,0.06388466521763057,0.014961100572542154,1,1,1,1,0
trstprl,GB,9,10,2182,1141,332,0.6179922398722438,0.027278895432272146,0.01353784723510964,1,0,0,0,0
trstprl,GB,10,11,1141,1642,332,0.7288330804287296,0.056003254556856646,0.018416111818928386,1,1,0,1,0
trstprl,GR,10,11,2783,2739,201,0.7495830049261385,0.1664609844407381,0.02285912508770427,1,1,1,1,0
trstprl,HR,9,10,1794,1557,655,0.6860912953832704,-0.14585046413502756,0.01863386174294075,0,0,0,0,1
trstprl,HR,10,11,1557,1525,862,0.24963562325994093,0.03254447507753913,0.01790597549483153,1,0,0,0,0
trstprl,HU,9,10,1621,1809,880,0.44088699981184576,-0.020045924683959875,0.018510470493252662,0,0,0,0,0
trstprl,HU,10,11,1809,2083,1034,0.49496652405261027,0.04768652217977807,0.0170155282325077,1,0,0,0,0
trstprl,IE,9,10,2127,1677,553,0.6710257774794612,-0.016024033577778964,0.01630631724867026,0,0,0,0,0
trstprl,IE,10,11,1677,1935,553,0.7818004072351531,-0.02267217211825593,0.018566936349229707,0,0,0,0,0
trstprl,IL,10,11,1291,872,229,1.0595559070241738,-0.06511115799545604,0.02675962675765519,0,0,0,0,1
trstprl,IS,9,10,851,893,695,0.4157936238116124,-0.06779223608482014,0.012073774911766939,0,0,0,0,1
trstprl,IS,10,11,893,834,744,0.40578946047047704,0.05668771781399663,0.016557881013157052,1,1,0,1,0
trstprl,IT,9,10,2656,2611,439,0.17552439087367983,0.0037538008646526982,0.019520942616339833,0,0,0,0,0
trstprl,IT,10,11,2611,2809,398,0.3913378668701881,-0.015831790953640443,0.01963761949581865,0,0,0,0,0
trstprl,LT,9,10,1809,1642,1068,0.9655700988840177,-0.08933970797880605,0.02232074033492574,0,0,0,0,1
trstprl,LT,10,11,1642,1354,924,0.6491473475635023,0.01384106880441368,0.02115203680436341,0,0,0,0,0
trstprl,LV,9,10,887,1017,404,0.7036055600661133,0.04982199664764621,0.026391589330682926,1,0,0,0,0
trstprl,LV,10,11,1017,1222,277,0.4446068948136259,-0.009185903985815091,0.025177217325536117,0,0,0,0,0
trstprl,ME,9,10,1164,1241,275,0.6463564739456813,0.045274732738011365,0.030997841110622384,1,0,0,0,0
trstprl,ME,10,11,1241,1555,372,1.1458999586472527,-0.07341537679543886,0.028720173395939456,0,0,0,0,1
trstprl,NL,9,10,1637,1455,1470,0.23205501372542753,0.028730608601131108,0.01116823985339829,1,0,0,1,0
trstprl,NL,10,11,1455,1675,1470,0.3099024318922782,0.039772936790238175,0.012237551827175069,1,1,0,1,0
trstprl,NO,9,10,1400,1407,1406,0.416051909043695,-0.015583017102761693,0.01278120927607795,0,0,0,0,0
trstprl,NO,10,11,1407,1331,1337,1.0762439721884791,0.035897776747100874,0.013639997946445789,1,1,0,1,0
trstprl,PL,9,10,1456,2029,833,0.1918672078212002,0.17942650239951963,0.016131457161860697,1,1,1,1,0
trstprl,PL,10,11,2029,1403,804,0.14167440928093353,-0.176447421991412,0.015747482165032994,0,0,0,0,1
trstprl,PT,9,10,1017,1771,683,0.5671869764581787,-0.0569679303313943,0.018968716403346866,0,0,0,0,0
trstprl,PT,10,11,1771,1337,874,0.5233056980960547,0.034138447643346365,0.018396503735137598,1,0,0,0,0
trstprl,RS,9,10,1970,1477,663,0.7404627108397286,-0.0038093747870176775,0.02425865864928938,0,0,0,0,0
trstprl,RS,10,11,1477,1456,625,1.2076420593012522,-0.039532268882608065,0.025329693105827902,0,0,0,0,0
trstprl,SE,9,10,1526,2265,1539,0.5707658225540198,0.05390007176639008,0.013201331621904885,1,1,0,1,0
trstprl,SE,10,11,2265,1223,1230,0.4732127820051408,-0.07560982019640357,0.012903025177873319,0,0,0,0,1
trstprl,SI,9,10,1284,1229,297,0.1288717474532695,-0.03616991929320542,0.018398564646943266,0,0,0,0,0
trstprl,SI,10,11,1229,1225,297,0.2021772095736914,-0.05097585973160051,0.017612491204969362,0,0,0,0,1
trstprl,SK,9,10,1072,1397,231,0.7692759929147617,0.01763013775645904,0.032087947359200286,1,0,0,0,0
trstprl,SK,10,11,1397,1432,309,0.7548581631073635,-0.09844423524572318,0.027069761691337478,0,0,0,0,1
stfdem,AT,9,10,2455,1992,2003,0.8678727640359257,0.10246517594538168,0.01317122047971648,1,1,1,1,0
stfdem,AT,10,11,1992,2317,845,0.8625173182136439,-0.047388698401218496,0.015122482790503988,0,0,0,0,1
stfdem,BE,9,10,1743,1327,273,0.23159477343098406,-0.00036250813894919166,0.013801589460423525,0,0,0,0,0
stfdem,BE,10,11,1327,1570,628,0.46625304279952606,0.03714545292270423,0.014335799112044766,1,0,0,0,0
stfdem,BG,9,10,1938,2681,478,0.5296881720878768,-0.03666966895866265,0.020691180731810692,0,0,0,0,0
stfdem,BG,10,11,2681,2191,478,0.9265792965925119,-0.03477828979827191,0.02020727139323889,0,0,0,0,0
stfdem,CH,9,10,1495,1490,1523,0.08644163317478785,-0.004621738203882262,0.005148385370800496,0,0,0,0,0
stfdem,CH,10,11,1490,1341,1384,0.12723928027699205,0.0073020891939411916,0.0053886239584837615,1,0,0,0,0
stfdem,CY,9,10,770,870,655,0.7174415777545654,0.06980957631754976,0.028726081441947566,1,1,0,1,0
stfdem,CY,10,11,870,667,655,0.9600846336522249,-0.07247923917099673,0.028404028120567786,0,0,0,0,1
stfdem,CZ,9,10,2372,2411,567,0.4923866930240683,-0.024957225773075426,0.012009375241278144,0,0,0,0,0
stfdem,DE,9,10,2321,8567,178,0.4347560183860366,0.01718489367742066,0.0069468948468577145,1,0,0,0,0
stfdem,DE,10,11,8567,2399,179,0.5176735687150591,0.0315950049535494,0.01426526628043275,1,0,0,0,0
stfdem,EE,9,10,1848,1512,1542,0.23491583988152398,-0.0413106829984338,0.012310677406492537,0,0,0,0,1
stfdem,EE,10,11,1512,1227,1293,0.24612143568516592,0.09848095143696907,0.01434353951529352,1,1,1,1,0
stfdem,ES,9,10,1584,2255,453,0.24687646668525834,0.04683882441833455,0.013881652658750711,1,1,0,1,0
stfdem,ES,10,11,2255,1806,465,0.3014725784102225,-0.03999031569471215,0.013454318324717898,0,0,0,0,1
stfdem,FI,9,10,1709,1560,1577,0.2598111724449664,-0.05436924200385554,0.005931112455933265,0,0,0,0,1
stfdem,FI,10,11,1560,1537,1563,0.3474500785816269,0.0314283340130108,0.006902884169000223,1,1,1,1,0
stfdem,FR,9,10,1961,1930,373,0.6137729491652618,-0.11299715541901491,0.013875881394902385,0,0,0,0,1
stfdem,FR,10,11,1930,1733,351,0.30138328656679264,0.12952320747101798,0.013971701704340238,1,1,1,1,0
stfdem,GB,9,10,2131,1128,332,0.6188787411930948,-0.025041218070283203,0.012154593162428397,0,0,0,0,0
stfdem,GB,10,11,1128,1579,332,0.7283503451457795,0.1152268089009019,0.016878455966576732,1,1,1,1,0
stfdem,GR,10,11,2784,2717,201,0.7507596826450599,0.1055245444552337,0.019526576178724032,1,1,0,1,0
stfdem,HR,9,10,1761,1543,655,0.6848540922878639,-0.11422910509598527,0.019061658214003466,0,0,0,0,1
stfdem,HR,10,11,1543,1519,862,0.2499110356969131,-0.03978158343098075,0.017399846196928977,0,0,0,0,0
stfdem,HU,9,10,1581,1790,880,0.4404149445575481,-0.04935904822743525,0.017964653424417287,0,0,0,0,0
stfdem,HU,10,11,1790,2059,1034,0.4948879914998222,0.07594600002668218,0.017486526809139903,1,1,1,1,0
stfdem,IE,9,10,2136,1713,553,0.6711959178131559,-0.03742950738418706,0.012596768122811018,0,0,0,0,0
stfdem,IE,10,11,1713,1928,553,0.7843297999040701,0.024656744661191693,0.014354121910815854,1,0,0,0,0
stfdem,IL,10,11,1276,858,229,1.057794229335125,-0.003603071211540937,0.025392111644112546,0,0,0,0,0
stfdem,IS,9,10,837,879,695,0.4176427917200044,-0.05039259045973719,0.01049730277181668,0,0,0,0,1
stfdem,IS,10,11,879,823,744,0.40498686565040964,0.07141918902903058,0.015201305256705955,1,1,1,1,0
stfdem,IT,9,10,2618,2587,439,0.17631181807048366,0.00031474704725415956,0.01813379734146386,0,0,0,0,0
stfdem,IT,10,11,2587,2759,398,0.39220583277612303,0.02448356393864215,0.018571435338176633,1,0,0,0,0
stfdem,LT,9,10,1731,1558,1068,0.9583484275405576,-0.015368140579222634,0.01858858790386716,0,0,0,0,0
stfdem,LT,10,11,1558,1295,924,0.6467156693201074,0.016564654904780866,0.018656011878805123,0,0,0,0,0
stfdem,LV,9,10,809,1004,404,0.6930093326829528,0.08108187509254183,0.025382491982599453,1,1,0,1,0
stfdem,LV,10,11,1004,1155,277,0.4443688160065226,-0.10304937551299555,0.023720145460327045,0,0,0,0,1
stfdem,ME,9,10,1163,1260,275,0.6491244210058671,-0.016040761535802674,0.029135693374407384,0,0,0,0,0
stfdem,ME,10,11,1260,1571,372,1.144663565914286,-0.043054112081511914,0.026608811264271903,0,0,0,0,0
stfdem,NL,9,10,1629,1449,1470,0.2328261930227907,0.030564306482306423,0.009145051691463731,1,1,0,1,0
stfdem,NL,10,11,1449,1652,1470,0.3101980601761474,0.022293373985844824,0.010406315376393232,1,0,0,0,0
stfdem,NO,9,10,1395,1406,1406,0.4161357191165192,-0.02212543702100417,0.009853525402151602,0,0,0,0,0
stfdem,NO,10,11,1406,1331,1337,1.075612346077843,0.02969782406048405,0.0103726287499071,1,0,0,0,0
stfdem,PL,9,10,1423,2025,833,0.19254235303008815,0.2736882606652919,0.014568016931337056,1,1,1,1,0
stfdem,PL,10,11,2025,1369,804,0.14171770363533837,-0.25117969737036266,0.014093976037016315,0,0,0,0,1
stfdem,PT,9,10,1019,1726,683,0.5672036542224463,-0.06147153425416473,0.015447673090888623,0,0,0,0,1
stfdem,PT,10,11,1726,1313,874,0.5261143306266332,0.12186130147119334,0.016040439807778036,1,1,1,1,0
stfdem,RS,9,10,1863,1473,663,0.7286721726447504,0.0216213679897206,0.02492962057880843,1,0,0,0,0
stfdem,RS,10,11,1473,1385,625,1.2070376981911042,-0.04010125089333168,0.025276176198936337,0,0,0,0,0
stfdem,SE,9,10,1518,2270,1539,0.569400598134149,0.03262466003269532,0.011829673511137185,1,0,0,0,0
stfdem,SE,10,11,2270,1208,1230,0.47338387785175173,-0.053212788183670416,0.012065002718212035,0,0,0,0,1
stfdem,SI,9,10,1259,1217,297,0.1293123298716533,-0.006536944555607077,0.01741384932018663,0,0,0,0,0
stfdem,SI,10,11,1217,1192,297,0.20212726091836491,-0.08487392305080667,0.016804066992090225,0,0,0,0,1
stfdem,SK,9,10,1070,1396,231,0.7723896148146103,0.04417490505378713,0.03063381546686112,1,0,0,0,0
stfdem,SK,10,11,1396,1413,309,0.7596794161847663,-0.060459403551056,0.02488489551178063,0,0,0,0,1
