outcome,method,target,covered,mean_width,eff_K,attainable,target_score,cal_target_ratio,cal_mean,cal_q50,cal_q90
trstprl,U0,AT,1.0,0.4004792089066389,29,0.9,0.13126031927543713,1.0128478856621697,0.13294673684946784,0.12374642546842213,0.1859302027297481
trstprl,S1,AT,1.0,0.5804976776799251,20,0.9047619047619048,,1.3444350430062741,3.633922261619415,3.1092099292238795,5.503363658090668
trstprl,S2,AT,1.0,0.4311130989972849,29,0.9,1.5637287720833095,1.453399528895676,2.272722660666496,2.150979047397977,3.3849148136197953
trstprl,S3,AT,1.0,0.36810972934882624,29,0.9,2.1956379740517113,1.0191381455794561,2.2376584132388952,2.1145704110027705,3.2483480954461195
trstprl,U0,BE,1.0,0.4004792089066389,29,0.9,0.040395747101015456,3.3686714004482394,0.13607999795893064,0.12505462002424617,0.1859302027297481
trstprl,S1,BE,1.0,0.6622732860468827,20,0.9047619047619048,,2.8913868113382977,3.928950043596358,3.4248164773257024,6.0966683210997425
trstprl,S2,BE,1.0,0.43394709409919574,29,0.9,0.8152165959929091,2.8088855178788315,2.2898500904189607,2.1433088888577974,3.3775118438844722
trstprl,S3,BE,1.0,0.3702099726263574,29,0.9,0.9083686732828915,2.492872904648105,2.2644476530580673,2.11422993912547,3.2466462965526484
trstprl,U0,BG,1.0,0.4004792089066389,29,0.9,0.12788153714532235,1.040519605475822,0.1330632465780925,0.12374642546842213,0.1859302027297481
trstprl,S1,BG,0.9,0.6111301282107903,20,0.9047619047619048,,0.9682644518187551,3.565453317312021,3.176284848633276,5.5829268800731375
trstprl,S2,BG,1.0,0.4299951083968932,29,0.9,2.3697908586157466,0.9510106510791644,2.253696347373613,2.0322046709589885,3.3682433616156855
trstprl,S3,BG,1.0,0.3694420045565899,29,0.9,2.2876236791293096,0.976439957829238,2.233727168778189,2.088074050090853,3.263056667470355
trstprl,U0,CH,1.0,0.4004792089066389,29,0.9,0.051139398039594774,2.6537177291730596,0.13570952723691065,0.12505462002424617,0.1859302027297481
trstprl,S1,CH,1.0,0.5899634737348229,20,0.9047619047619048,,2.7617362056833534,3.2566903480289895,2.8361179662638314,5.190117504104163
trstprl,S2,CH,1.0,0.43363261991059343,29,0.9,1.1266151806875677,2.022728896150441,2.2788370808184935,2.1427857014952028,3.374394196975876
trstprl,S3,CH,1.0,0.3717790103160976,29,0.9,0.9219094551990912,2.4530983541704314,2.2615345672430496,2.113410240538254,3.260952245911621
trstprl,U0,CY,0.0,0.36470570459771057,29,0.9,0.2031745085127762,0.6421422558154727,0.13046693722059405,0.12374642546842213,0.17453272009534257
trstprl,S1,CY,0.95,0.6720319040887813,20,0.9047619047619048,,1.0851226761321549,3.934772782825417,3.2830981582320065,6.376001653895775
trstprl,S2,CY,1.0,0.42596279694674555,29,0.9,2.40132319222428,0.9468896517922772,2.2737880813259683,2.0504756536087334,3.396749175065441
trstprl,S3,CY,1.0,0.3602383180333448,29,0.9,2.516440968292997,0.904015869824547,2.274902570813519,2.152915368213349,3.289269137947578
trstprl,U0,CZ,1.0,0.4004792089066389,29,0.9,0.15883859160423447,0.8310056177686443,0.13199576194157828,0.12374642546842213,0.1859302027297481
trstprl,S1,CZ,1.0,0.5985284986667663,20,0.9047619047619048,,1.0737819294534028,3.4005690469496566,2.8589716338125406,5.384889912135772
trstprl,S2,CZ,1.0,0.43272463512501763,29,0.9,2.1681580602764448,1.0438516722110363,2.2632354168374036,2.050206826816818,3.411948779964579
trstprl,S3,CZ,1.0,0.36515931262890794,29,0.9,2.4468759206349286,0.9176101400754956,2.245278156281174,2.0905715496150457,3.260716418249879
trstprl,U0,DE,1.0,0.4004792089066389,29,0.9,0.05099049400663183,2.661567896186413,0.13571466185873698,0.12505462002424617,0.1859302027297481
trstprl,S1,DE,1.0,0.5767087392109974,20,0.9047619047619048,,2.42713431029457,3.772388104039325,3.2520774032397766,5.709719545596611
trstprl,S2,DE,1.0,0.43173394194409853,29,0.9,1.0923368668824154,2.0919684853169787,2.2851343008679006,2.1393785068146505,3.3666594792807647
trstprl,S3,DE,1.0,0.3692585652212804,29,0.9,1.1685857746417798,1.9418377701628917,2.269203994874469,2.1400656426693843,3.2526536836408804
trstprl,U0,DK,1.0,0.4004792089066389,29,0.9,0.12299228765596526,1.0832536244934898,0.1332318413880703,0.12505462002424617,0.1859302027297481
trstprl,S1,DK,0.9,0.5775639901753011,20,0.9047619047619048,,0.7134540976056585,3.4241615542771746,2.9591933473644487,5.57916549859447
trstprl,S2,DK,1.0,0.45057901768486835,29,0.9,3.4297771585546855,0.6584393247875708,2.2583001564505802,2.127306823990854,3.476806880510654
trstprl,S3,DK,0.0,0.35705709425778365,29,0.9,4.283127958297902,0.5171983894636865,2.2152268818985625,2.0941098636928324,3.239580929785131
trstprl,U0,EE,1.0,0.4004792089066389,29,0.9,0.09559567763623622,1.4035838794822793,0.1341765520784058,0.12505462002424617,0.1859302027297481
