outcome,method,target,covered,mean_width,eff_K,attainable,target_score,cal_target_ratio,cal_mean,cal_q50,cal_q90
trstprl,S1,EE,1.0,0.5841165086341412,20,0.9047619047619048,,1.653211403284996,3.4354491907434346,3.05937403118101,5.285543760697013
trstprl,S2,EE,1.0,0.4339733670631751,29,0.9,1.5187454141440486,1.5038367775563841,2.283945209534922,2.1582751789814916,3.3965403925529447
trstprl,S3,EE,1.0,0.36791699403191547,29,0.9,1.3999639444292133,1.6144766090347529,2.2602090417729936,2.113560465856908,3.2493450545507563
trstprl,U0,ES,1.0,0.4004792089066389,29,0.9,0.11694514402328754,1.1410509149121089,0.13344036358230058,0.12505462002424617,0.1859302027297481
trstprl,S1,ES,0.8,0.5535552091956503,20,0.9047619047619048,,0.7964756534553236,3.2756928862298493,2.8056446781816367,5.053794192767081
trstprl,S2,ES,1.0,0.4292790815565817,29,0.9,3.348130348777161,0.6741463002083791,2.257129687243513,2.1361714684364523,3.3616126836239957
trstprl,S3,ES,0.0,0.36812641112818606,29,0.9,3.891860721037142,0.5680207106618315,2.2106574925603852,2.0951929840528023,3.230116540274858
trstprl,U0,FI,1.0,0.4004792089066389,29,0.9,0.13792012285596555,0.9622750161609124,0.13271708845013927,0.12374642546842213,0.1859302027297481
trstprl,S1,FI,0.7,0.644942585200305,20,0.9047619047619048,,0.6544309598926878,3.2252041965169234,2.783220127038551,5.331592792979195
trstprl,S2,FI,0.0,0.3893542588832663,29,0.9,4.057829109464315,0.5489546678459735,2.2275642309617054,2.137128876055918,3.377619592169598
trstprl,S3,FI,0.0,0.3746843246805718,29,0.9,3.7233830036040763,0.5952231963792439,2.2162439327493684,2.0911299589749377,3.3721570327140307
trstprl,U0,FR,1.0,0.4004792089066389,29,0.9,0.1059968322308475,1.262470667837555,0.13381789157514332,0.12505462002424617,0.1859302027297481
trstprl,S1,FR,1.0,0.6188981171538968,20,0.9047619047619048,,2.16514916703005,3.5907476667479017,2.9688176041146113,5.741644307764991
trstprl,S2,FR,1.0,0.43142223217877723,29,0.9,1.298341512607513,1.7528543788224569,2.2758036055810513,2.143464825189223,3.3730899647919967
trstprl,S3,FR,1.0,0.3686847636237276,29,0.9,1.2182576844646744,1.854222483190731,2.2589207888542786,2.113428368415044,3.244698523555388
trstprl,U0,GB,1.0,0.4004792089066389,29,0.9,0.0775285907381093,1.7387076663142802,0.13479955507489294,0.12505462002424617,0.1859302027297481
trstprl,S1,GB,1.0,0.603278462461489,20,0.9047619047619048,,1.6140878612284069,3.4150219206667813,2.9910956147315515,5.40827447736328
trstprl,S2,GB,1.0,0.43073531667766085,29,0.9,1.13574298390273,2.020144257917648,2.2943646674013554,2.146204833785399,3.377401813249034
trstprl,S3,GB,1.0,0.36913505619901,29,0.9,1.4954623014929957,1.5149495609030559,2.2655499569938873,2.179373365898987,3.3352780998071925
trstprl,U0,GR,0.0,0.36470570459771057,29,0.9,0.39543064759715585,0.3131710097224451,0.12383741518320165,0.12374642546842213,0.17453272009534257
trstprl,S1,GR,0.0,0.5064000109692299,20,0.9047619047619048,,0.3010633493520596,3.5636170355359362,3.2643343294363554,5.5872689394067585
trstprl,S2,GR,0.0,0.32399698731447146,29,0.9,7.3202689380952055,0.3212779457510133,2.3518409667761793,2.2365718433412223,3.2695036960268617
trstprl,S3,GR,0.0,0.3120050255506009,29,0.9,7.851769961872064,0.29958753216917033,2.352292386037272,2.2832054705518807,3.278034127352299
trstprl,U0,HR,1.0,0.4004792089066389,29,0.9,0.16470841896928162,0.8001616124187549,0.13179335410140422,0.12374642546842213,0.1859302027297481
trstprl,S1,HR,0.95,0.6397966655719324,20,0.9047619047619048,,1.012817764543708,3.7181167398091794,3.2253686442052953,5.7117220421510435
trstprl,S2,HR,1.0,0.4257138901264455,29,0.9,2.5352366615320765,0.8946958002725294,2.268265593769697,2.0409885445182105,3.3845167190860943
trstprl,S3,HR,1.0,0.36378804561366046,29,0.9,2.0515017124141735,1.1019009199572527,2.2605516242030568,2.149079131487801,3.306381564441233
trstprl,U0,HU,1.0,0.4004792089066389,29,0.9,0.12505462002424617,1.064820527646251,0.13316072647881924,0.12374642546842213,0.1859302027297481
trstprl,S1,HU,1.0,0.5936404214317299,20,0.9047619047619048,,1.5190259972458675,3.451859041074833,2.9788208615589715,5.320494680515655
trstprl,S2,HU,1.0,0.4326756725999136,29,0.9,2.265410515148561,0.9986151641420481,2.262273293434202,2.0686249353636588,3.3841179900006146
trstprl,S3,HU,1.0,0.36992222488247883,29,0.9,1.9614501033424696,1.1503860033825888,2.2564247452185096,2.126466691628584,3.2579923606871746
trstprl,U0,IE,1.0,0.4004792089066389,29,0.9,0.12374642546842213,1.0764418942340144,0.1332058366359166,0.12505462002424617,0.1859302027297481
trstprl,S1,IE,1.0,0.7104002735649723,20,0.9047619047619048,,1.7385238038947235,3.9778423205490427,3.3214907451224933,6.417178034234553
trstprl,S2,IE,1.0,0.43461550736649873,29,0.9,1.6115273666397127,1.4100330046788847,2.272306774905245,2.156692358866457,3.4020514118879124
trstprl,S3,IE,1.0,0.371843064095435,29,0.9,1.6702049145469628,1.346411902800681,2.2487837770622248,2.1287980433553173,3.2514631153959708
trstprl,U0,IL,1.0,0.4004792089066389,29,0.9,0.12372349034305408,1.0766478308440879,0.13320662750230863,0.12505462002424617,0.1859302027297481
trstprl,S1,IL,1.0,0.6077675038032425,20,0.9047619047619048,,1.388901908996716,3.3989662089609043,2.862422023016827,5.489645727860607
trstprl,S2,IL,1.0,0.4297370703914437,29,0.9,2.067990549898064,1.0968002259889915,2.2681725024712955,2.1400965810958583,3.3677894857653374
trstprl,S3,IL,1.0,0.3691492300547265,29,0.9,1.7426826360931882,1.2934586076786927,2.254087856106929,2.113400385222818,3.285264121866855
trstprl,U0,IS,1.0,0.4004792089066389,29,0.9,0.1725776870444644,0.7621031564524314,0.1315220000298462,0.12374642546842213,0.1859302027297481
trstprl,S1,IS,0.65,0.5580188485239314,20,0.9047619047619048,,0.7822231522254431,3.536290254100863,2.9912093533990136,5.387161767401864
trstprl,S2,IS,0.0,0.39110457063672727,29,0.9,4.423124925247141,0.5025367510135784,2.222782829260875,2.0494200922810313,3.283671366973959
trstprl,S3,IS,0.0,0.37051109580297686,29,0.9,3.9731035880870866,0.5604050980643307,2.226547505901688,2.111199568909178,3.266284289670944
trstprl,U0,IT,1.0,0.4004792089066389,29,0.9,0.18235285229885528,0.7194015542510118,0.13118492536590168,0.12374642546842213,0.1781100705262354
trstprl,S1,IT,0.85,0.5844198565207698,20,0.9047619047619048,,0.8901533913928054,3.7210757931296143,3.1962957914635712,5.938517919548243
trstprl,S2,IT,1.0,0.42886186608470056,29,0.9,2.1787240875348908,1.0381085844220483,2.261752178357064,2.037204143380329,3.3796785625394814
trstprl,S3,IT,1.0,0.3660545474330798,29,0.9,3.0383151023917834,0.7326056660733363,2.2258868593284094,2.14872421972284,3.3261436125622934
trstprl,U0,LT,1.0,0.4004792089066389,29,0.9,0.12190803378494203,1.0931948068958983,0.13326922945258834,0.12505462002424617,0.1859302027297481
trstprl,S1,LT,1.0,0.5721093634096739,20,0.9047619047619048,,1.2163173237029103,3.752040301050999,3.2598932182161398,5.751189844505245
trstprl,S2,LT,1.0,0.4300077743944771,29,0.9,1.5387622243423402,1.4856066669664463,2.2859954193590992,2.150491549640691,3.3841476567373325
trstprl,S3,LT,1.0,0.36841277975416253,29,0.9,1.7469256797079717,1.292535275596869,2.257963064868591,2.142129519137788,3.331228897640586
trstprl,U0,NL,1.0,0.4004792089066389,29,0.9,0.07407992638117378,1.8212555158500303,0.13491847453547692,0.12505462002424617,0.1859302027297481
trstprl,S1,NL,1.0,0.6105736315434284,20,0.9047619047619048,,1.4200114881074875,3.6098273132478766,3.187378713346027,5.810781448846075
trstprl,S2,NL,1.0,0.4330075438403695,29,0.9,1.6385132373629394,1.3892690540295256,2.2763357352860663,2.1517872908730538,3.38618671597287
trstprl,S3,NL,1.0,0.3690708041110058,29,0.9,1.95175076370118,1.148090502625495,2.2407865152973816,2.134648507565474,3.2871918798868545
trstprl,U0,NO,1.0,0.4004792089066389,29,0.9,0.08662553755034647,1.552496770084902,0.13448586725378128,0.12505462002424617,0.1859302027297481
trstprl,S1,NO,0.7,0.5653167937654258,20,0.9047619047619048,,0.6686985451024132,3.1013193310723444,2.8050619980895037,4.989957905717334
trstprl,S2,NO,1.0,0.43566801257176907,29,0.9,3.4027472232149396,0.6644163985817858,2.260841055332642,2.1450764558060076,3.4151368246449216
trstprl,S3,NO,0.0,0.37198132382520616,29,0.9,3.4418683400850614,0.6484952845795001,2.2320353886886335,2.113533399593496,3.3539528810828494
trstprl,U0,PL,0.0,0.36470570459771057,29,0.9,0.20023960445331945,0.6520595222174925,0.13056814080885118,0.12374642546842213,0.17453272009534257
trstprl,S1,PL,0.8,0.6188871314119104,20,0.9047619047619048,,0.7290794400349062,3.515468117367341,2.926405430109628,5.617334272093098
trstprl,S2,PL,1.0,0.4225243178804839,29,0.9,2.4795044293893027,0.9224904794670022,2.2873192299078937,2.0540056344049296,3.418286421095386
trstprl,S3,PL,0.0,0.3592723086783663,29,0.9,3.7093347755254977,0.6095351839728687,2.2609700548168936,2.1013572469536914,3.268033859476974
trstprl,U0,PT,1.0,0.4004792089066389,29,0.9,0.13806700599663213,0.9612146113858039,0.1327120235142542,0.12374642546842213,0.1859302027297481
trstprl,S1,PT,1.0,0.6072786023354136,20,0.9047619047619048,,1.5414492939490065,3.7848561096007587,3.2687045194476267,5.703694227185334
trstprl,S2,PT,1.0,0.42996155024486143,29,0.9,1.640726862722304,1.3861084400932244,2.2742253523070626,2.1416449996386953,3.3702261737794172
trstprl,S3,PT,1.0,0.36823160698356183,29,0.9,1.7829017566314578,1.2671830187987445,2.259262830189835,2.1254825383062363,3.2855380371921745
trstprl,U0,RU,1.0,0.4004792089066389,29,0.9,0.15898334825656363,0.8302175780061798,0.13199077033287726,0.12374642546842213,0.1859302027297481
trstprl,S1,RU,0.95,0.633227918942528,20,0.9047619047619048,,1.0242108732241852,3.465725670657297,2.9847803232045376,5.534179550682554
trstprl,S2,RU,1.0,0.4306944723656045,29,0.9,3.1037573492229287,0.728363274599419,2.2606628664420247,2.110957918341826,3.4038914190101552
trstprl,S3,RU,1.0,0.37190797948303567,29,0.9,2.801097673209253,0.8070444484601439,2.260610326758154,2.088069875406514,3.3087235985250194
trstprl,U0,SE,1.0,0.4004792089066389,29,0.9,0.11525113436467094,1.1583294033883493,0.13349877770845978,0.12505462002424617,0.1859302027297481
trstprl,S1,SE,1.0,0.582099777147366,20,0.9047619047619048,,0.8998333880557166,3.514478474985905,3.081175153082564,5.570264086039279
trstprl,S2,SE,1.0,0.44243142878573993,29,0.9,2.131045447094577,1.0717374969863525,2.2839213134333045,2.157456096887435,3.482087738449294
trstprl,S3,SE,1.0,0.3782678175325626,29,0.9,3.0095255203737006,0.7452847694607606,2.242953533637989,2.1134335410319363,3.407153098365899
trstprl,U0,SI,1.0,0.4004792089066389,29,0.9,0.1343377454771824,0.9888555017260086,0.13284061870458005,0.12374642546842213,0.1859302027297481
trstprl,S1,SI,1.0,0.599548616707939,20,0.9047619047619048,,1.6757353779249584,3.24578123986973,2.881463346768088,5.210551219489355
trstprl,S2,SI,1.0,0.42887720317044525,29,0.9,1.6790141476333889,1.3491575779865421,2.2652546608262014,2.1317930287211158,3.3547224977475163
trstprl,S3,SI,1.0,0.3680255424942897,29,0.9,1.869982072715386,1.2013064604626478,2.246421544902326,2.1134211587894516,3.2552617980044487
trstprl,U0,SK,1.0,0.4004792089066389,29,0.9,0.11412455924639131,1.1701041914915788,0.1335376251263315,0.12505462002424617,0.1859302027297481
trstprl,S1,SK,0.85,0.6294992308473696,20,0.9047619047619048,,0.7710438458704749,3.6333686808054027,3.0576995795304285,5.858423963219865
trstprl,S2,SK,1.0,0.43696423048446187,29,0.9,2.9728339120791873,0.7661582145875494,2.27766112234391,2.126972723445805,3.446318085976515
trstprl,S3,SK,0.0,0.37881852285495493,29,0.9,3.6378186462061834,0.6242024477344065,2.2707353033757647,2.116833346543421,3.448134257204668
trstprl,U0,UA,1.0,0.4004792089066389,29,0.9,0.13484539982787874,0.9850029259558145,0.13282311338214225,0.12374642546842213,0.1859302027297481
trstprl,S1,UA,1.0,0.6133035944273247,20,0.9047619047619048,,1.0013397664821482,3.3442204109685534,2.8828258560170634,5.300320527635163
trstprl,S2,UA,1.0,0.42746935284682935,29,0.9,2.0228009292339695,1.1227265101818475,2.271052228071453,2.141230727606711,3.3695742494663348
trstprl,S3,UA,1.0,0.36570999876928806,29,0.9,2.51696580552598,0.8949511445365695,2.2525614284148845,2.0898465864769746,3.24964372972378
stfdem,U0,AT,1.0,0.449392112919356,29,0.9,0.172933178963682,0.8252665788904471,0.14271597298000727,0.12942676545361986,0.21202998010140944
stfdem,S1,AT,1.0,0.8492088632545446,20,0.9047619047619048,,0.954221328282076,3.772336655996986,3.0899262999150565,6.753210108658084
stfdem,S2,AT,1.0,0.4441048558649329,29,0.9,2.350416462310675,0.9110858260907441,2.1414311242216058,1.9547076745737701,3.140861688854688
stfdem,S3,AT,1.0,0.4102137433134783,29,0.9,2.9308869048540247,0.7589276134505732,2.2243310039944024,2.1891280169961234,3.1966287743775452
stfdem,U0,BE,1.0,0.449392112919356,29,0.9,0.065814927832402,2.224566836120683,0.14640970577763762,0.13080060027335716,0.21202998010140944
stfdem,S1,BE,1.0,0.7625078214637024,20,0.9047619047619048,,3.5195406606224537,3.501606368736006,3.005334641170461,6.0580687343819335
stfdem,S2,BE,1.0,0.4487131250193949,29,0.9,0.7242658586822895,2.969948413658882,2.1510322380607536,1.9863331685958474,3.1212549839383903
stfdem,S3,BE,1.0,0.419947188469257,29,0.9,0.7485447041303077,2.9716551230812653,2.2244167048841788,2.1819725449349647,3.1830250162615084
stfdem,U0,BG,1.0,0.449392112919356,29,0.9,0.09362974029283333,1.5534655319835162,0.1454505743134848,0.13080060027335716,0.21202998010140944
stfdem,S1,BG,1.0,0.7956036961253256,20,0.9047619047619048,,2.488478822710449,3.4951519570688148,2.907094657017744,6.228686633455792
stfdem,S2,BG,1.0,0.4488418600805844,29,0.9,0.9643919089979024,2.2237278914019036,2.144545186280962,1.987682838223005,3.1291741453229225
stfdem,S3,BG,1.0,0.42009024381074406,29,0.9,1.0651365103857506,2.079672032592143,2.2151346115420365,2.21277443993667,3.185802986282616
stfdem,U0,CH,1.0,0.449392112919356,29,0.9,0.03686161285655719,3.99895947371702,0.14740809594921847,0.13080060027335716,0.21202998010140944
stfdem,S1,CH,1.0,0.8091644841869657,20,0.9047619047619048,,2.2599646581701753,3.6538307477816923,3.1075404794080925,6.376575208164285
stfdem,S2,CH,1.0,0.44870262264052446,29,0.9,1.4861799880250204,1.4325361183776948,2.1290065112559717,1.985790752820962,3.1199437742138802
stfdem,S3,CH,1.0,0.4197634041155438,29,0.9,1.5676529555970997,1.4122341695140754,2.213893069833956,2.1807214277988978,3.2360464357910943
stfdem,U0,CY,1.0,0.449392112919356,29,0.9,0.18679331317715206,0.7614728541303688,0.1422380373174738,0.12942676545361986,0.21202998010140944
stfdem,S1,CY,0.85,0.7603435714974791,20,0.9047619047619048,,0.9260108739603006,3.8215839275076235,3.3105530653974653,6.788206863129558
stfdem,S2,CY,1.0,0.44937736352884733,29,0.9,2.28793590086104,0.9379160328525543,2.145891763556522,1.962979058136516,3.1823180236460806
stfdem,S3,CY,1.0,0.4186835569580832,29,0.9,3.129138952683292,0.712650107273026,2.2299812103019523,2.2019852162855407,3.3038728431321434
stfdem,U0,CZ,1.0,0.449392112919356,29,0.9,0.08053985631145422,1.8115496637959314,0.1459019496231875,0.13080060027335716,0.21202998010140944
stfdem,S1,CZ,1.0,0.7835984287585281,20,0.9047619047619048,,1.4910033432448897,3.662197457522679,3.182618188310078,6.6407635143170864
stfdem,S2,CZ,1.0,0.4479519408813612,29,0.9,1.6249104935395933,1.312500281217412,2.1326954797238398,2.009736953203883,3.123326844699319
stfdem,S3,CZ,1.0,0.4183944247430738,29,0.9,2.105747726173944,1.0516370834254678,2.214482397183377,2.1944893756392,3.2100450723743355
stfdem,U0,DE,1.0,0.449392112919356,29,0.9,0.04719037017462557,3.1161427926843883,0.1470519319037678,0.13080060027335716,0.21202998010140944
stfdem,S1,DE,1.0,0.8004018464808205,20,0.9047619047619048,,1.5314989892141597,3.673005081099329,3.156397101268717,6.215075465148056
stfdem,S2,DE,1.0,0.4487808379122353,29,0.9,2.1566476217926356,0.9822030132076001,2.1182657925517314,1.9668890212724974,3.1253004920010268
stfdem,S3,DE,1.0,0.4198048315996936,29,0.9,2.378049853529537,0.9194084539919183,2.1863991393492994,2.0780546489421385,3.2719865626432143
stfdem,U0,DK,1.0,0.449392112919356,29,0.9,0.08393538653463217,1.736870090113433,0.14578486237411242,0.13080060027335716,0.21202998010140944
stfdem,S1,DK,1.0,0.743403938459174,20,0.9047619047619048,,0.8419790111807355,3.521952998453635,3.107743077865847,6.05836445516445
stfdem,S2,DK,1.0,0.4459341096987115,29,0.9,2.4101486584831444,0.8860613743584244,2.1355396327436877,1.9940025243144608,3.1205502928051745
stfdem,S3,DK,1.0,0.4153882351258728,29,0.9,3.0049241071624104,0.7353608312807647,2.2097034893785596,2.1657175965749,3.182719875333537
stfdem,U0,EE,1.0,0.449392112919356,29,0.9,0.1288118703623839,1.119752372267824,0.14423739741453478,0.13080060027335716,0.21202998010140944
stfdem,S1,EE,1.0,0.7915228186959162,20,0.9047619047619048,,2.177684126248203,3.4962341482519035,3.0652704032743583,6.117062869569992
stfdem,S2,EE,1.0,0.44948524386127864,29,0.9,1.3361445423541851,1.5995391888158532,2.137215557417943,1.9862821425954265,3.1335569459209958
stfdem,S3,EE,1.0,0.42663066527495513,29,0.9,1.3709333638435113,1.609038373148918,2.205884389454337,2.1796884926226445,3.196896325695707
stfdem,U0,ES,1.0,0.449392112919356,29,0.9,0.06722821371115234,2.177076612665363,0.14636097178181864,0.13080060027335716,0.21202998010140944
stfdem,S1,ES,1.0,0.7590356366354816,20,0.9047619047619048,,1.218577549592934,3.4232786151889556,2.8983950443420508,6.013797810004517
stfdem,S2,ES,1.0,0.4495710091787727,29,0.9,2.370993452974618,0.8949268746101448,2.12186576059169,1.9953654332413464,3.1413450077048752
stfdem,S3,ES,1.0,0.42191041421248654,29,0.9,2.4627534742053725,0.889293866224391,2.190111558633647,2.078407166041504,3.2888887206278867
stfdem,U0,FI,1.0,0.449392112919356,29,0.9,0.20886346101184233,0.6773659550195124,0.14147699773696726,0.12942676545361986,0.20936805737874584
stfdem,S1,FI,0.65,0.8745777698039353,20,0.9047619047619048,,0.6708926786762919,3.720980637650907,3.1139140742979663,6.770112622342739
stfdem,S2,FI,0.0,0.3792081142649313,29,0.9,4.898478875210126,0.42757598207637,2.0944719157483216,1.9516306710579046,2.9229528498069506
stfdem,S3,FI,0.0,0.38401720056702887,29,0.9,5.135601948566654,0.42035121033199074,2.158756494863323,2.234328459351611,3.102380950608807
stfdem,U0,FR,1.0,0.449392112919356,29,0.9,0.18118239835639344,0.7861222637019655,0.14243151713887928,0.12942676545361986,0.21202998010140944
stfdem,S1,FR,1.0,0.8274045156259732,20,0.9047619047619048,,1.3034695350602936,3.7599538529729157,3.144762447125396,6.765157870707822
stfdem,S2,FR,1.0,0.44679341365451364,29,0.9,1.9439792604438713,1.0995831382595733,2.137566815910396,1.9934045568862497,3.1472141040332255
stfdem,S3,FR,1.0,0.42508072441760075,29,0.9,2.0042302594035393,1.0968765666832185,2.1983932057771707,2.190184080702722,3.2017109046814265
stfdem,U0,GB,1.0,0.449392112919356,29,0.9,0.13080060027335716,1.1022030496783488,0.14416882052105293,0.12942676545361986,0.21202998010140944
stfdem,S1,GB,1.0,0.8136445091169225,20,0.9047619047619048,,1.5854620579073688,3.510465493196466,2.9786917702166393,6.171128428684641
stfdem,S2,GB,1.0,0.45050847718066933,29,0.9,1.57003774364406,1.3601689041920582,2.135516517312513,1.994159773291318,3.146727702031018
stfdem,S3,GB,1.0,0.43587394827280607,29,0.9,1.667684025725933,1.3261039866136148,2.211522434927002,2.179658281031133,3.2298929828333307
stfdem,U0,GR,0.0,0.41772692202368467,29,0.9,0.33896305797790416,0.4041467101322513,0.13699080473813752,0.12942676545361986,0.20620153828917873
stfdem,S1,GR,0.1,0.6527204855337334,20,0.9047619047619048,,0.385975404838654,3.3734086580787106,2.9848339065339102,5.373290123490944
stfdem,S2,GR,0.0,0.3841513436536478,29,0.9,5.297007036150232,0.4189078010729948,2.218957569781875,2.1566178308185204,3.013498410327229
stfdem,S3,GR,0.0,0.42531476853776917,29,0.9,5.4923558416736205,0.42174639530116753,2.3163812779371593,2.3172641041516933,3.6747701986517973
stfdem,U0,HR,1.0,0.449392112919356,29,0.9,0.15119734851633992,0.9488624356348344,0.1434654843747432,0.12942676545361986,0.21202998010140944
stfdem,S1,HR,1.0,0.7674959994891262,20,0.9047619047619048,,1.5485785954055877,3.5724090742094807,3.037140490085868,6.276676564309513
stfdem,S2,HR,1.0,0.4518338335265087,29,0.9,1.5703271872273603,1.3608503697777468,2.1369803334104023,1.9906978786325396,3.1715110039331353
stfdem,S3,HR,1.0,0.41993190107531375,29,0.9,1.4403915345119425,1.5400284728206697,2.2182439751582477,2.1799447527964206,3.2665021567933055
stfdem,U0,HU,1.0,0.449392112919356,29,0.9,0.14799280635034534,0.970155167467084,0.143575985828743,0.12942676545361986,0.21202998010140944
stfdem,S1,HU,1.0,0.7573889186574628,20,0.9047619047619048,,1.3064130749206104,3.4030129550118575,2.857762740108879,5.971155489499404
stfdem,S2,HU,1.0,0.44719496699015726,29,0.9,1.6949597890540546,1.2664449644937434,2.1465732898668852,2.006178892447849,3.141584925353553
stfdem,S3,HU,1.0,0.4225199204641183,29,0.9,1.8427962843620844,1.197472952333092,2.2066987071835173,2.234726418254431,3.2209409653006142
stfdem,U0,IE,1.0,0.449392112919356,29,0.9,0.12262046686965261,1.1780324914294398,0.14445089408669795,0.13080060027335716,0.21202998010140944
stfdem,S1,IE,1.0,0.712064725049179,20,0.9047619047619048,,1.3072271875331685,3.526607418851976,3.0286593966059803,6.2250463538908045
stfdem,S2,IE,1.0,0.44569256896853593,29,0.9,2.033765663313785,1.0505966556549515,2.1366674042633367,1.9537009534894751,3.1241124953085735
stfdem,S3,IE,1.0,0.4169450011597736,29,0.9,1.9938174045786279,1.1018944615855506,2.1969763555180672,2.189685412123906,3.1836644362953423
stfdem,U0,IL,1.0,0.449392112919356,29,0.9,0.172528133729557,0.8272850170673005,0.14272994005704606,0.12942676545361986,0.21202998010140944
stfdem,S1,IL,1.0,0.7996639819183337,20,0.9047619047619048,,1.3609276443064737,3.738010763682574,3.171687917703376,6.334184628137315
