target,essround,rep,K,n_countries,median_unit_n,halfwidth,s_between,v_design,s_total,feasible
1500,10,0,6,1,1519,inf,0.018768375265031816,0.003688685922771235,0.019127423086393754,False
1500,10,1,5,1,1606,inf,0.0200710951388996,0.005222655449903418,0.020739454911428243,False
1500,10,2,6,1,1507,inf,0.012047291859677933,0.005727111659310127,0.013339304671176387,False
1000,9,0,15,7,1009,0.0345215031083846,0.01450716097327749,0.014897085612554376,0.020793770202932417,True
1000,9,1,15,7,1007,0.03627370187964372,0.017384209532379756,0.015306123900908547,0.02316221427099851,True
1000,9,2,15,7,1007,0.07136405230244035,0.025758170027156208,0.014416836078787045,0.029518273758309517,True
1000,10,0,25,8,1005,0.04883226778895173,0.016373810879690184,0.01728156399079638,0.023806598595596362,True
1000,10,1,25,8,1010,0.038615731260776984,0.015451077554461354,0.017745802342491426,0.023529753470292746,True
1000,10,2,25,8,1013,0.036283978672906524,0.01600925173675624,0.01718955989435609,0.023489936367144294,True
1000,11,0,17,7,1001,0.041518627329217614,0.018362723962695483,0.018123063558582165,0.025799904342430416,True
1000,11,1,17,7,1002,0.033393143934440164,0.013618656814922745,0.01853742343919013,0.023002258176241682,True
1000,11,2,17,7,1004,0.04834575048959028,0.016812812557184,0.0184124919978069,0.024933722699434738,True
700,9,0,57,22,702,0.04003842591637857,0.015955070553139328,0.017623014381622185,0.023772566379137865,True
700,9,1,57,22,702,0.031560239954237755,0.014283869344323094,0.017208570427486816,0.022364342592695784,True
700,9,2,57,22,702,0.03706043919976934,0.015210906438365101,0.017559370424821873,0.023231512313941296,True
700,10,0,68,22,702,0.04367999885832628,0.024004227312699758,0.018308266228736943,0.030189328266492958,True
700,10,1,68,22,703,0.044727777896085924,0.02104746988125395,0.01829510993680495,0.027887399233382654,True
700,10,2,68,22,703,0.04827913177948767,0.021149906629687108,0.018632430023461054,0.028186628017974332,True
700,11,0,50,19,702,0.04914529405442223,0.020777945010881163,0.019646593545814453,0.028595657656882795,True
700,11,1,50,19,702,0.03489878832889393,0.016504476669877963,0.019472866104067208,0.025526266167488647,True
700,11,2,50,19,701,0.04620977849159274,0.02060208333850569,0.019643656392363183,0.028466103954492342,True
500,9,0,91,26,501,0.04751181571875716,0.021860956194928317,0.01981450105780685,0.0295045057224554,True
500,9,1,91,26,502,0.052090352374340565,0.02310400984644805,0.019978111916526122,0.030543742840948806,True
500,9,2,91,26,500,0.0462793763319155,0.018308091988916034,0.019814659380710854,0.026977897595035164,True
500,10,0,113,29,501,0.06370881237281287,0.028082289839210853,0.021822611975172237,0.03556460875691417,True
500,10,1,113,29,501,0.04990666126514078,0.02622229999424464,0.022049363820835215,0.03426052337445707,True
500,10,2,111,29,501,0.053580461620819725,0.02512567412148803,0.022227011951698912,0.03354608114758235,True
500,11,0,93,27,501,0.04759748056500327,0.022752799225851893,0.02227254975915357,0.03183954059633867,True
500,11,1,93,27,501,0.04717352879253578,0.022337734750193895,0.02208515050714021,0.03141223116388034,True
500,11,2,93,27,501,0.05784831462487161,0.02688644668361411,0.022436265490275845,0.03501809567096656,True
350,9,0,137,29,351,0.05390359230007632,0.02470916121459279,0.023034323564778827,0.03378050784129306,True
350,9,1,139,29,350,0.05699122073935375,0.02649013498031916,0.022920923714251088,0.03502992999122389,True
350,9,2,136,29,350,0.05833095411899351,0.026982966502235535,0.023036232854016573,0.035478845885474314,True
350,10,0,163,31,352,0.05797833461416879,0.03079447854740078,0.02477897973107806,0.03952591233000832,True
350,10,1,164,31,351,0.06760594924149164,0.03267057379337467,0.02441205039765007,0.04078375407690846,True
350,10,2,164,31,351,0.0682835313984514,0.033892023332713316,0.0249438933362332,0.042081671311327014,True
350,11,0,136,29,350,0.06639831035754298,0.0305689579952195,0.025129478102007184,0.03957210965557374,True
350,11,1,136,29,350,0.06508082966823169,0.029332475117739416,0.025150454186400703,0.038638574537824794,True
350,11,2,136,29,351,0.06535996730028065,0.026625872457931223,0.02523070006283497,0.03668140277861196,True
250,9,0,192,29,250,0.06808327377333652,0.0328061926623162,0.025575463375209134,0.04159748314325848,True
250,9,1,192,29,250,0.06997963499372016,0.03359299314478609,0.025440830960393807,0.04213935296585576,True
250,9,2,192,29,250,0.07522571972093084,0.03368237243499489,0.025733848993989568,0.042387889743359025,True
250,10,0,232,31,251,0.0792619226711306,0.03646984792695542,0.02757230788362532,0.04571960159324096,True
250,10,1,231,31,251,0.08246635723902775,0.038756180824459585,0.027989677576257997,0.04780652259808371,True
250,10,2,230,31,251,0.08320294920178514,0.03776698014123867,0.027129154474634046,0.04650092269511727,True
250,11,0,194,30,250,0.06852317859066341,0.03265281492428706,0.028452678961611605,0.04331005960019311,True
250,11,1,194,30,250,0.07719061408063155,0.03419911358325557,0.02854470662299718,0.044546376351768446,True
250,11,2,193,30,251,0.07604001245242299,0.03341629033029488,0.028502802527775532,0.04392104519903786,True
175,9,0,272,29,176,0.09027091687109662,0.043621936243781814,0.02860990967364458,0.052167041829019475,True
175,9,1,273,29,176,0.09157307209491326,0.042934179270865125,0.028293814522180404,0.0514187095314374,True
175,9,2,273,29,176,0.08880051461891805,0.04043258140739723,0.029045554275244523,0.04978391168261067,True
175,10,0,325,31,176,0.1009360737778167,0.04667673575969711,0.031028536401182256,0.05604897619386173,True
175,10,1,324,31,176,0.10427956037877974,0.045540214344188,0.03126542255221544,0.055239820509150536,True
175,10,2,322,31,176,0.0931951240730969,0.0442530515644223,0.030375696694514974,0.05367509219778376,True
175,11,0,281,30,175,0.09318618983597651,0.042609553382361505,0.03160833397823271,0.05305337704919278,True
175,11,1,281,30,175,0.09500096858415627,0.04339659307051143,0.031892907657572064,0.053855564698385434,True
175,11,2,280,30,175,0.0952168441316524,0.0434890118516358,0.032056213023935416,0.05402679839919857,True
125,9,0,380,29,126,0.10418078321620916,0.04782514285240428,0.03135116756576028,0.057185137899538684,True
125,9,1,379,29,125,0.11006809881036003,0.048773330505426496,0.031181009115007773,0.057888626672445466,True
125,9,2,380,29,125,0.10115799202076145,0.046152526944610736,0.03163529645522926,0.05595397863586879,True
125,10,0,450,31,126,0.10982889395490204,0.05652243627377586,0.03306941677071614,0.06548566352934339,True
125,10,1,449,31,126,0.11014089310204236,0.05080072144143432,0.03403428767549531,0.06114773942304471,True
125,10,2,447,31,126,0.11398195948422983,0.05730743164274234,0.03399389157977466,0.06663127183406498,True
125,11,0,387,30,125,0.10097609103354364,0.04926139237372863,0.035703948847512504,0.060839598469288395,True
125,11,1,387,30,126,0.10275873623989415,0.04860560997940251,0.03578914945067455,0.06036032256269437,True
125,11,2,387,30,125,0.11000405807568002,0.05141940211839356,0.035323233902197305,0.06238337733340828,True
90,9,0,528,29,90,0.13072798248557713,0.05864956676117772,0.034555351123582816,0.0680723436686878,True
90,9,1,526,29,91,0.12364630110293391,0.057968888861618176,0.03461241278712844,0.06751600695240509,True
90,9,2,524,29,91,0.12340704628742523,0.05858159569427495,0.035147006021786525,0.0683162893194807,True
90,10,0,611,31,91,0.13623548875983912,0.062201761110431006,0.03740940364855068,0.07258458904326265,True
90,10,1,614,31,91,0.13225562230189022,0.06382546386256498,0.038049562926138494,0.07430652108759878,True
90,10,2,612,31,91,0.13846974510690632,0.06495769022620473,0.03603712212868357,0.07428442428154929,True
90,11,0,536,30,91,0.12807381094483433,0.06068423284851193,0.03876849415221167,0.07201091761144615,True
90,11,1,538,30,90,0.12963255272980745,0.05992654461617489,0.039727671085494624,0.07189908622167353,True
90,11,2,536,30,91,0.1306893380590601,0.06057642387026495,0.03915283551060879,0.07212799496333441,True
60,9,0,778,29,60,0.14414815105348466,0.06906601030603804,0.038730556086892014,0.079184403479433,True
60,9,1,777,29,60,0.14999167411006656,0.06913003905701526,0.039004816212147506,0.07937466842619162,True
60,9,2,780,29,60,0.14862241305503027,0.07199315079208826,0.038084483019252637,0.08144594285669546,True
60,10,0,897,31,61,0.16853954085758419,0.07673863263104934,0.04105738426471911,0.08703175593278556,True
60,10,1,894,31,61,0.1696951481739202,0.07865493759417552,0.0399189397669296,0.08820499396326377,True
60,10,2,896,31,60,0.15593045938082956,0.07639676481146938,0.041188541627958514,0.08679263583448217,True
60,11,0,792,30,61,0.15673235993175963,0.07265502786542305,0.04283033803113148,0.08433973517854076,True
60,11,1,791,30,61,0.14872000052932127,0.0712310546992528,0.0433232840755519,0.08337127860755712,True
60,11,2,792,30,61,0.16131957285762996,0.07396083733215737,0.043198520971503875,0.0856523068749424,True
40,9,0,1149,29,40,0.17786163962899423,0.08309459155677845,0.04178641402214133,0.09300976047070353,True
40,9,1,1151,29,40,0.1755072117036719,0.08370125983477424,0.04291927805295815,0.09406362382194046,True
40,9,2,1153,29,40,0.1844293620911974,0.08600715755510183,0.04155560455060193,0.0955201519066742,True
40,10,0,1241,31,40,0.19585376987794986,0.09538791620718837,0.04646200103636656,0.1061017063889781,True
40,10,1,1233,31,40,0.19411857897358248,0.09305294804672859,0.0454632912511156,0.10356525475066883,True
40,10,2,1238,31,40,0.20644977138983056,0.09399243557254389,0.04625706638405518,0.10475826523629389,True
40,11,0,1173,30,41,0.1900160919194684,0.08808630001132256,0.04672812300039076,0.0997131572503066,True
40,11,1,1171,30,41,0.19157215712397946,0.08929424127546,0.047796447837542715,0.10128159729608832,True
40,11,2,1170,30,40,0.18744025798277955,0.08721188720815938,0.04795742199982762,0.09952802417047303,True
