age_group,outcome,cntry,n_pairs,pair_plugin,pair_da,any_plugin,any_da,net_plugin,net_da,persist_plugin,persist_da,persist_da_bonf
full_18plus,stfdem,CZ,1,0,0,False,False,False,False,False,False,False
full_18plus,stfdem,DE,2,1,0,True,False,True,True,False,False,False
full_18plus,stfdem,EE,2,1,1,True,True,True,True,False,False,False
full_18plus,stfdem,ES,2,1,1,True,True,False,False,False,False,False
full_18plus,stfdem,FI,2,1,1,True,True,False,False,False,False,False
full_18plus,stfdem,FR,2,1,1,True,True,True,False,False,False,False
full_18plus,stfdem,GB,2,1,1,True,True,True,True,False,False,False
full_18plus,stfdem,GR,1,1,1,True,True,True,True,True,True,False
full_18plus,stfdem,HR,2,0,0,False,False,False,False,False,False,False
full_18plus,stfdem,HU,2,1,1,True,True,True,False,False,False,False
full_18plus,stfdem,IE,2,1,0,True,False,False,False,False,False,False
full_18plus,stfdem,IL,1,0,0,False,False,False,False,False,False,False
full_18plus,stfdem,IS,2,1,1,True,True,False,False,False,False,False
full_18plus,stfdem,IT,2,1,0,True,False,True,False,False,False,False
full_18plus,stfdem,LT,2,0,0,False,False,False,False,False,False,False
full_18plus,stfdem,LV,2,1,1,True,True,False,False,False,False,False
full_18plus,stfdem,ME,2,0,0,False,False,False,False,False,False,False
full_18plus,stfdem,NL,2,2,1,True,True,True,True,True,False,False
full_18plus,stfdem,NO,2,1,0,True,False,True,False,False,False,False
full_18plus,stfdem,PL,2,1,1,True,True,True,False,False,False,False
full_18plus,stfdem,PT,2,1,1,True,True,True,True,False,False,False
full_18plus,stfdem,RS,2,0,0,False,False,False,False,False,False,False
full_18plus,stfdem,SE,2,1,0,True,False,False,False,False,False,False
full_18plus,stfdem,SI,2,0,0,False,False,False,False,False,False,False
full_18plus,stfdem,SK,2,1,0,True,False,False,False,False,False,False
older_50plus,trstprl,AT,2,1,1,True,True,True,True,False,False,False
older_50plus,trstprl,BE,2,2,0,True,False,True,True,True,False,False
older_50plus,trstprl,BG,2,0,0,False,False,False,False,False,False,False
older_50plus,trstprl,CH,2,1,0,True,False,False,False,False,False,False
older_50plus,trstprl,CY,2,1,0,True,False,False,False,False,False,False
older_50plus,trstprl,CZ,1,0,0,False,False,False,False,False,False,False
older_50plus,trstprl,DE,2,1,1,True,True,True,True,False,False,False
older_50plus,trstprl,EE,2,2,1,True,True,True,True,True,False,False
older_50plus,trstprl,ES,2,1,0,True,False,False,False,False,False,False
older_50plus,trstprl,FI,2,0,0,False,False,False,False,False,False,False
older_50plus,trstprl,FR,2,1,1,True,True,False,False,False,False,False
