K,g,L,coverage,attainable,deficit
20,1,4,0.8886666666666667,0.9047619047619048,0.01609523809523805
20,2,4,0.8726666666666667,0.9047619047619048,0.032095238095238066
20,4,4,0.818,0.9047619047619048,0.08676190476190482
30,1,4,0.8983333333333333,0.9032258064516129,0.004892473118279561
30,2,4,0.8853333333333333,0.9032258064516129,0.017892473118279573
30,4,4,0.8496666666666667,0.9032258064516129,0.0535591397849462
50,1,4,0.8963333333333333,0.9019607843137255,0.00562745098039219
50,2,4,0.8823333333333333,0.9019607843137255,0.019627450980392203
50,4,4,0.8836666666666667,0.9019607843137255,0.018294117647058794
100,1,4,0.8936666666666667,0.900990099009901,0.007323432343234293
100,2,4,0.8903333333333333,0.900990099009901,0.010656765676567703
100,4,4,0.8893333333333333,0.900990099009901,0.011656765676567704
