deff,iso,country,m_items,p_pc_bonferroni,p_pc_simes,pc_bonferroni,pc_simes,n_certified_alpha10,certified_items,two_smallest_items
1.5,484,Mexico,5,1.0,1.0,False,False,0,,imp_dem;confid_parl
1.5,807,North Macedonia,4,1.0,1.0,False,False,1,confid_parl,confid_parl;rej_army
1.5,578,Norway,4,1.0,1.0,False,False,1,confid_parl,confid_parl;rej_army
1.5,608,Philippines,5,1.0,1.0,False,False,1,imp_dem,imp_dem;confid_parl
1.5,616,Poland,5,1.0,1.0,False,False,1,rej_leader,rej_leader;sup_demsys
1.5,710,South Africa,5,1.0,1.0,False,False,1,imp_dem,imp_dem;confid_parl
1.5,752,Sweden,5,1.0,1.0,False,False,1,imp_dem,imp_dem;confid_parl
1.5,792,Turkey,5,1.0,1.0,False,False,1,imp_dem,imp_dem;confid_parl
1.5,826,United Kingdom,5,1.0,1.0,False,False,1,confid_parl,confid_parl;imp_dem
2.0,8,Albania,4,0.0014992503748125937,0.0007496251874062968,True,True,4,confid_parl;rej_army;rej_leader;sup_demsys,confid_parl;rej_army
2.0,70,Bosnia and Herzegovina,4,0.0014992503748125937,0.0014992503748125937,True,True,3,confid_parl;rej_army;rej_leader,confid_parl;rej_army
2.0,646,Rwanda,2,0.001999000499750125,0.001999000499750125,True,True,2,confid_parl;imp_dem,imp_dem;confid_parl
2.0,788,Tunisia,5,0.001999000499750125,0.001999000499750125,True,True,3,imp_dem;rej_leader;sup_demsys,rej_leader;sup_demsys
2.0,860,Uzbekistan,5,0.001999000499750125,0.001999000499750125,True,True,2,confid_parl;sup_demsys,confid_parl;sup_demsys
2.0,368,Iraq,5,0.009995002498750625,0.009995002498750625,True,True,2,confid_parl;imp_dem,confid_parl;imp_dem
2.0,31,Azerbaijan,4,0.014992503748125937,0.014992503748125937,True,True,2,confid_parl;sup_demsys,confid_parl;sup_demsys
2.0,218,Ecuador,5,0.0879560219890055,0.0879560219890055,True,True,2,confid_parl;sup_demsys,confid_parl;sup_demsys
2.0,422,Lebanon,5,0.095952023988006,0.095952023988006,True,True,2,imp_dem;rej_leader,rej_leader;imp_dem
2.0,756,Switzerland,4,0.10494752623688156,0.10494752623688156,False,False,2,rej_army;rej_leader,rej_leader;rej_army
2.0,246,Finland,4,0.2143928035982009,0.2143928035982009,False,False,2,rej_army;rej_leader,rej_army;rej_leader
2.0,288,Ghana,5,0.33983008495752126,0.33983008495752126,False,False,2,confid_parl;imp_dem,imp_dem;confid_parl
2.0,780,Trinidad and Tobago,5,0.495752123938031,0.495752123938031,False,False,1,rej_leader,rej_leader;rej_army
2.0,112,Belarus,4,0.8680659670164919,0.8680659670164919,False,False,1,rej_army,rej_army;rej_leader
2.0,12,Algeria,4,0.8875562218890555,0.5382308845577211,False,False,1,rej_leader,rej_leader;sup_demsys
2.0,703,Slovakia,4,0.9640179910044977,0.9640179910044977,False,False,0,,sup_demsys;confid_parl
2.0,152,152,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
2.0,156,156,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
2.0,158,158,5,1.0,1.0,False,False,0,,rej_army;confid_parl
2.0,170,170,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
2.0,20,20,4,1.0,1.0,False,False,0,,imp_dem;rej_army
2.0,276,276,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
2.0,32,32,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
2.0,356,356,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
2.0,36,36,5,1.0,1.0,False,False,0,,imp_dem;confid_parl
2.0,360,360,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
2.0,364,364,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
2.0,392,392,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
2.0,400,400,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
2.0,410,410,5,1.0,1.0,False,False,0,,imp_dem;confid_parl
2.0,417,417,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
2.0,458,458,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
2.0,498,498,4,1.0,1.0,False,False,0,,confid_parl;rej_army
2.0,50,50,4,1.0,1.0,False,False,0,,confid_parl;rej_army
2.0,504,504,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
2.0,51,51,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
2.0,528,528,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
2.0,554,554,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
2.0,566,566,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
2.0,586,586,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
2.0,604,604,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
2.0,630,630,4,1.0,1.0,False,False,0,,confid_parl;rej_army
2.0,642,642,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
2.0,643,643,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
2.0,688,688,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
2.0,702,702,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
2.0,704,704,5,1.0,1.0,False,False,0,,imp_dem;confid_parl
2.0,705,705,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
2.0,716,716,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
2.0,724,724,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
2.0,76,76,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
2.0,764,764,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
2.0,804,804,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
2.0,840,840,5,1.0,1.0,False,False,0,,imp_dem;confid_parl
2.0,858,858,5,1.0,1.0,False,False,0,,confid_parl;imp_dem
2.0,862,862,4,1.0,1.0,False,False,0,,rej_army;confid_parl
2.0,100,Bulgaria,4,1.0,1.0,False,False,1,confid_parl,confid_parl;rej_army
2.0,124,Canada,5,1.0,1.0,False,False,1,imp_dem,imp_dem;confid_parl
2.0,196,Cyprus,5,1.0,1.0,False,False,0,,confid_parl;rej_army
2.0,203,Czechia,4,1.0,1.0,False,False,1,sup_demsys,sup_demsys;confid_parl
2.0,818,Egypt,4,1.0,1.0,False,False,1,confid_parl,confid_parl;imp_dem
2.0,233,Estonia,4,1.0,1.0,False,False,1,rej_leader,rej_leader;confid_parl
2.0,231,Ethiopia,5,1.0,1.0,False,False,1,sup_demsys,sup_demsys;confid_parl
2.0,268,Georgia,5,1.0,1.0,False,False,1,imp_dem,imp_dem;confid_parl
2.0,320,Guatemala,4,1.0,1.0,False,False,0,,sup_demsys;confid_parl
2.0,344,Hong Kong SAR,5,1.0,1.0,False,False,0,,confid_parl;sup_demsys
2.0,348,Hungary,4,1.0,1.0,False,False,1,confid_parl,confid_parl;rej_army
2.0,398,Kazakhstan,5,1.0,1.0,False,False,1,imp_dem,imp_dem;confid_parl
2.0,434,Libya,5,1.0,1.0,False,False,1,confid_parl,confid_parl;imp_dem
2.0,484,Mexico,5,1.0,1.0,False,False,0,,imp_dem;confid_parl
2.0,807,North Macedonia,4,1.0,1.0,False,False,1,confid_parl,confid_parl;rej_army
2.0,578,Norway,4,1.0,1.0,False,False,0,,confid_parl;rej_army
2.0,608,Philippines,5,1.0,1.0,False,False,1,imp_dem,imp_dem;confid_parl
2.0,616,Poland,5,1.0,1.0,False,False,1,rej_leader,rej_leader;sup_demsys
2.0,710,South Africa,5,1.0,1.0,False,False,1,imp_dem,imp_dem;confid_parl
2.0,752,Sweden,5,1.0,1.0,False,False,1,imp_dem,imp_dem;confid_parl
2.0,792,Turkey,5,1.0,1.0,False,False,1,imp_dem,imp_dem;confid_parl
2.0,826,United Kingdom,5,1.0,1.0,False,False,1,confid_parl,confid_parl;imp_dem
