cell,seed,target_n,survey_sd,transport_sd,oracle_cov_true,oracle_cov_tilde,oracle_width,plugin_cov_true,plugin_cov_tilde,plugin_width,da_wc_cov_true,da_wc_cov_tilde,da_wc_width,da_stud_cov_true,da_stud_width,da_stud_cov_tilde,da_stud_width_val
A_baseline,0,1500,0.01475975191177072,0.04352077610031385,1.0,1.0,0.1856937271643231,1.0,1.0,0.21339316764131597,1.0,1.0,0.27969957957816494,1.0,0.18240760123496474,1.0,0.1892478935641408
A_baseline,1,1500,0.013802674286889357,0.03535233058430106,1.0,1.0,0.155522845851725,1.0,1.0,0.19197083451407,1.0,1.0,0.26974599025740886,1.0,0.15470421297889686,1.0,0.17000585265172988
A_baseline,2,1500,0.01466821257989568,0.04026467872912303,1.0,1.0,0.17126269068520553,1.0,1.0,0.21893081111705945,1.0,1.0,0.3240996139164703,1.0,0.18454958449785033,1.0,0.19386792342775466
A_baseline,3,1500,0.013967838648923389,0.044902143638949565,1.0,1.0,0.2173053049206421,1.0,1.0,0.21315049801567615,1.0,1.0,0.2946061987210762,1.0,0.18782910351722942,1.0,0.19879839949403472
A_baseline,4,1500,0.014533310298142399,0.0433323491979707,1.0,1.0,0.1882985060913842,1.0,1.0,0.24958648231616304,1.0,1.0,0.2951099103157994,1.0,0.2121757643389174,1.0,0.22874768485754524
A_baseline,5,1500,0.013985094362053432,0.03801714124123563,1.0,1.0,0.20116656321329884,1.0,1.0,0.19443968029710368,1.0,1.0,0.2690884420217584,1.0,0.17753892253652503,1.0,0.18566189542975736
A_baseline,6,1500,0.014768716404858497,0.037384590476023764,1.0,1.0,0.1608972470291226,1.0,1.0,0.2017557044280273,1.0,1.0,0.26344200121641925,1.0,0.1866928746200685,1.0,0.20399329842390862
A_baseline,7,1500,0.01421174684939515,0.03630158597174098,1.0,0.0,0.16661928084622163,1.0,1.0,0.18495083647065555,1.0,1.0,0.2683184272326417,1.0,0.15757040487238752,1.0,0.1672658570049708
A_baseline,8,1500,0.014554822776048188,0.04424459619399479,1.0,1.0,0.2374156944899159,1.0,1.0,0.23467882233741982,1.0,1.0,0.2993009344151333,1.0,0.2254116941526175,1.0,0.24140711079838253
A_baseline,9,1500,0.014146865725130058,0.041979789269836705,1.0,1.0,0.1956213289299179,1.0,1.0,0.2152518894873628,1.0,1.0,0.2831587751335715,1.0,0.19470400620285216,1.0,0.20728884798817634
A_baseline,10,1500,0.014735000548017364,0.036656576438313306,1.0,1.0,0.1646422572778308,1.0,1.0,0.20145329027785897,1.0,1.0,0.2994605288624952,1.0,0.15824301538770563,1.0,0.1692598729173933
A_baseline,11,1500,0.014017891300951012,0.04080666667388781,1.0,1.0,0.16294992896687613,1.0,1.0,0.21497919007393013,1.0,1.0,0.28702787102400396,1.0,0.19557328930159884,1.0,0.20462401494136095
