min_n,essround,K,median_unit_n,halfwidth,quantile_index,quantile_feasible,s_between,v_design,s_total
600,9,6,716,inf,7,False,0.19536544429935038,0.023270829489745903,0.19674650779981687
600,10,12,934,0.4255140958167042,12,True,0.21190580209268434,0.019996817386661193,0.212847226118029
600,11,7,861,inf,8,False,0.2024575227197528,0.025628733542158836,0.20407322335082131
400,9,22,500,0.45700527828374893,21,True,0.15654833125989992,0.023225112740996215,0.15826176380317308
400,10,30,540,0.45092687253023545,28,True,0.19080380894011834,0.024636530451585776,0.1923877650443216
400,11,21,503,0.40885116428171664,20,True,0.17755267317255677,0.024195745032579253,0.17919371034833323
300,9,35,433,0.41061118309817074,33,True,0.14600122361055554,0.02320531290252019,0.14783383862527316
300,10,49,442,0.4900614485933622,45,True,0.16705670399487513,0.02493707756495577,0.16890766763860054
300,11,37,450,0.5258566193698127,35,True,0.17964698955791908,0.025688500459619276,0.1814743505652712
200,9,86,272,0.13189950914951792,79,True,0.09577711565349699,0.025737779767755695,0.09917504318263155
200,10,82,331,0.15073553518345115,75,True,0.12791285080477813,0.02888922161412796,0.13113460461097073
200,11,68,324,0.4547076395299029,63,True,0.1390886863991648,0.02865333705153978,0.1420094236606654
150,9,116,238,0.10863446785934926,106,True,0.06766507916161867,0.029544238403375875,0.07383376572262605
150,10,117,272,0.13787082386909186,107,True,0.10175182949444236,0.034673370464127266,0.10749733682658694
150,11,109,233,0.1610921152742288,99,True,0.08981406465516854,0.03404007090691457,0.09604838695798368
100,9,173,199,0.1421436477431426,157,True,0.07563770983635612,0.035400223102432946,0.08351190900099717
100,10,189,177,0.13836155098544553,171,True,0.08593614317350647,0.03869659278926104,0.09424673467571856
100,11,165,186,0.16488321521336416,150,True,0.09014047224288234,0.037967345945780114,0.09781014310559201
80,9,198,164,0.1555785726775271,180,True,0.07794379103780046,0.038660023265296994,0.08700478124917968
80,10,214,159,0.13849701672567322,194,True,0.08547355254001564,0.04045415863913337,0.09456356134902588
80,11,199,167,0.16144932300689108,180,True,0.09010423917782409,0.040666377652631716,0.09885609839155597
60,9,230,150,0.15887708023980077,208,True,0.08028286062912024,0.04055312319239907,0.08994383531656097
60,10,251,143,0.1517391565804342,227,True,0.0861553429011366,0.04361671631165497,0.09656687347234465
60,11,236,139,0.18065633793975422,214,True,0.09426880867191685,0.043227635168137546,0.10370745744955889
50,9,254,131,0.1592082988713736,230,True,0.08144004291986713,0.04362939202118823,0.09239049972225674
50,10,269,135,0.1625388659126949,243,True,0.08770574316563703,0.04452089797815693,0.09835856719685451
50,11,258,128,0.1798549497779613,234,True,0.09397202130103907,0.04444220233907342,0.10395119112424872
40,9,275,120,0.1871541736562756,249,True,0.08999276298621578,0.0467600462670208,0.1014159717045946
40,10,290,127,0.17498622444522732,262,True,0.09051323992799128,0.04743373778070011,0.10218907026737416
40,11,288,112,0.19064531725517025,261,True,0.099217916812288,0.04678957737414407,0.10969712652308226
30,9,293,115,0.19755453192228423,265,True,0.09143929856618621,0.04929112528112214,0.1038785846734322
30,10,310,123,0.18352213789573293,280,True,0.09207548546681521,0.04860136135462874,0.10411525992606895
30,11,304,108,0.18756609364308294,275,True,0.098232296916457,0.04805186868476741,0.10935522960325719
25,9,300,112,0.20597457925736964,271,True,0.0933922476152972,0.049684051746095824,0.10578571223253977
25,10,315,122,0.18518142818032102,285,True,0.09223969326984204,0.04938196471887141,0.10462666703097448
25,11,313,105,0.19103275607288348,283,True,0.0991922556085468,0.049249735585380164,0.1107458352622849
20,9,303,112,0.20595247220657803,274,True,0.09319943370090016,0.049984317575743537,0.10575711061522657
20,10,319,121,0.18348340422704043,288,True,0.09331319179925904,0.049709871844307356,0.10572806213367748
20,11,319,103,0.20567717037394903,288,True,0.10015177316435549,0.04954667363935709,0.11173741780034778
