pais,country,year,n,b13_valid,b13_min,b13_max,pn4_valid,pn4_min,pn4_max,ing4_valid,ing4_min,ing4_max,has_wt,has_w1500,wt_cv,n_upm,n_strata,singleton_strata,design_ok,sample
1,M̩xico,2004,1556,0.9350899742930592,1.0,7.0,0.9627249357326478,1.0,4.0,0.9325192802056556,1.0,7.0,True,True,0.0,102,4,0,True,core
1,M̩xico,2006,1560,0.9256410256410257,1.0,7.0,0.948076923076923,1.0,4.0,0.9397435897435897,1.0,7.0,True,True,0.0,102,4,0,True,core
1,M̩xico,2008,1560,0.933974358974359,1.0,7.0,0.9596153846153846,1.0,4.0,0.9538461538461539,1.0,7.0,True,True,0.0,101,4,0,True,core
1,M̩xico,2010,1562,0.9353393085787451,1.0,7.0,0.9622279129321383,1.0,4.0,0.9455825864276568,1.0,7.0,True,True,0.0,130,4,0,True,core
1,M̩xico,2012,1560,0.9455128205128205,1.0,7.0,0.4666666666666667,1.0,4.0,0.9544871794871795,1.0,7.0,True,True,0.0,130,4,0,True,core
1,M̩xico,2014,1535,0.9374592833876222,1.0,7.0,0.9550488599348534,1.0,4.0,0.9413680781758957,1.0,7.0,True,True,0.0,130,4,0,True,core
1,M̩xico,2016,1563,0.945617402431222,1.0,7.0,0.9609724888035829,1.0,4.0,0.946896992962252,1.0,7.0,True,True,0.0,130,4,0,True,core
1,M̩xico,2019,1580,0.9284810126582278,1.0,7.0,0.9474683544303798,1.0,4.0,0.9575949367088608,1.0,7.0,True,True,0.0,129,4,0,True,core
1,M̩xico,2021,2998,0.23782521681120747,1.0,7.0,0.48899266177451634,1.0,4.0,0.9769846564376251,1.0,7.0,True,True,0.6242704078436366,2998,1,0,True,excluded
1,M̩xico,2023,1622,0.968557336621455,1.0,7.0,0.9821208384710234,1.0,4.0,0.9882860665844636,1.0,7.0,True,True,0.0,130,4,0,True,core
2,Guatemala,2004,1708,0.8811475409836066,1.0,7.0,0.870023419203747,1.0,4.0,0.832552693208431,1.0,7.0,True,True,0.0,126,5,0,True,core
2,Guatemala,2006,1498,0.9372496662216289,1.0,7.0,0.8598130841121495,1.0,4.0,0.8925233644859814,1.0,7.0,True,True,0.0,109,5,0,True,core
2,Guatemala,2008,1538,0.9063719115734721,1.0,7.0,0.91222366710013,1.0,4.0,0.8498049414824448,1.0,7.0,True,True,0.0,100,5,0,True,core
2,Guatemala,2010,1494,0.9397590361445783,1.0,7.0,0.9089692101740294,1.0,4.0,0.8862115127175368,1.0,7.0,True,True,0.0,108,5,0,True,core
2,Guatemala,2012,1509,0.9469847581179589,1.0,7.0,0.4572564612326044,1.0,4.0,0.9211398277004639,1.0,7.0,True,True,0.0,72,4,0,True,core
2,Guatemala,2014,1506,0.9648074369189907,1.0,7.0,0.953519256308101,1.0,4.0,0.9402390438247012,1.0,7.0,True,True,0.0,62,4,0,True,core
2,Guatemala,2017,1546,0.9650711513583441,1.0,7.0,0.9424320827943079,1.0,4.0,0.9560155239327296,1.0,7.0,True,True,0.0,63,4,0,True,core
2,Guatemala,2019,1596,0.9555137844611529,1.0,7.0,0.9129072681704261,1.0,4.0,0.9548872180451128,1.0,7.0,True,True,0.0,62,4,0,True,core
2,Guatemala,2021,3000,0.0,,,0.45466666666666666,1.0,4.0,0.9453333333333334,1.0,7.0,True,True,0.6142663259829696,3000,1,0,True,excluded
2,Guatemala,2023,1556,0.9781491002570694,1.0,7.0,0.9550128534704371,1.0,4.0,0.9781491002570694,1.0,7.0,True,True,0.0,63,4,0,True,core
3,El Salvador,2004,1589,0.9515418502202643,1.0,7.0,0.9653870358716173,1.0,4.0,0.9421019509125236,1.0,7.0,True,True,0.0,65,4,0,True,core
