s_transport,rho,oracle,plugin,da,oracle_w,plugin_w,da_w,dominance,clean_sup,cont_sup
0.5,0.20572259842949658,0.9,0.90625,0.8925,0.3395403885688291,0.3470088321485243,0.31186650700785434,0.97125,0.09413102175477488,0.09971949230028106
0.4,0.2568011125070231,0.90625,0.9225,0.89125,0.28165041705882343,0.2919616316805434,0.2525508079113935,0.98875,0.07592219516790671,0.0825105235965064
0.3,0.3421823961011793,0.90875,0.93125,0.9,0.21868717415918965,0.23340296426039728,0.19133264866457786,0.99875,0.0567857035150386,0.06463272063142232
0.22,0.46595350714390205,0.885,0.92875,0.87625,0.1656765912634689,0.18399552736482136,0.14151929346690278,1.0,0.041938917988856676,0.0513782573698241
0.16,0.6440213608968175,0.90125,0.9525,0.855,0.1223047958769817,0.14822740113244903,0.10352087669928751,1.0,0.030433633062131135,0.04172395860132414
0.12,0.8564591864127528,0.8925,0.97125,0.825,0.0935678787648356,0.12535351153902677,0.07946960458356254,1.0,0.022918646568825984,0.035757292928812585
0.1,1.02561635610591,0.89875,0.98375,0.7975,0.07888542795711277,0.11496783112559257,0.06668809938069202,1.0,0.019093650816580293,0.033039914772401924
0.08,1.2925390382086803,0.90875,0.99125,0.74625,0.06348723362137502,0.10526299167466244,0.053996922868273664,1.0,0.015151755369611431,0.030672760577208934
