cntry,essround,n,trstprl,stfdem,anweight,pspwght,dweight,psu,stratum,prob,n_psu,n_strata,sample
CZ,5,2386,0.9798826487845766,0.9752724224643755,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
CZ,6,2009,0.9766052762568442,0.9736187157789945,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
CZ,7,2148,0.9860335195530726,0.9837057728119181,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
CZ,8,2269,0.9850154252974879,0.989863375936536,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
CZ,9,2398,0.9699749791492911,0.9891576313594662,1.0,1.0,1.0,1.0,1.0,1.0,573,57,core
CZ,10,2476,0.9761712439418416,0.9737479806138933,1.0,1.0,1.0,1.0,1.0,1.0,567,57,core
DE,1,2919,0.9815005138746146,0.9914354230900994,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
DE,2,2870,0.9738675958188153,0.9794425087108014,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
DE,3,2916,0.9739368998628258,0.9794238683127572,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
DE,4,2751,0.9818247909850963,0.9876408578698656,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
DE,5,3031,0.9785549323655559,0.9871329594193335,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
DE,6,2958,0.9858012170385395,0.9871534820824882,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
DE,7,3045,0.9891625615763546,0.9917898193760263,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
DE,8,2852,0.9856241234221599,0.9901823281907434,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
DE,9,2358,0.9868532654792197,0.9843087362171332,1.0,1.0,1.0,1.0,1.0,1.0,178,89,core
DE,10,8725,0.980974212034384,0.98189111747851,1.0,1.0,1.0,1.0,1.0,1.0,179,89,core
DE,11,2420,0.9925619834710744,0.9913223140495868,1.0,1.0,1.0,1.0,1.0,1.0,500,25,core
DK,1,1506,0.9840637450199203,0.9741035856573705,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
DK,2,1487,0.9838601210490922,0.9670477471418965,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
DK,3,1505,0.986046511627907,0.9807308970099667,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
DK,4,1610,0.9888198757763975,0.9869565217391304,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
DK,5,1576,0.9822335025380711,0.9809644670050761,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
DK,6,1650,0.9848484848484849,0.9793939393939394,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
DK,7,1502,0.992676431424767,0.9860186418109188,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
DK,9,1572,0.9923664122137404,0.9860050890585241,1.0,1.0,1.0,1.0,1.0,1.0,1572,1,core
EE,2,1989,0.9567621920563097,0.889894419306184,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
EE,3,1517,0.938694792353329,0.8899143045484509,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
EE,4,1661,0.9759181216134859,0.9211318482841662,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
EE,5,1793,0.965978806469604,0.935861684327942,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
EE,6,2380,0.9819327731092437,0.9495798319327731,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
EE,7,2051,0.9882983910287665,0.9629449049244271,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
EE,8,2019,0.9881129271916791,0.9643387815750372,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
EE,9,1904,0.9926470588235294,0.9705882352941176,1.0,1.0,1.0,1.0,1.0,1.0,1904,10,core
EE,10,1542,0.9876783398184177,0.980544747081712,1.0,1.0,1.0,1.0,1.0,1.0,1542,10,core
EE,11,1293,0.982985305491106,0.9489559164733179,1.0,1.0,1.0,1.0,1.0,1.0,1293,10,core
ES,1,1729,0.9144013880855986,0.9224985540775015,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
ES,2,1663,0.9380637402285027,0.9645219482862297,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
ES,3,1876,0.9493603411513859,0.9594882729211087,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
